ThiC	QAXB01016109_1	38.235	34	21	0	223	256	145	44	1.3	30.0
Thi5	QAXB01032885_1	37.255	51	32	0	5	55	1559	1711	4.35e-04	42.4
Thi5-like	QAXB01050768_1	65.426	188	61	1	277	464	1103	552	1.76e-80	254
SSSP	QAXB01031828_1	62.963	108	40	0	150	257	5	328	8.72e-40	141
TH1	QAXB01030865_1	55.455	110	47	1	377	484	46	375	5.86e-37	134
THIO	QAXB01005118_1	77.622	143	32	0	281	423	2	430	1.25e-73	236
THIS	QAXB01047152_1	52.941	17	8	0	37	53	1612	1562	5.0	25.4
THIF	QAXB01048911_1	60.101	396	155	2	61	454	2109	925	1.68e-146	450
DXS	QAXB01007216_1	91.971	137	11	0	168	304	411	1	1.89e-83	261
THIG	QAXB01054464_1	30.667	75	47	3	190	259	1424	1648	2.4	30.4
TPK1	QAXB01047145_1	50.595	168	79	3	2	166	556	56	3.06e-51	171
FOLR	QAXB01050104_1	62.857	105	38	1	62	165	2	316	8.07e-40	146
Thi4	QAXB01053235_1	45.946	37	18	1	94	130	655	759	3.1	30.4
ThiM	QAXB01025935_1	40.000	25	15	0	222	246	495	421	8.2	28.1
TENA	QAXB01034449_1	60.396	101	17	1	105	182	803	501	1.18e-46	129
