#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
CM000606_1:1257860-1259686 -            609 621827at2759         -            349   9.8e-46  152.1   0.3   1   3   8.3e-17     1e-15   53.4   0.0    34   152   130   279    86   283 0.74 -
CM000606_1:1257860-1259686 -            609 621827at2759         -            349   9.8e-46  152.1   0.3   2   3     1e-12   1.3e-11   39.9   0.0   146   259   292   433   289   445 0.76 -
CM000606_1:1257860-1259686 -            609 621827at2759         -            349   9.8e-46  152.1   0.3   3   3   7.1e-16   8.7e-15   50.3   0.0   252   331   469   560   454   569 0.86 -
CM000609_1:129137-129877   -            247 621827at2759         -            349   1.2e-33  112.3   7.4   1   3    0.0011     0.013   10.2   0.0   115   145     3    35     1    42 0.84 -
CM000609_1:129137-129877   -            247 621827at2759         -            349   1.2e-33  112.3   7.4   2   3   4.3e-22   5.3e-21   70.7   0.5    79   211    50   202    37   202 0.77 -
CM000609_1:129137-129877   -            247 621827at2759         -            349   1.2e-33  112.3   7.4   3   3   5.8e-15     7e-14   47.3   1.1    92   213   111   244   111   247 0.82 -
CM000617_1:114278-115162   -            295 621827at2759         -            349   9.2e-33  109.4   6.9   1   3   3.7e-08   4.5e-07   24.9   0.0    75   128    10    70     7    73 0.85 -
CM000617_1:114278-115162   -            295 621827at2759         -            349   9.2e-33  109.4   6.9   2   3   2.8e-16   3.5e-15   51.6   1.2    90   146    73   132    69   141 0.88 -
CM000617_1:114278-115162   -            295 621827at2759         -            349   9.2e-33  109.4   6.9   3   3   3.2e-11   3.9e-10   35.0   0.2    73   147   171   256   164   266 0.80 -
CM000623_1:396072-397046   -            325 621827at2759         -            349     1e-27   92.8   3.3   1   4    0.0083       0.1    7.3   0.0   128   146    30    48     4    61 0.71 -
CM000623_1:396072-397046   -            325 621827at2759         -            349     1e-27   92.8   3.3   2   4   8.2e-22     1e-20   69.8   1.7    92   186   102   203    96   205 0.84 -
CM000623_1:396072-397046   -            325 621827at2759         -            349     1e-27   92.8   3.3   3   4   2.3e-06   2.9e-05   19.0   0.0    78   144   164   240   158   251 0.56 -
CM000623_1:396072-397046   -            325 621827at2759         -            349     1e-27   92.8   3.3   4   4    0.0042     0.051    8.3   0.0    33    87   251   307   241   311 0.77 -
CM000605_1:515282-516127   -            282 621827at2759         -            349   1.1e-26   89.4  11.0   1   4    0.0005    0.0061   11.3   0.0    90   128    17    56     1    59 0.75 -
CM000605_1:515282-516127   -            282 621827at2759         -            349   1.1e-26   89.4  11.0   2   4   4.2e-09   5.1e-08   28.0   1.0    87   166    76   163    72   171 0.76 -
CM000605_1:515282-516127   -            282 621827at2759         -            349   1.1e-26   89.4  11.0   3   4   1.6e-07   1.9e-06   22.8   0.1    87   129   178   221   166   222 0.85 -
CM000605_1:515282-516127   -            282 621827at2759         -            349   1.1e-26   89.4  11.0   4   4   2.2e-10   2.7e-09   32.3   0.1    90   143   223   280   221   282 0.88 -
CM000609_1:823584-826043   -            820 621827at2759         -            349   5.7e-26   87.1  13.5   1   6      0.02      0.25    6.1   0.0   129   146    69    86    54    92 0.86 -
CM000609_1:823584-826043   -            820 621827at2759         -            349   5.7e-26   87.1  13.5   2   6     0.013      0.16    6.7   0.3    61   145   130   186   119   198 0.57 -
CM000609_1:823584-826043   -            820 621827at2759         -            349   5.7e-26   87.1  13.5   3   6   3.3e-07     4e-06   21.8   0.4    59   128   362   440   353   448 0.80 -
CM000609_1:823584-826043   -            820 621827at2759         -            349   5.7e-26   87.1  13.5   4   6      0.29       3.6    2.2   0.0    90   107   458   475   447   482 0.89 -
CM000609_1:823584-826043   -            820 621827at2759         -            349   5.7e-26   87.1  13.5   5   6   3.9e-07   4.8e-06   21.6   0.1    91   144   516   572   499   575 0.86 -
CM000609_1:823584-826043   -            820 621827at2759         -            349   5.7e-26   87.1  13.5   6   6   2.8e-10   3.5e-09   31.9   0.0    72   146   575   658   572   670 0.85 -
CM000622_1:79662-80642     -            327 621827at2759         -            349   6.3e-26   86.9   8.5   1   5   3.9e-07   4.8e-06   21.5   0.1   129   199    16    97     1   107 0.70 -
CM000622_1:79662-80642     -            327 621827at2759         -            349   6.3e-26   86.9   8.5   2   5   5.3e-05   0.00065   14.5   0.1    91   127   107   144   100   147 0.82 -
CM000622_1:79662-80642     -            327 621827at2759         -            349   6.3e-26   86.9   8.5   3   5   2.1e-06   2.5e-05   19.2   0.0    90   139   147   198   144   207 0.88 -
CM000622_1:79662-80642     -            327 621827at2759         -            349   6.3e-26   86.9   8.5   4   5   5.1e-08   6.2e-07   24.5   0.0    92   144   227   283   222   285 0.88 -
CM000622_1:79662-80642     -            327 621827at2759         -            349   6.3e-26   86.9   8.5   5   5    0.0026     0.032    9.0   0.1    75   107   289   327   284   327 0.67 -
CM000610_1:472787-474931   -            715 621827at2759         -            349   1.6e-25   85.6   3.1   1   4    0.0011     0.013   10.2   0.0   102   148   353   402   345   418 0.83 -
CM000610_1:472787-474931   -            715 621827at2759         -            349   1.6e-25   85.6   3.1   2   4   1.2e-08   1.4e-07   26.6   0.1    44   140   425   533   402   536 0.70 -
CM000610_1:472787-474931   -            715 621827at2759         -            349   1.6e-25   85.6   3.1   3   4   1.5e-07   1.9e-06   22.9   0.3    44   128   510   605   501   612 0.72 -
CM000610_1:472787-474931   -            715 621827at2759         -            349   1.6e-25   85.6   3.1   4   4   4.1e-08     5e-07   24.8   0.1    91   152   618   682   608   715 0.79 -
CP001141_1:785177-786112   -            312 621827at2759         -            349   7.8e-23   76.8   6.7   1   4     0.045      0.55    4.9   0.0   113   148     2    39     1    44 0.82 -
CP001141_1:785177-786112   -            312 621827at2759         -            349   7.8e-23   76.8   6.7   2   4     6e-11   7.3e-10   34.1   2.2    76   151    42   124    38   131 0.84 -
CP001141_1:785177-786112   -            312 621827at2759         -            349   7.8e-23   76.8   6.7   3   4   1.1e-07   1.3e-06   23.4   0.0    93   148   156   214   147   218 0.84 -
CP001141_1:785177-786112   -            312 621827at2759         -            349   7.8e-23   76.8   6.7   4   4   6.6e-05   0.00081   14.2   0.0    92   140   255   306   252   309 0.86 -
CP001142_1:466944-469885   -            911 621827at2759         -            349   9.2e-23   76.5   2.1   1   6      0.04      0.49    5.1   0.0   101   180    51   137    41   150 0.70 -
CP001142_1:466944-469885   -            911 621827at2759         -            349   9.2e-23   76.5   2.1   2   6    0.0012     0.015   10.1   0.0    38    83   153   198   149   213 0.74 -
CP001142_1:466944-469885   -            911 621827at2759         -            349   9.2e-23   76.5   2.1   3   6    0.0006    0.0073   11.1   0.0    40   145   298   417   286   425 0.67 -
CP001142_1:466944-469885   -            911 621827at2759         -            349   9.2e-23   76.5   2.1   4   6   5.1e-06   6.2e-05   17.9   0.0   187   248   428   495   422   504 0.88 -
CP001142_1:466944-469885   -            911 621827at2759         -            349   9.2e-23   76.5   2.1   5   6   7.4e-07   9.1e-06   20.6   0.0   103   185   500   591   492   595 0.57 -
