#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
WKLE02000152_1:9975-15441 -           1728 1102at33634          -           1214         0 1565.6  16.8   1   8   7.6e-37   7.7e-35  113.9   0.1    17   134     1   133     1   161 0.83 -
WKLE02000152_1:9975-15441 -           1728 1102at33634          -           1214         0 1565.6  16.8   2   8   7.4e-08   7.5e-06   17.8   0.2   127   165   180   218   164   236 0.67 -
WKLE02000152_1:9975-15441 -           1728 1102at33634          -           1214         0 1565.6  16.8   3   8  1.6e-208  1.6e-206  682.6   0.0   172   643   266   818   259   829 0.87 -
WKLE02000152_1:9975-15441 -           1728 1102at33634          -           1214         0 1565.6  16.8   4   8  2.6e-115  2.7e-113  373.7   0.0   638   829   863  1058   855  1080 0.95 -
WKLE02000152_1:9975-15441 -           1728 1102at33634          -           1214         0 1565.6  16.8   5   8   9.1e-47   9.3e-45  146.7   0.2   874   980  1214  1325  1201  1338 0.85 -
WKLE02000152_1:9975-15441 -           1728 1102at33634          -           1214         0 1565.6  16.8   6   8    0.0031      0.31    2.5   0.0   979  1016  1357  1399  1347  1414 0.79 -
WKLE02000152_1:9975-15441 -           1728 1102at33634          -           1214         0 1565.6  16.8   7   8      0.12        12   -2.8   2.4  1001  1047  1430  1480  1410  1489 0.72 -
WKLE02000152_1:9975-15441 -           1728 1102at33634          -           1214         0 1565.6  16.8   8   8   3.1e-72   3.1e-70  231.1   0.0  1015  1211  1511  1727  1496  1728 0.80 -
WKLE02000459_1:5606-9973  -           1456 1102at33634          -           1214  6.3e-198  654.1   4.1   1   3    2e-153    2e-151  500.0   0.0     9   804     1   859     1   885 0.78 -
WKLE02000459_1:5606-9973  -           1456 1102at33634          -           1214  6.3e-198  654.1   4.1   2   3   6.5e-29   6.6e-27   87.6   0.1   888   973  1042  1126  1024  1181 0.80 -
WKLE02000459_1:5606-9973  -           1456 1102at33634          -           1214  6.3e-198  654.1   4.1   3   3   2.1e-22   2.1e-20   66.0   0.4  1073  1211  1305  1456  1178  1456 0.79 -
WKLE02001569_1:9295-12682 -            986 1102at33634          -           1214  5.3e-153  505.2   4.2   1   4   3.6e-19   3.6e-17   55.3   2.9     8   191     2   192     1   200 0.80 -
WKLE02001569_1:9295-12682 -            986 1102at33634          -           1214  5.3e-153  505.2   4.2   2   4   2.9e-86   2.9e-84  277.6   0.0   247   628   297   708   223   712 0.78 -
WKLE02001569_1:9295-12682 -            986 1102at33634          -           1214  5.3e-153  505.2   4.2   3   4   3.6e-46   3.6e-44  144.8   0.0   667   805   710   847   700   858 0.95 -
WKLE02001569_1:9295-12682 -            986 1102at33634          -           1214  5.3e-153  505.2   4.2   4   4   9.3e-10   9.4e-08   24.1   0.0   888   920   954   986   935   986 0.85 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/1102at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Asterionellopsis_glacialis_ASM1488511v2/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_014885115.2_ASM1488511v2_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Asterionellopsis_glacialis_ASM1488511v2/run_stramenopiles_odb10/hmmer_output/initial_run_results/1102at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/1102at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Asterionellopsis_glacialis_ASM1488511v2/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_014885115.2_ASM1488511v2_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Fri Apr 16 14:41:35 2021
# [ok]
