#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QAXB01033943_1:595-1452 -            286 5145at33634          -            296  8.3e-122  399.2   5.2   1   1  5.6e-123    1e-121  398.9   5.2    35   296     1   286     1   286 0.94 -
QAXB01049101_1:567-1511 -            315 5145at33634          -            296   4.5e-24   78.3   4.0   1   3     6e-09   1.1e-07   24.6   0.1    67   178    36   155    31   157 0.78 -
QAXB01049101_1:567-1511 -            315 5145at33634          -            296   4.5e-24   78.3   4.0   2   3     1e-07   1.8e-06   20.5   0.0    60   117   155   215   152   222 0.85 -
QAXB01049101_1:567-1511 -            315 5145at33634          -            296   4.5e-24   78.3   4.0   3   3   5.9e-11   1.1e-09   31.2   0.3   198   287   227   315   223   315 0.92 -
QAXB01032927_1:1-898    -            268 5145at33634          -            296   8.3e-08   25.0   0.5   1   3   9.7e-05    0.0017   10.8   0.0    82   107     1    26     1    50 0.89 -
QAXB01032927_1:1-898    -            268 5145at33634          -            296   8.3e-08   25.0   0.5   2   3   0.00014    0.0026   10.2   0.0   105   162    84   148    78   180 0.68 -
QAXB01032927_1:1-898    -            268 5145at33634          -            296   8.3e-08   25.0   0.5   3   3      0.18       3.2    0.0   0.0    64    93   223   250   207   256 0.73 -
QAXB01041641_1:872-1420 -            183 5145at33634          -            296   5.9e-07   22.2   1.3   1   2   6.8e-05    0.0012   11.3   0.4   226   287     3    75     1    85 0.60 -
QAXB01041641_1:872-1420 -            183 5145at33634          -            296   5.9e-07   22.2   1.3   2   2    0.0005     0.009    8.4   0.0   243   288   116   170   113   177 0.72 -
QAXB01041642_1:877-1425 -            183 5145at33634          -            296   5.9e-07   22.2   1.3   1   2   6.8e-05    0.0012   11.3   0.4   226   287     3    75     1    85 0.60 -
QAXB01041642_1:877-1425 -            183 5145at33634          -            296   5.9e-07   22.2   1.3   2   2    0.0005     0.009    8.4   0.0   243   288   116   170   113   177 0.72 -
QAXB01044863_1:210-758  -            183 5145at33634          -            296   5.9e-07   22.2   1.3   1   2   6.8e-05    0.0012   11.3   0.4   226   287     3    75     1    85 0.60 -
QAXB01044863_1:210-758  -            183 5145at33634          -            296   5.9e-07   22.2   1.3   2   2    0.0005     0.009    8.4   0.0   243   288   116   170   113   177 0.72 -
QAXB01022420_1:2-1417   -            472 5145at33634          -            296   1.3e-05   17.7   0.0   1   1   1.2e-06   2.2e-05   17.0   0.0    62   105   310   354   302   384 0.86 -
QAXB01035219_1:695-1225 -            177 5145at33634          -            296    0.0013   11.2   0.1   1   2   0.00027    0.0048    9.3   0.1    18    65     8    56     2    99 0.62 -
QAXB01035219_1:695-1225 -            177 5145at33634          -            296    0.0013   11.2   0.1   2   2      0.54       9.7   -1.5   0.0    67    83   125   141   109   145 0.79 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/5145at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Halamphora_sp_MG8b/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_004335815.1_ASM433581v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Halamphora_sp_MG8b/run_stramenopiles_odb10/hmmer_output/initial_run_results/5145at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/5145at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Halamphora_sp_MG8b/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_004335815.1_ASM433581v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Thu Apr 15 15:29:28 2021
# [ok]
