#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
AGNL01018134_1:1382-2034   -            188 15177at33634         -            274   1.3e-62  202.6   0.0   1   2     4e-60     6e-60  193.9   0.0     2   125     1   130     1   143 0.93 -
AGNL01018134_1:1382-2034   -            188 15177at33634         -            274   1.3e-62  202.6   0.0   2   2    0.0037    0.0056    7.0   0.0   123   144   162   184   153   187 0.87 -
AGNL01041523_1:6384-7458   -            320 15177at33634         -            274   9.8e-39  124.3   0.9   1   1   2.5e-35   3.8e-35  112.5   0.9    24   265    35   320     1   320 0.76 -
AGNL01047694_1:6301-7053   -            251 15177at33634         -            274   1.2e-29   94.5   5.4   1   3   1.4e-16   2.2e-16   51.0   0.8     7    94     2    88     1   100 0.89 -
AGNL01047694_1:6301-7053   -            251 15177at33634         -            274   1.2e-29   94.5   5.4   2   3   2.3e-11   3.5e-11   33.9   0.1    25   105   102   182    96   185 0.94 -
AGNL01047694_1:6301-7053   -            251 15177at33634         -            274   1.2e-29   94.5   5.4   3   3   1.2e-06   1.8e-06   18.5   0.0    47   121   165   238   164   242 0.77 -
AGNL01002964_1:958-1830    -            291 15177at33634         -            274     4e-26   82.9   4.3   1   4      0.85       1.3   -0.7   0.0    67    81     3    17     1    25 0.58 -
AGNL01002964_1:958-1830    -            291 15177at33634         -            274     4e-26   82.9   4.3   2   4   3.2e-12   4.8e-12   36.8   0.8     6   111    35   144    31   161 0.81 -
AGNL01002964_1:958-1830    -            291 15177at33634         -            274     4e-26   82.9   4.3   3   4   7.5e-11   1.1e-10   32.3   0.0     8   122   124   240   120   248 0.91 -
AGNL01002964_1:958-1830    -            291 15177at33634         -            274     4e-26   82.9   4.3   4   4   1.5e-09   2.2e-09   28.0   0.0     6    89   166   247   163   291 0.90 -
AGNL01004554_1:2001-2789   -            263 15177at33634         -            274   1.4e-24   77.9   5.0   1   4   0.00013   0.00019   11.8   0.2    59   101    17    60     5    62 0.78 -
AGNL01004554_1:2001-2789   -            263 15177at33634         -            274   1.4e-24   77.9   5.0   2   4   0.00043   0.00065   10.1   0.2     6    58    48   104    43   114 0.73 -
AGNL01004554_1:2001-2789   -            263 15177at33634         -            274   1.4e-24   77.9   5.0   3   4       1.5       2.2   -1.5   0.0    64    80   157   173   150   182 0.78 -
