#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
WXVQ01000274_1:12762-14921   -            720 11504at33634         -            390  2.9e-161  530.7   0.0   1   1  9.5e-162  6.2e-161  529.6   0.0    13   376    57   464    51   491 0.89 -
WXVQ01000157_1:133663-135156 -            498 11504at33634         -            390  1.2e-107  354.2   0.1   1   1  2.2e-108  1.5e-107  353.9   0.1    14   367    25   417    14   451 0.85 -
WXVQ01000251_1:21279-22481   -            401 11504at33634         -            390   6.2e-82  269.5   0.2   1   1   1.2e-82   7.9e-82  269.1   0.2    13   324    28   354    16   361 0.90 -
WXVQ01000152_1:429466-430566 -            367 11504at33634         -            390   1.4e-77  255.2   0.5   1   1   4.8e-77   3.1e-76  250.7   0.5    14   319    32   365    22   367 0.84 -
WXVQ01000184_1:38938-40341   -            468 11504at33634         -            390   4.7e-69  227.1   0.0   1   2   7.4e-69   4.8e-68  223.8   0.1    14   331    24   393    17   411 0.78 -
WXVQ01000184_1:38938-40341   -            468 11504at33634         -            390   4.7e-69  227.1   0.0   2   2      0.78       5.1   -0.2   0.0   342   367   433   458   424   461 0.89 -
WXVQ01000025_1:3457-5052     -            532 11504at33634         -            390   3.3e-67  221.0   0.0   1   1   8.9e-68   5.8e-67  220.2   0.0    15   327    43   395    35   423 0.79 -
WXVQ01000025_1:11776-13076   -            413 11504at33634         -            390     5e-67  220.4   0.0   1   1   1.2e-67   7.7e-67  219.8   0.0    14   326     2   358     1   367 0.81 -
WXVQ01000028_1:81803-83019   -            374 11504at33634         -            390   1.8e-65  215.3   0.0   1   1   4.4e-66   2.9e-65  214.6   0.0    15   324    18   354    13   360 0.86 -
WXVQ01000033_1:91892-93044   -            358 11504at33634         -            390   1.8e-61  202.1   0.0   1   1   3.4e-62   2.2e-61  201.8   0.0    16   321    25   354    14   358 0.83 -
WXVQ01000360_1:15643-17511   -            623 11504at33634         -            390   5.2e-60  197.3   0.3   1   4   1.3e-34   8.5e-34  111.0   0.0    13   183    41   235    28   250 0.78 -
WXVQ01000360_1:15643-17511   -            623 11504at33634         -            390   5.2e-60  197.3   0.3   2   4     0.024      0.16    4.8   0.0   197   236   281   328   259   337 0.74 -
WXVQ01000360_1:15643-17511   -            623 11504at33634         -            390   5.2e-60  197.3   0.3   3   4   2.2e-24   1.4e-23   77.4   0.0   244   346   361   462   357   476 0.87 -
WXVQ01000360_1:15643-17511   -            623 11504at33634         -            390   5.2e-60  197.3   0.3   4   4       6.6        43   -3.2   0.0   352   367   540   555   525   556 0.78 -
WXVQ01000053_1:13485-14612   -            376 11504at33634         -            390   1.2e-58  192.8   0.0   1   1   1.4e-58   9.2e-58  189.9   0.0    27   325    29   365    11   374 0.78 -
WXVQ01000062_1:69544-71091   -            516 11504at33634         -            390   4.1e-58  191.1   0.4   1   2   2.1e-32   1.4e-31  103.7   0.0    15   180    38   213    27   221 0.88 -
WXVQ01000062_1:69544-71091   -            516 11504at33634         -            390   4.1e-58  191.1   0.4   2   2   7.2e-27   4.7e-26   85.5   0.2   223   356   365   500   361   516 0.83 -
WXVQ01000076_1:15910-17067   -            386 11504at33634         -            390   7.1e-57  187.0   0.0   1   1   1.6e-57     1e-56  186.5   0.0    15   325    23   367    16   374 0.83 -
WXVQ01000988_1:26809-28026   -            380 11504at33634         -            390   2.8e-55  181.7   0.1   1   2     2e-34   1.3e-33  110.4   0.0    16   206     7   212     4   228 0.80 -
WXVQ01000988_1:26809-28026   -            380 11504at33634         -            390   2.8e-55  181.7   0.1   2   2   5.8e-22   3.8e-21   69.4   0.1   219   326   247   360   238   375 0.89 -
WXVQ01000058_1:96874-97792   -            279 11504at33634         -            390   8.5e-55  180.1   0.0   1   1   1.5e-55   9.9e-55  179.9   0.0    59   311     9   277     2   279 0.83 -
WXVQ01000037_1:83261-84651   -            369 11504at33634         -            390   9.1e-55  180.1   0.5   1   1   1.8e-55   1.1e-54  179.7   0.5    15   326    25   349    14   356 0.90 -
WXVQ01000536_1:1032-2237     -            402 11504at33634         -            390   6.3e-54  177.3   0.1   1   2     5e-32   3.3e-31  102.5   0.1    15   163    26   184    20   193 0.85 -
WXVQ01000536_1:1032-2237     -            402 11504at33634         -            390   6.3e-54  177.3   0.1   2   2   5.4e-23   3.5e-22   72.8   0.0   164   327   215   393   197   401 0.81 -
WXVQ01000104_1:157918-159090 -            366 11504at33634         -            390   4.7e-52  171.1   0.1   1   1   9.5e-53   6.2e-52  170.7   0.1    16   326    25   348    20   362 0.87 -
WXVQ01000004_1:2393-3430     -            346 11504at33634         -            390   6.4e-49  160.8   0.0   1   1   1.1e-49     7e-49  160.7   0.0    17   314     3   328     1   346 0.83 -
WXVQ01000028_1:51037-52356   -            285 11504at33634         -            390   1.3e-47  156.5   0.2   1   3   4.9e-11   3.2e-10   33.4   0.0    15    76    10    80     5    88 0.78 -
WXVQ01000028_1:51037-52356   -            285 11504at33634         -            390   1.3e-47  156.5   0.2   2   3   1.8e-15   1.2e-14   48.0   0.0   110   194    89   178    81   194 0.84 -
WXVQ01000028_1:51037-52356   -            285 11504at33634         -            390   1.3e-47  156.5   0.2   3   3   5.6e-23   3.7e-22   72.7   0.1   238   329   194   280   169   285 0.85 -
WXVQ01000227_1:4046-5749     -            568 11504at33634         -            390   2.7e-46  152.2   0.0   1   4   3.8e-19   2.5e-18   60.1   0.0    28   108    41   121    16   123 0.93 -
WXVQ01000227_1:4046-5749     -            568 11504at33634         -            390   2.7e-46  152.2   0.0   2   4   4.6e-14     3e-13   43.4   0.0   109   163   203   257   199   280 0.87 -
WXVQ01000227_1:4046-5749     -            568 11504at33634         -            390   2.7e-46  152.2   0.0   3   4     0.012     0.078    5.8   0.0   157   193   308   346   301   363 0.76 -
WXVQ01000227_1:4046-5749     -            568 11504at33634         -            390   2.7e-46  152.2   0.0   4   4   2.8e-12   1.8e-11   37.5   0.0   267   348   477   560   454   567 0.81 -
WXVQ01000014_1:87988-89163   -            392 11504at33634         -            390   1.9e-43  142.8   1.0   1   2   3.7e-33   2.4e-32  106.2   0.3    14   275    20   315     7   320 0.71 -
WXVQ01000014_1:87988-89163   -            392 11504at33634         -            390   1.9e-43  142.8   1.0   2   2   1.3e-11   8.3e-11   35.3   0.0   278   319   349   390   347   392 0.95 -
WXVQ01000130_1:5681-6715     -            345 11504at33634         -            390   8.9e-43  140.6   0.4   1   1     2e-43   1.3e-42  140.1   0.4    16   307    23   332    18   336 0.84 -
