#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QAXC01000665_1:306-1913    -            536 1312453at2759        -            678   3.4e-08   27.4   1.1   1   4      0.12        10   -0.7   0.0   563   592     4    36     3    46 0.84 -
QAXC01000665_1:306-1913    -            536 1312453at2759        -            678   3.4e-08   27.4   1.1   2   4   2.1e-05    0.0017   11.8   0.0   565   631   192   261   183   268 0.77 -
QAXC01000665_1:306-1913    -            536 1312453at2759        -            678   3.4e-08   27.4   1.1   3   4     8e-05    0.0068    9.9   0.1   575   630   325   382   318   387 0.89 -
QAXC01000665_1:306-1913    -            536 1312453at2759        -            678   3.4e-08   27.4   1.1   4   4     0.056       4.7    0.5   0.0   574   592   489   507   475   531 0.90 -
QAXC01000003_1:69052-69666 -            205 1312453at2759        -            678   8.8e-07   22.7   0.0   1   1   1.5e-08   1.2e-06   22.2   0.0    77   178    96   199    70   205 0.76 -
QAXC01002121_1:667-1128    -            154 1312453at2759        -            678   3.9e-06   20.6   0.0   1   1   4.9e-08   4.1e-06   20.5   0.0    86   179    56   151    24   154 0.82 -
QAXC01005325_1:3630-4571   -            314 1312453at2759        -            678   1.1e-05   19.2   0.0   1   2    0.0003     0.025    8.0   0.0   547   591   153   201   144   205 0.86 -
QAXC01005325_1:3630-4571   -            314 1312453at2759        -            678   1.1e-05   19.2   0.0   2   2   0.00016     0.013    8.9   0.0   549   616   237   309   205   314 0.75 -
QAXC01001443_1:134-784     -            217 1312453at2759        -            678   0.00014   15.5   0.0   1   1   2.3e-06    0.0002   15.0   0.0    96   185    91   177    85   185 0.82 -
QAXC01006453_1:2541-3215   -            225 1312453at2759        -            678   0.00014   15.4   0.3   1   3     0.042       3.5    0.9   0.0   549   618    23    94    19   112 0.77 -
QAXC01006453_1:2541-3215   -            225 1312453at2759        -            678   0.00014   15.4   0.3   2   3      0.03       2.5    1.4   0.0   576   591   133   148   103   167 0.90 -
QAXC01006453_1:2541-3215   -            225 1312453at2759        -            678   0.00014   15.4   0.3   3   3   0.00011    0.0089    9.5   0.0   549   588   183   225   173   225 0.90 -
QAXC01003767_1:183-953     -            257 1312453at2759        -            678    0.0046   10.4   0.0   1   1   7.3e-05    0.0061   10.0   0.0   576   635   172   233   167   248 0.76 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1312453at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Halamphora_sp_AAB/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_004335955.1_ASM433595v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Halamphora_sp_AAB/run_eukaryota_odb10/hmmer_output/initial_run_results/1312453at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1312453at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Halamphora_sp_AAB/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_004335955.1_ASM433595v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 07:49:31 2021
# [ok]
