Genome	ThiC	Thi5	Thi5-like	SSSP	TH1	THIO	THIS	THIF	DXS	THIG	TPK1	FOLR	Thi4	ThiM	TENA
Fragilariopsis_cylindrus_Fracy1	0	4.71e-8	6.76e-140	2.37e-174	0	0	NA	4.05e-120	0	NA	3.35e-56	2.73e-89	NA	NA	1.54e-72
Nitzschia_putrida_Nputr_1.0	NA	NA	NA	0	NA	NA	NA	4.63e-114	7.05e-5	NA	4.02e-69	5.52e-96	NA	NA	NA
Nitzschia_sp_Nitz4	NA	NA	NA	NA	NA	NA	NA	5.31e-112	5.9e-5	8.59e-4	5.23e-68	2.18e-101	NA	NA	NA
Pseudo-nitzschia_multiseries_Psemu1	0	5.93e-8	1.17e-137	1.05e-112	0	0	NA	2.49e-112	0	NA	1.77e-62	NA	NA	NA	2.84e-91
Pseudo-nitzschia_multistriata_ASM90066040v1	0	NA	NA	1.51e-110	0	0	NA	1.57e-111	0	0.001	2.59e-61	NA	NA	NA	3.23e-96
Halamphora_sp_MG8b	NA	4.35e-4	1.76e-80	8.72e-40	5.86e-37	1.25e-73	NA	1.68e-146	1.89e-83	NA	3.06e-51	8.07e-40	NA	NA	1.18e-46
Halamphora_sp_AAB	0	1.72e-29	1.45e-15	4.36e-6	6.45e-76	5.27e-17	NA	1.32e-62	6.4e-157	1.43e-64	NA	NA	6.04e-4	2.07e-30	8.64e-12
Fistulifera_solaris_Fsol_1.0	NA	2.08e-10	6.06e-11	NA	NA	2.43e-4	NA	8.29e-142	0	NA	5.01e-66	0	NA	NA	8.28e-65
Seminavis_robusta_version1.2	0	NA	NA	0	9.37e-166	0	1.25e-24	8.8e-80	0	1.47e-146	3.54e-60	NA	NA	NA	4.02e-78
Phaeodactylum_tricornutum_ASM15095v2	0	2.08e-10	0	0	0	0	NA	0	0	0.001	2.02e-174	NA	NA	NA	4.01e-129
Cyclotella_cryptica_Cyccr1	2.9e-92	NA	NA	2.46e-75	3.27e-140	0	NA	5.55e-72	0	5.06e-7	1.29e-32	NA	NA	NA	7.22e-93
Cyclotella_cryptica_ASM1318728v1	4.02e-92	NA	NA	3.24e-75	8.22e-140	0	NA	5.75e-72	0	NA	2.66e-32	NA	NA	NA	7.7e-93
Thalassiosira_oceanica_ThaOc_1.0	0	9.95e-11	2.93e-112	2.74e-54	1.22e-150	4.65e-146	7.93e-22	1.56e-86	0	5.64e-142	2.85e-44	NA	NA	NA	1.45e-69
Thalassiosira_pseudonana_ASM14940v2	0	2.94e-12	4.86e-140	2.3e-137	3.75e-176	0	NA	2.39e-110	0	4.86e-146	8.58e-34	NA	NA	NA	2.93e-85
Asterionella_formosa_ASM225602v1	0	NA	NA	NA	0	0	2.47e-18	1.69e-142	0	1.47e-142	2.82e-82	NA	NA	NA	1.49e-109
Asterionellopsis_glacialis_ASM1488511v2	0	1.14e-10	3.14e-143	0	0	0	8.95e-13	1.83e-110	0	4.26e-147	4.43e-77	NA	NA	NA	6.02e-87
Synedra_acus_sac1	0	NA	NA	NA	0	0	NA	4.53e-149	0	2.74e-68	1.25e-58	NA	NA	NA	9.82e-112
Licmophora_abbreviata_CCMP470	NA	9.8e-7	2.12e-146	0	0	0	6.43e-22	1.67e-128	0	2.59e-146	2.26e-77	NA	NA	NA	2.46e-75
Psammoneis_japonica_ASM863298v1	0	NA	NA	NA	1.64e-91	0	NA	1.63e-114	0	4.85e-4	8.12e-76	NA	NA	NA	2.33e-110
Bacillariophyta_sp_ASM1036716v1	0	NA	NA	0	0	0	NA	2.92e-111	0	NA	4.52e-52	3.5e-24	0.001	NA	6.12e-61
Bacillariophyta_sp_ASM1036717v1	0	3.22e-13	8.11e-138	NA	0	3.68e-25	NA	2.67e-48	NA	NA	2.3e-52	1.9e-24	5.08e-4	NA	8.56e-115
Bacillariophyta_sp_ASM1329908v1	0	NA	NA	2.2e-34	3e-177	0	2.09e-27	6.46e-125	0	2.4e-158	8.76e-16	NA	1.02e-4	NA	1.06e-13
