#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
AGNL01026115_1:620-2099  -            471 1030907at2759        -            285   2.1e-20   70.4   0.1   1   2   7.4e-08   2.1e-05   21.1   0.6    14   133    82   220    75   253 0.76 -
AGNL01026115_1:620-2099  -            471 1030907at2759        -            285   2.1e-20   70.4   0.1   2   2   5.3e-15   1.5e-12   44.6   0.0   163   275   289   417   282   423 0.87 -
AGNL01034569_1:582-1736  -            385 1030907at2759        -            285   2.6e-17   60.2   0.0   1   2   3.7e-07   0.00011   18.8   0.2    14   132    48   185    43   192 0.75 -
AGNL01034569_1:582-1736  -            385 1030907at2759        -            285   2.6e-17   60.2   0.0   2   2   7.1e-13     2e-10   37.6   0.0   167   274   261   384   253   385 0.86 -
AGNL01003216_1:3204-4052 -            283 1030907at2759        -            285   0.00021   17.9   0.0   1   1   1.2e-06   0.00035   17.1   0.0    69   149   158   235   145   248 0.89 -
AGNL01006906_1:5926-6624 -            233 1030907at2759        -            285    0.0021   14.6   0.0   1   1   9.8e-06    0.0028   14.2   0.0    69   148   107   183   104   212 0.85 -
AGNL01035314_1:184-885   -            234 1030907at2759        -            285    0.0029   14.1   0.2   1   1   1.5e-05    0.0045   13.5   0.2   108   148   145   184   139   191 0.87 -
AGNL01023699_1:6021-6707 -            229 1030907at2759        -            285    0.0057   13.2   0.1   1   1     3e-05    0.0087   12.6   0.1   109   148   142   179   137   192 0.90 -
AGNL01022634_1:4213-4902 -            230 1030907at2759        -            285    0.0062   13.0   0.1   1   1   2.8e-05    0.0081   12.7   0.1   106   148   143   184   107   192 0.89 -
AGNL01018135_1:592-1326  -            245 1030907at2759        -            285    0.0066   13.0   0.0   1   1   3.4e-05    0.0097   12.4   0.0   115   151   163   199   152   217 0.86 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1030907at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Thalassiosira_oceanica_ThaOc_1.0/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_000296195.2_ThaOc_1.0_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Thalassiosira_oceanica_ThaOc_1.0/run_eukaryota_odb10/hmmer_output/initial_run_results/1030907at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1030907at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Thalassiosira_oceanica_ThaOc_1.0/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_000296195.2_ThaOc_1.0_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Mon Apr 19 00:34:29 2021
# [ok]
