#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
BDSP01000251_1:4179-6194     -            672 325552at2759         -            426     5e-70  232.0   1.2   1   3   1.7e-52   7.7e-52  172.0   0.0    11   331    52   428    45   441 0.75 -
BDSP01000251_1:4179-6194     -            672 325552at2759         -            426     5e-70  232.0   1.2   2   3    0.0039     0.018    9.4   0.0   161   228   508   577   493   586 0.77 -
BDSP01000251_1:4179-6194     -            672 325552at2759         -            426     5e-70  232.0   1.2   3   3   7.8e-14   3.6e-13   44.6   0.3   156   234   592   671   586   672 0.89 -
BDSP01000097_1:27803-29818   -            672 325552at2759         -            426   2.9e-68  226.1   3.1   1   3   2.7e-51   1.2e-50  168.1   0.0    12   247    53   324    45   436 0.75 -
BDSP01000097_1:27803-29818   -            672 325552at2759         -            426   2.9e-68  226.1   3.1   2   3    0.0044      0.02    9.2   0.0   161   228   508   577   493   585 0.77 -
BDSP01000097_1:27803-29818   -            672 325552at2759         -            426   2.9e-68  226.1   3.1   3   3   9.1e-14   4.2e-13   44.4   0.4   156   234   592   671   586   672 0.90 -
BDSP01000089_1:51152-52300   -            383 325552at2759         -            426   3.1e-42  140.4  11.5   1   5   0.00092    0.0042   11.5   0.0    37    64    23    50     4    54 0.64 -
BDSP01000089_1:51152-52300   -            383 325552at2759         -            426   3.1e-42  140.4  11.5   2   5   1.5e-12   6.7e-12   40.4   0.5   146   232    52   144    48   159 0.83 -
BDSP01000089_1:51152-52300   -            383 325552at2759         -            426   3.1e-42  140.4  11.5   3   5   2.4e-06   1.1e-05   19.9   0.2   168   227   122   178   120   193 0.90 -
BDSP01000089_1:51152-52300   -            383 325552at2759         -            426   3.1e-42  140.4  11.5   4   5   5.1e-22   2.4e-21   71.6   0.9   133   228   242   344   232   349 0.86 -
BDSP01000089_1:51152-52300   -            383 325552at2759         -            426   3.1e-42  140.4  11.5   5   5   5.5e-05   0.00026   15.5   0.1   189   224   348   383   344   383 0.92 -
BDSP01000141_1:18504-19652   -            383 325552at2759         -            426   3.9e-42  140.1  12.9   1   5    0.0011    0.0051   11.2   0.0    37    63    23    49     4    52 0.63 -
BDSP01000141_1:18504-19652   -            383 325552at2759         -            426   3.9e-42  140.1  12.9   2   5   3.8e-12   1.7e-11   39.1   0.1   146   229    52   141    48   146 0.87 -
BDSP01000141_1:18504-19652   -            383 325552at2759         -            426   3.9e-42  140.1  12.9   3   5     8e-07   3.7e-06   21.5   0.4   168   227   122   178   120   192 0.90 -
