# BUSCO version is: 5.1.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	scaffold_714	55626	62362	-	1624.2	1315
83779at2759	Complete	scaffold_85	250120	252265	-	155.6	194
87842at2759	Complete	scaffold_252	175378	179151	+	188.3	488
97116at2759	Complete	scaffold_386	14834	19261	+	614.9	887
100698at2759	Complete	scaffold_14	585688	587938	+	662.6	500
142542at2759	Missing
156083at2759	Complete	scaffold_183	192803	198969	-	3167.1	1715
160593at2759	Complete	scaffold_48	172774	177380	-	1020.0	1074
166920at2759	Complete	scaffold_719	45935	49379	+	220.9	496
176625at2759	Fragmented	scaffold_35	259373	262383	+	149.7	264
179362at2759	Complete	scaffold_980	42825	47814	-	581.9	982
245208at2759	Fragmented	scaffold_1700	1	2880	-	805.8	541
257318at2759	Complete	scaffold_216	73421	75100	-	205.5	316
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	scaffold_354	38224	41372	+	570.4	577
293315at2759	Complete	scaffold_32	77082	80434	+	549.1	560
296129at2759	Complete	scaffold_592	55365	58706	+	878.9	702
299766at2759	Complete	scaffold_193	149536	153869	+	342.5	412
306227at2759	Complete	scaffold_121	236076	238430	+	427.2	506
320059at2759	Complete	scaffold_108	226556	228442	-	801.1	451
324863at2759	Complete	scaffold_3188	3849	7194	+	411.4	534
325552at2759	Missing
330169at2759	Complete	scaffold_379	73799	75668	+	220.7	320
331411at2759	Missing
341721at2759	Complete	scaffold_1374	31297	33165	+	233.5	369
345441at2759	Complete	scaffold_277	58643	60547	-	314.9	367
355408at2759	Complete	scaffold_213	195925	198237	-	546.7	577
369837at2759	Complete	scaffold_86	74015	76729	-	189.9	349
375960at2759	Complete	scaffold_262	93480	95537	+	72.3	262
383503at2759	Fragmented	scaffold_23	57303	58733	+	219.5	250
388820at2759	Missing
390348at2759	Complete	scaffold_38	149791	152801	+	1085.5	703
392369at2759	Complete	scaffold_103	234849	236789	+	371.8	340
396755at2759	Complete	scaffold_284	70229	74235	-	173.2	566
418107at2759	Complete	scaffold_252	65218	79186	-	235.4	290
426305at2759	Complete	scaffold_135	97675	100440	-	262.5	520
450058at2759	Missing
453044at2759	Missing
457861at2759	Missing
464990at2759	Missing
491869at2759	Complete	scaffold_35	237869	239476	-	166.8	226
513979at2759	Complete	scaffold_68	170626	172900	-	140.2	205
543764at2759	Complete	scaffold_2241	2890	4485	+	187.5	210
549762at2759	Complete	scaffold_1246	6889	8223	+	373.4	292
551907at2759	Complete	scaffold_654	73398	76109	-	180.0	336
570797at2759	Complete	scaffold_210	53566	55345	+	366.7	442
582756at2759	Complete	scaffold_34	367296	368753	+	166.4	331
598949at2759	Complete	scaffold_34	388419	392363	+	271.5	338
604979at2759	Complete	scaffold_15	71835	73414	-	352.6	261
621827at2759	Missing
625387at2759	Complete	scaffold_305	168106	173688	-	103.5	361
655400at2759	Complete	scaffold_195	131251	132295	+	167.2	225
664730at2759	Complete	scaffold_1000	48485	49768	+	562.2	352
671536at2759	Complete	scaffold_41	368469	370294	+	414.5	356
671846at2759	Missing
673132at2759	Complete	scaffold_44	90305	91693	+	241.3	273
674160at2759	Complete	scaffold_6	459964	468905	-	320.8	887
674169at2759	Complete	scaffold_230	155218	156735	+	104.1	172
679187at2759	Complete	scaffold_30	407441	409819	-	238.5	384
679771at2759	Complete	scaffold_193	73713	74798	+	80.8	171
687505at2759	Missing
692986at2759	Complete	scaffold_315	47018	49588	-	89.7	306
708105at2759	Complete	scaffold_575	92919	94478	-	59.4	150
719531at2759	Complete	scaffold_232	64764	66450	-	328.9	285
720340at2759	Complete	scaffold_1102	36447	37841	+	94.0	160
721605at2759	Complete	scaffold_39	358461	359800	-	165.8	254
722805at2759	Missing
734341at2759	Complete	scaffold_12	571381	572799	-	83.3	139
734666at2759	Complete	scaffold_220	48842	50780	-	345.4	364
736068at2759	Complete	scaffold_41	173749	175224	+	95.4	286
751335at2759	Complete	scaffold_7	651427	653140	-	124.8	195
759498at2759	Complete	scaffold_30	228239	230260	+	468.0	414
761109at2759	Complete	scaffold_272	39550	41310	-	322.3	346
768809at2759	Complete	scaffold_129	11345	12899	-	204.2	214
774318at2759	Complete	scaffold_22	150162	151415	+	263.8	266
777920at2759	Complete	scaffold_210	27008	29086	-	350.1	376
779909at2759	Complete	scaffold_124	49421	50794	+	191.1	196
801857at2759	Complete	scaffold_1004	13553	14815	+	172.2	189
814241at2759	Complete	scaffold_334	142347	144050	-	168.7	283
817008at2759	Complete	scaffold_85	110570	112633	+	410.9	273
834694at2759	Complete	scaffold_7	203804	205944	+	323.4	309
836599at2759	Complete	scaffold_11	463398	465168	-	322.0	260
844748at2759	Missing
855834at2759	Complete	scaffold_1700	17894	20372	-	108.3	233
858842at2759	Complete	scaffold_28	282754	284250	-	169.7	248
865202at2759	Complete	scaffold_177	52696	53697	-	188.9	209
866359at2759	Complete	scaffold_3309	3393	4606	-	293.5	225
869548at2759	Complete	scaffold_262	127235	127906	+	175.4	176
878143at2759	Complete	scaffold_2	1064407	1066367	-	336.4	294
887370at2759	Fragmented	scaffold_335	99306	101363	+	52.2	162
891751at2759	Complete	scaffold_4	612578	613779	+	190.3	202
898782at2759	Complete	scaffold_917	23160	25003	-	225.1	272
901894at2759	Complete	scaffold_26	327929	329658	+	116.0	303
905026at2759	Missing
911863at2759	Missing
917326at2759	Complete	scaffold_473	66372	68455	+	324.0	373
918816at2759	Complete	scaffold_167	209345	211798	+	88.7	174
919955at2759	Complete	scaffold_1522	8428	9741	-	140.2	218
923657at2759	Complete	scaffold_44	171570	173321	-	63.0	135
924753at2759	Complete	scaffold_514	123561	125576	-	160.6	197
931188at2759	Complete	scaffold_134	116413	118302	+	342.1	341
937275at2759	Complete	scaffold_231	165332	166876	+	40.8	94
937686at2759	Complete	scaffold_134	131770	133315	+	259.5	334
939345at2759	Complete	scaffold_5	287143	288066	-	75.0	144
944899at2759	Complete	scaffold_1657	8953	10047	+	344.6	223
946128at2759	Complete	scaffold_719	85452	87530	+	127.1	367
956854at2759	Missing
973442at2759	Fragmented	scaffold_27	378525	380532	+	44.9	117
974865at2759	Fragmented	scaffold_160	164408	165484	+	144.9	208
975158at2759	Missing
975557at2759	Complete	scaffold_82	281011	283539	-	387.0	616
976469at2759	Complete	scaffold_20	13815	14642	+	136.8	213
981902at2759	Complete	scaffold_1526	7747	9526	+	94.3	171
996662at2759	Missing
1001705at2759	Complete	scaffold_38	26299	28197	+	105.7	212
1003258at2759	Complete	scaffold_289	107964	109403	+	185.2	264
1010730at2759	Complete	scaffold_1164	1459	3220	-	283.1	258
1014314at2759	Missing
1018517at2759	Complete	scaffold_157	25739	26572	+	263.3	209
1019762at2759	Fragmented	scaffold_875	37822	39988	-	65.2	245
1025450at2759	Complete	scaffold_19	216998	218338	+	164.3	287
1030907at2759	Complete	scaffold_6	381385	382500	-	88.9	238
1032689at2759	Complete	scaffold_319	71397	72119	+	145.3	152
1038775at2759	Complete	scaffold_51	59387	60349	-	120.3	189
1041560at2759	Fragmented	scaffold_954	25669	26823	-	86.0	162
1049599at2759	Missing
1051021at2759	Complete	scaffold_190	92971	94614	+	206.0	309
1053181at2759	Missing
1057950at2759	Complete	scaffold_342	70546	71598	+	153.3	226
1065019at2759	Complete	scaffold_2125	579	1799	+	281.4	236
1076134at2759	Missing
1079130at2759	Complete	scaffold_57	169629	170942	-	313.3	256
1079827at2759	Complete	scaffold_58	58006	58785	+	332.4	220
1085752at2759	Complete	scaffold_549	44981	46390	-	80.2	178
1087488at2759	Missing
1090038at2759	Fragmented	scaffold_898	41648	42409	-	54.1	82
1094121at2759	Complete	scaffold_149	86173	86685	-	114.1	130
1096688at2759	Complete	scaffold_175	130255	131421	+	293.8	213
1106766at2759	Complete	scaffold_252	65218	66758	-	103.7	191
1107630at2759	Missing
1108845at2759	Complete	scaffold_2481	9766	11043	-	288.9	317
1111142at2759	Missing
1112002at2759	Complete	scaffold_56	335081	337819	+	355.1	490
