#                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold30_size1839819:207881-209977 -            699 3834at33634          -            493  4.7e-162  533.9   6.3   1   4   2.9e-14   7.5e-13   41.7   0.2    13    55     2    48     1    59 0.89 -
scaffold30_size1839819:207881-209977 -            699 3834at33634          -            493  4.7e-162  533.9   6.3   2   4   1.7e-11   4.5e-10   32.6   0.0    56   122    74   147    71   157 0.74 -
scaffold30_size1839819:207881-209977 -            699 3834at33634          -            493  4.7e-162  533.9   6.3   3   4   1.3e-21   3.4e-20   66.0   0.3   123   243   205   364   189   386 0.76 -
scaffold30_size1839819:207881-209977 -            699 3834at33634          -            493  4.7e-162  533.9   6.3   4   4  2.3e-118    6e-117  385.1   0.1   239   493   394   698   373   698 0.89 -
scaffold490_size130020:54149-54784   -            212 3834at33634          -            493   2.5e-07   23.5   1.6   1   3    0.0066      0.17    4.3   0.0    39    92    17    72     5    77 0.79 -
scaffold490_size130020:54149-54784   -            212 3834at33634          -            493   2.5e-07   23.5   1.6   2   3    0.0032     0.084    5.3   0.1    26    69    47    88    36    94 0.74 -
scaffold490_size130020:54149-54784   -            212 3834at33634          -            493   2.5e-07   23.5   1.6   3   3   6.2e-07   1.6e-05   17.6   0.3    22   128    84   192    77   200 0.72 -
scaffold324_size134759:74847-75560   -            238 3834at33634          -            493   2.3e-06   20.4   0.0   1   3   3.9e-06    0.0001   14.9   0.0    24    93    39   111    31   133 0.85 -
scaffold324_size134759:74847-75560   -            238 3834at33634          -            493   2.3e-06   20.4   0.0   2   3     0.025      0.66    2.4   0.0    39    85   143   190   137   215 0.86 -
scaffold324_size134759:74847-75560   -            238 3834at33634          -            493   2.3e-06   20.4   0.0   3   3     0.098       2.6    0.4   0.0    41    91   187   238   175   238 0.81 -
scaffold178_size795848:575648-576610 -            321 3834at33634          -            493     9e-06   18.4   0.5   1   2      0.14       3.7   -0.1   0.0    36    52    79    95    66    98 0.81 -
scaffold178_size795848:575648-576610 -            321 3834at33634          -            493     9e-06   18.4   0.5   2   2   5.9e-06   0.00015   14.3   0.0    27    85   208   271   202   282 0.82 -
scaffold79_size432996:372594-373675  -            329 3834at33634          -            493   9.9e-06   18.3   0.1   1   3      0.45        12   -1.8   0.0    37    67    22    52     8    62 0.77 -
scaffold79_size432996:372594-373675  -            329 3834at33634          -            493   9.9e-06   18.3   0.1   2   3     8e-05    0.0021   10.6   0.0    37    92    64   126    56   140 0.82 -
scaffold79_size432996:372594-373675  -            329 3834at33634          -            493   9.9e-06   18.3   0.1   3   3    0.0053      0.14    4.6   0.0    30   102   159   234   135   254 0.69 -
scaffold84_size1198557:131781-132824 -            348 3834at33634          -            493   1.2e-05   18.0   1.3   1   3   0.00016    0.0042    9.6   0.0    34    92    70   131    58   140 0.80 -
scaffold84_size1198557:131781-132824 -            348 3834at33634          -            493   1.2e-05   18.0   1.3   2   3       0.1       2.6    0.4   0.0   183   209   157   183   149   192 0.86 -
scaffold84_size1198557:131781-132824 -            348 3834at33634          -            493   1.2e-05   18.0   1.3   3   3    0.0064      0.17    4.3   0.1    37    67   290   320   278   348 0.88 -
scaffold174_size478105:373683-374204 -            174 3834at33634          -            493   9.5e-05   15.0   0.5   1   3     0.028      0.74    2.2   0.0    39    54    28    43    24    62 0.75 -
scaffold174_size478105:373683-374204 -            174 3834at33634          -            493   9.5e-05   15.0   0.5   2   3   0.00046     0.012    8.1   0.0    30    85    61   118    47   142 0.71 -
