#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QAXB01035484_1:2-763     -            183 604979at2759         -            307   1.9e-66  220.0   4.5   1   2   3.5e-55   5.6e-54  179.1   1.6   139   265     1   136     1   140 0.94 -
QAXB01035484_1:2-763     -            183 604979at2759         -            307   1.9e-66  220.0   4.5   2   2   1.7e-13   2.6e-12   42.2   0.1   264   295   152   183   141   183 0.93 -
QAXB01049101_1:465-1550  -            362 604979at2759         -            307   1.1e-29   99.3   7.3   1   4    0.0001    0.0017   13.3   0.1   265   297    10    43     5    54 0.83 -
QAXB01049101_1:465-1550  -            362 604979at2759         -            307   1.1e-29   99.3   7.3   2   4   1.1e-18   1.7e-17   59.3   0.3   143   296    54   223    46   226 0.81 -
QAXB01049101_1:465-1550  -            362 604979at2759         -            307   1.1e-29   99.3   7.3   3   4   5.8e-10   9.2e-09   30.6   0.2   161   249   157   250   144   254 0.75 -
QAXB01049101_1:465-1550  -            362 604979at2759         -            307   1.1e-29   99.3   7.3   4   4   1.4e-07   2.2e-06   22.8   0.1    55   149   263   360   253   362 0.43 -
QAXB01033943_1:595-1452  -            286 604979at2759         -            307   3.9e-19   64.6   2.5   1   2     0.086       1.4    3.7   0.0   279   298    10    29     1    38 0.77 -
QAXB01033943_1:595-1452  -            286 604979at2759         -            307   3.9e-19   64.6   2.5   2   2   2.9e-18   4.6e-17   57.8   1.6    41   264    42   284    32   285 0.84 -
QAXB01009893_1:247-903   -            219 604979at2759         -            307   1.2e-18   63.0   0.0   1   2   2.7e-06   4.2e-05   18.5   0.0   153   251     4   108     1   116 0.80 -
QAXB01009893_1:247-903   -            219 604979at2759         -            307   1.2e-18   63.0   0.0   2   2   3.1e-14   4.9e-13   44.6   0.0   161   263    98   205    90   209 0.87 -
QAXB01004675_1:53-547    -            165 604979at2759         -            307   5.6e-17   57.6   0.1   1   2   4.5e-13   7.1e-12   40.8   0.1   182   256     3    81     2    90 0.86 -
QAXB01004675_1:53-547    -            165 604979at2759         -            307   5.6e-17   57.6   0.1   2   2   3.2e-05    0.0005   15.0   0.0   172   222   111   163    99   165 0.57 -
QAXB01052179_1:1748-2443 -            232 604979at2759         -            307     3e-15   51.9   3.4   1   3   1.4e-11   2.2e-10   35.9   0.2   133   245     6   125     3   135 0.83 -
QAXB01052179_1:1748-2443 -            232 604979at2759         -            307     3e-15   51.9   3.4   2   3   0.00023    0.0037   12.2   0.1   136   177   136   181   129   183 0.66 -
QAXB01052179_1:1748-2443 -            232 604979at2759         -            307     3e-15   51.9   3.4   3   3      0.12       1.9    3.2   0.0   134   150   202   218   196   231 0.59 -
QAXB01053752_1:876-1748  -            291 604979at2759         -            307   7.5e-15   50.6   5.2   1   3    0.0003    0.0047   11.8   0.1   136   183     2    62     1    67 0.68 -
QAXB01053752_1:876-1748  -            291 604979at2759         -            307   7.5e-15   50.6   5.2   2   3   1.5e-07   2.4e-06   22.6   0.4   148   293    87   238    86   252 0.79 -
