ThiC	CAACVS010000170_1	82.382	613	97	5	11	617	17613	15790	0.0	1019
Thi5	CAACVS010000190_1	44.444	36	19	1	254	288	1694	1801	3.2	30.4
SSSP	CAACVS010000021_1	62.807	285	105	1	3	286	53139	52285	1.51e-110	364
TH1	CAACVS010000225_1	53.772	623	241	8	4	579	227915	226047	0.0	597
THIO	CAACVS010000647_1	56.533	750	257	13	85	770	129597	127363	0.0	771
THIS	CAACVS010000224_1	30.435	46	31	1	22	66	60910	60773	0.91	27.7
THIF	CAACVS010000650_1	49.738	382	160	2	105	454	48575	49720	1.57e-111	362
DXS	CAACVS010000420_1	76.045	718	108	4	77	731	9899	7749	0.0	1105
THIG	CAACVS010000123_1	35.714	56	34	1	181	234	72982	72815	0.001	40.8
TPK1	CAACVS010000214_1	49.388	245	106	8	19	248	191073	190348	2.59e-61	209
FOLR	CAACVS010000097_1	41.463	41	22	2	108	147	74705	74586	2.6	30.4
Thi4	CAACVS010000694_1	50.000	36	13	1	87	117	72267	72374	0.21	34.7
ThiM	CAACVS010000130_1	41.860	43	24	1	125	167	503	378	1.2	31.6
TENA	CAACVS010000564_1	61.753	251	70	3	1	226	14829	15578	3.23e-96	307
