#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QAXC01000665_1:306-1913    -            536 1312453at2759        -            678   4.1e-08   27.4   1.1   1   4       0.2        13   -0.7   0.0   563   592     4    36     3    46 0.84 -
QAXC01000665_1:306-1913    -            536 1312453at2759        -            678   4.1e-08   27.4   1.1   2   4   3.3e-05    0.0021   11.8   0.0   565   631   192   261   183   268 0.77 -
QAXC01000665_1:306-1913    -            536 1312453at2759        -            678   4.1e-08   27.4   1.1   3   4   0.00013    0.0082    9.9   0.1   575   630   325   382   318   387 0.89 -
QAXC01000665_1:306-1913    -            536 1312453at2759        -            678   4.1e-08   27.4   1.1   4   4     0.088       5.7    0.5   0.0   574   592   489   507   475   531 0.90 -
QAXC01000003_1:69052-69666 -            205 1312453at2759        -            678   1.1e-06   22.7   0.0   1   1   2.3e-08   1.5e-06   22.2   0.0    77   178    96   199    70   205 0.76 -
QAXC01002121_1:640-1131    -            164 1312453at2759        -            678   4.7e-06   20.6   0.0   1   1   7.8e-08   5.1e-06   20.5   0.0    86   179    65   160    33   164 0.82 -
QAXC01006453_1:1641-3215   -            525 1312453at2759        -            678   8.7e-06   19.7   0.3   1   6      0.05       3.2    1.3   0.0   576   621    31    76     7    97 0.61 -
QAXC01006453_1:1641-3215   -            525 1312453at2759        -            678   8.7e-06   19.7   0.3   2   6     0.015      0.96    3.0   0.0   576   633   233   292   167   304 0.67 -
QAXC01006453_1:1641-3215   -            525 1312453at2759        -            678   8.7e-06   19.7   0.3   3   6     0.008      0.52    3.9   0.0   551   616   245   314   230   364 0.70 -
QAXC01006453_1:1641-3215   -            525 1312453at2759        -            678   8.7e-06   19.7   0.3   4   6      0.28        18   -1.2   0.0   549   618   323   394   317   409 0.75 -
QAXC01006453_1:1641-3215   -            525 1312453at2759        -            678   8.7e-06   19.7   0.3   5   6      0.15       9.9   -0.3   0.0   577   592   434   449   430   483 0.87 -
QAXC01006453_1:1641-3215   -            525 1312453at2759        -            678   8.7e-06   19.7   0.3   6   6   0.00051     0.033    7.9   0.0   549   588   483   525   462   525 0.91 -
QAXC01005708_1:2-1081      -            360 1312453at2759        -            678     5e-05   17.2   0.0   1   2   0.00012     0.008    9.9   0.0   563   631    18    90     8   143 0.77 -
QAXC01005708_1:2-1081      -            360 1312453at2759        -            678     5e-05   17.2   0.0   2   2    0.0031       0.2    5.3   0.0   575   596   327   348   311   353 0.79 -
QAXC01001443_1:134-784     -            217 1312453at2759        -            678   0.00017   15.5   0.0   1   1   3.7e-06   0.00024   15.0   0.0    96   185    91   177    85   185 0.82 -
QAXC01005325_1:3975-4982   -            336 1312453at2759        -            678   0.00049   13.9   0.1   1   2    0.0031       0.2    5.3   0.0   550   623     6    85     2   103 0.71 -
QAXC01005325_1:3975-4982   -            336 1312453at2759        -            678   0.00049   13.9   0.1   2   2    0.0015     0.095    6.4   0.0   547   589   290   336   248   336 0.78 -
QAXC01003866_1:2403-2651   -             83 1312453at2759        -            678   0.00088   13.1   0.0   1   1   1.6e-05     0.001   12.9   0.0   564   630     2    78     1    80 0.68 -
QAXC01004324_1:5255-5899   -            215 1312453at2759        -            678    0.0052   10.5   0.0   1   1    0.0001    0.0065   10.2   0.0   574   626   160   214   152   215 0.80 -
QAXC01003767_1:135-1055    -            307 1312453at2759        -            678    0.0072   10.1   0.0   1   1   0.00016      0.01    9.6   0.0   576   635   188   249   183   264 0.76 -
QAXC01003909_1:2020-2535   -            172 1312453at2759        -            678    0.0082    9.9   0.0   1   2   0.00033     0.022    8.5   0.0   563   631     7    81     1   110 0.75 -
QAXC01003909_1:2020-2535   -            172 1312453at2759        -            678    0.0082    9.9   0.0   2   2      0.11       7.3    0.1   0.0   563   637    91   169    81   172 0.70 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1312453at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Halamphora_sp_AAB/run_eukaryota_odb10/metaeuk_output/rerun_results/GCA_004335955.1_ASM433595v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Halamphora_sp_AAB/run_eukaryota_odb10/hmmer_output/rerun_results/1312453at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1312453at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Halamphora_sp_AAB/run_eukaryota_odb10/metaeuk_output/rerun_results/GCA_004335955.1_ASM433595v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 08:51:08 2021
# [ok]
