# BUSCO version is: 5.1.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	AGNL01017499_1	0	5938	-	1500.8	1157
83779at2759	Complete	AGNL01018670_1	1429	3041	-	62.0	156
87842at2759	Fragmented	AGNL01035335_1	2957	3874	-	102.2	158
97116at2759	Fragmented	AGNL01018336_1	8	967	+	216.3	255
100698at2759	Complete	AGNL01000169_1	478	2365	-	494.9	416
142542at2759	Missing
156083at2759	Complete	AGNL01005410_1	2038	10146	+	3415.5	1901
160593at2759	Complete	AGNL01007405_1	819	5800	+	1014.9	1062
166920at2759	Complete	AGNL01017141_1	7554	11471	+	459.2	702
176625at2759	Fragmented	AGNL01023859_1	0	1052	+	29.7	83
179362at2759	Complete	AGNL01047472_1	13746	19817	-	504.2	1062
245208at2759	Complete	AGNL01010903_1	2	2790	+	1372.0	785
257318at2759	Complete	AGNL01032947_1	5855	8323	-	203.8	317
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	AGNL01015615_1	1109	4023	-	565.6	525
293315at2759	Fragmented	AGNL01004921_1	335	3566	-	468.6	436
296129at2759	Fragmented	AGNL01019752_1	0	1760	-	355.3	331
299766at2759	Complete	AGNL01050131_1	1651	4980	+	299.9	430
306227at2759	Complete	AGNL01002491_1	820	3105	+	365.0	432
320059at2759	Complete	AGNL01037150_1	2930	4790	-	652.0	385
324863at2759	Complete	AGNL01007501_1	687	3497	-	357.6	455
325552at2759	Missing
330169at2759	Missing
331411at2759	Missing
341721at2759	Complete	AGNL01048062_1	44	4589	-	179.7	390
345441at2759	Complete	AGNL01029595_1	3063	4478	+	278.8	290
355408at2759	Complete	AGNL01002595_1	1657	5309	-	485.0	467
369837at2759	Complete	AGNL01010033_1	419	2785	-	165.2	276
375960at2759	Complete	AGNL01015230_1	4057	5354	+	268.1	292
383503at2759	Complete	AGNL01000305_1	1685	3358	-	218.6	290
388820at2759	Missing
390348at2759	Complete	AGNL01048749_1	3179	6619	+	1052.4	701
392369at2759	Complete	AGNL01005182_1	754	2705	+	375.2	339
396755at2759	Complete	AGNL01001552_1	1568	5901	-	166.0	475
418107at2759	Complete	AGNL01034758_1	6997	8783	-	365.7	361
426305at2759	Complete	AGNL01038080_1	261	2783	-	267.1	559
450058at2759	Missing
453044at2759	Missing
457861at2759	Missing
464990at2759	Missing
491869at2759	Fragmented	AGNL01019014_1	1802	3534	-	108.1	114
513979at2759	Missing
543764at2759	Complete	AGNL01017871_1	41	1651	-	137.4	182
549762at2759	Complete	AGNL01018312_1	3664	5745	-	374.3	324
551907at2759	Complete	AGNL01013472_1	1890	4134	+	201.0	350
570797at2759	Complete	AGNL01001967_1	8589	10894	-	409.3	451
582756at2759	Complete	AGNL01049789_1	2618	7417	-	159.4	322
598949at2759	Complete	AGNL01017072_1	8288	11569	+	293.5	365
604979at2759	Complete	AGNL01040878_1	281	2297	+	383.8	298
621827at2759	Missing
625387at2759	Complete	AGNL01042367_1	6299	11887	+	131.3	270
655400at2759	Fragmented	AGNL01009466_1	502	1572	+	153.7	180
664730at2759	Complete	AGNL01012891_1	2778	4299	+	587.1	340
671536at2759	Complete	AGNL01040788_1	2264	3844	-	421.3	357
671846at2759	Missing
673132at2759	Complete	AGNL01014780_1	96	1522	+	246.2	273
674160at2759	Fragmented	AGNL01045782_1	2954	11178	+	239.4	590
674169at2759	Missing
679187at2759	Missing
679771at2759	Complete	AGNL01046742_1	950	2348	-	78.7	159
687505at2759	Complete	AGNL01004219_1	2968	4378	+	150.8	269
692986at2759	Missing
708105at2759	Missing
719531at2759	Complete	AGNL01050262_1	2191	3621	-	316.9	286
720340at2759	Fragmented	AGNL01007229_1	294	635	+	85.2	91
721605at2759	Complete	AGNL01018542_1	467	1939	+	184.2	247
722805at2759	Missing
734341at2759	Fragmented	AGNL01043552_1	75	248	-	41.4	46
734666at2759	Fragmented	AGNL01009659_1	1568	3169	-	277.2	299
736068at2759	Complete	AGNL01046434_1	790	2388	+	153.7	255
751335at2759	Duplicated	AGNL01024783_1	5123	6688	+	118.8	241
751335at2759	Duplicated	AGNL01041515_1	824	2482	+	105.1	187
759498at2759	Fragmented	AGNL01036864_1	4	594	+	244.2	170
761109at2759	Complete	AGNL01016627_1	825	3233	-	346.6	343
768809at2759	Fragmented	AGNL01013101_1	19	330	+	66.2	85
774318at2759	Complete	AGNL01019300_1	7958	10085	-	221.2	269
777920at2759	Complete	AGNL01017633_1	1133	3444	+	335.2	344
779909at2759	Missing
801857at2759	Fragmented	AGNL01050198_1	3649	5254	-	153.3	142
814241at2759	Complete	AGNL01000219_1	1322	2575	+	175.5	254
817008at2759	Complete	AGNL01007685_1	1614	2942	+	378.1	285
834694at2759	Complete	AGNL01003016_1	24	1328	-	310.4	246
836599at2759	Complete	AGNL01021117_1	17	925	-	310.7	265
844748at2759	Missing
855834at2759	Fragmented	AGNL01016624_1	750	4113	+	59.5	193
858842at2759	Missing
865202at2759	Missing
866359at2759	Missing
869548at2759	Complete	AGNL01018331_1	16182	16943	-	159.5	182
878143at2759	Complete	AGNL01050828_1	596	2437	+	253.2	245
887370at2759	Missing
891751at2759	Missing
898782at2759	Complete	AGNL01006377_1	4	1364	+	116.5	192
901894at2759	Complete	AGNL01003903_1	4864	6966	-	122.9	255
905026at2759	Missing
911863at2759	Fragmented	AGNL01010695_1	5659	6546	+	20.9	93
917326at2759	Complete	AGNL01022901_1	1059	2804	-	73.2	321
918816at2759	Missing
919955at2759	Complete	AGNL01048487_1	2285	3541	-	162.5	244
923657at2759	Fragmented	AGNL01018704_1	3278	4360	-	56.0	121
924753at2759	Complete	AGNL01048013_1	81	1823	+	164.7	204
931188at2759	Complete	AGNL01006912_1	452	2403	+	316.9	359
937275at2759	Missing
937686at2759	Missing
939345at2759	Missing
944899at2759	Complete	AGNL01003778_1	880	2139	+	364.0	242
946128at2759	Fragmented	AGNL01045798_1	0	1131	-	82.3	94
956854at2759	Complete	AGNL01016919_1	1032	1982	-	102.0	162
973442at2759	Missing
974865at2759	Complete	AGNL01017538_1	5196	6314	-	151.7	215
975158at2759	Missing
975557at2759	Fragmented	AGNL01030976_1	681	989	+	219.9	100
976469at2759	Complete	AGNL01021894_1	1156	2160	-	138.7	229
981902at2759	Complete	AGNL01047781_1	5193	6660	+	117.0	227
996662at2759	Missing
1001705at2759	Missing
1003258at2759	Fragmented	AGNL01047573_1	1122	2738	-	186.7	242
1010730at2759	Complete	AGNL01007674_1	11473	13047	+	297.2	255
1014314at2759	Missing
1018517at2759	Complete	AGNL01024263_1	151	1171	+	255.3	209
1019762at2759	Fragmented	AGNL01049542_1	619	3697	+	75.1	218
1025450at2759	Complete	AGNL01004554_1	2013	2975	-	111.8	219
1030907at2759	Duplicated	AGNL01026115_1	620	2099	+	70.4	231
1030907at2759	Duplicated	AGNL01034569_1	582	1736	+	60.2	225
1032689at2759	Complete	AGNL01007674_1	9510	10976	-	148.2	152
1038775at2759	Complete	AGNL01004276_1	1401	2644	-	116.4	203
1041560at2759	Missing
1049599at2759	Missing
1051021at2759	Fragmented	AGNL01010593_1	8236	10482	-	231.2	224
1053181at2759	Fragmented	AGNL01021377_1	14900	15703	+	24.4	99
1057950at2759	Complete	AGNL01047781_1	1292	2454	-	187.5	227
1065019at2759	Fragmented	AGNL01016455_1	1983	3073	-	182.5	188
1076134at2759	Complete	AGNL01047784_1	157	1751	+	133.3	183
1079130at2759	Complete	AGNL01046461_1	6424	7761	-	304.9	228
1079827at2759	Complete	AGNL01007977_1	870	1801	+	334.0	219
1085752at2759	Fragmented	AGNL01033619_1	739	1857	+	65.6	131
1087488at2759	Missing
1090038at2759	Fragmented	AGNL01004948_1	107	568	-	34.1	62
1094121at2759	Missing
1096688at2759	Fragmented	AGNL01047448_1	5567	6370	-	182.9	132
1106766at2759	Complete	AGNL01022760_1	602	2098	-	80.9	173
1107630at2759	Complete	AGNL01015685_1	20	4155	-	200.2	194
1108845at2759	Fragmented	AGNL01050228_1	5085	7662	-	207.1	237
1111142at2759	Missing
1112002at2759	Complete	AGNL01046515_1	1183	4777	+	338.5	584
1115196at2759	Duplicated	AGNL01020340_1	1471	2733	-	365.9	260
1115196at2759	Duplicated	AGNL01045440_1	6360	7742	+	353.7	248
1128607at2759	Duplicated	AGNL01043852_1	0	1358	+	304.0	244
1128607at2759	Duplicated	AGNL01004186_1	5096	7004	-	301.8	256
1129824at2759	Missing
1138059at2759	Complete	AGNL01018403_1	4760	6089	+	242.4	199
1157302at2759	Complete	AGNL01000979_1	3601	4457	+	335.3	202
1161199at2759	Complete	AGNL01047589_1	12858	13825	+	63.8	172
1173229at2759	Complete	AGNL01015890_1	3948	6761	+	103.5	224
1178688at2759	Complete	AGNL01003999_1	1637	2254	-	84.7	145
1182451at2759	Complete	AGNL01002352_1	1007	1699	+	129.8	152
1193442at2759	Complete	AGNL01046410_1	1340	2293	+	310.4	238
1194691at2759	Complete	AGNL01049392_1	1154	2638	-	250.8	264
1194797at2759	Complete	AGNL01025040_1	421	2923	+	314.7	399
1197019at2759	Missing
1200489at2759	Complete	AGNL01017086_1	1021	1719	-	76.6	109
1217666at2759	Missing
1220881at2759	Fragmented	AGNL01017085_1	11262	12050	-	50.8	91
1222562at2759	Complete	AGNL01000044_1	1940	2892	-	145.1	115
1223488at2759	Complete	AGNL01017538_1	9365	10072	+	39.7	105
1228942at2759	Complete	AGNL01010318_1	539	1496	+	184.0	163
1233814at2759	Complete	AGNL01010631_1	3157	3720	-	105.8	133
1236198at2759	Missing
1247641at2759	Missing
1248958at2759	Complete	AGNL01046844_1	5042	7978	+	508.0	615
1249159at2759	Complete	AGNL01021550_1	575	1207	+	99.5	175
1251252at2759	Complete	AGNL01023132_1	1281	1877	+	27.8	69
1257440at2759	Complete	AGNL01003388_1	3662	4252	+	128.9	128
1258856at2759	Fragmented	AGNL01045747_1	9249	12626	+	199.8	375
1259741at2759	Complete	AGNL01042628_1	425	2538	+	246.4	279
1260807at2759	Fragmented	AGNL01050473_1	3521	4054	-	145.5	123
1264469at2759	Fragmented	AGNL01009080_1	1	3510	-	54.8	58
1266231at2759	Complete	AGNL01004203_1	641	1486	+	215.1	188
1269244at2759	Complete	AGNL01045981_1	1407	2559	+	45.0	108
1269649at2759	Complete	AGNL01028087_1	7540	8442	-	237.2	165
1275837at2759	Complete	AGNL01008656_1	894	1949	-	271.7	242
1284731at2759	Fragmented	AGNL01005237_1	1877	3184	+	67.0	84
1287094at2759	Complete	AGNL01015666_1	905	1528	-	61.8	148
1287401at2759	Complete	AGNL01025692_1	2506	3537	-	228.1	161
1291729at2759	Missing
1304061at2759	Missing
1309031at2759	Missing
1312453at2759	Missing
1314980at2759	Fragmented	AGNL01004356_1	1012	2190	-	127.4	287
1322299at2759	Complete	AGNL01017612_1	880	2688	-	174.3	259
1322642at2759	Duplicated	AGNL01035495_1	0	2152	+	124.8	140
1322642at2759	Duplicated	AGNL01047432_1	1618	3739	-	124.4	141
1323575at2759	Complete	AGNL01012566_1	8868	10781	-	88.6	122
1324510at2759	Duplicated	AGNL01047367_1	773	3097	-	201.1	272
1324510at2759	Duplicated	AGNL01047605_1	3803	8460	-	198.3	260
1338131at2759	Complete	AGNL01047450_1	418	867	+	225.0	131
1339553at2759	Complete	AGNL01044315_1	5757	6820	-	58.9	181
1342242at2759	Complete	AGNL01017458_1	338	2349	-	106.5	156
1346165at2759	Complete	AGNL01049627_1	525	2091	+	291.0	247
1346432at2759	Complete	AGNL01034411_1	491	1444	-	100.9	187
1348942at2759	Fragmented	AGNL01050100_1	2602	3261	-	40.3	86
1355894at2759	Complete	AGNL01045504_1	2501	3338	+	165.2	141
1358374at2759	Missing
1364586at2759	Missing
1370285at2759	Fragmented	AGNL01021307_1	10	417	+	49.5	91
1370304at2759	Fragmented	AGNL01011262_1	515	2727	-	39.0	204
1377237at2759	Fragmented	AGNL01048502_1	2162	3340	-	81.0	80
1379600at2759	Fragmented	AGNL01020640_1	0	1172	-	119.2	228
1380409at2759	Duplicated	AGNL01001170_1	2468	3227	-	173.6	142
1380409at2759	Duplicated	AGNL01045331_1	1502	2820	+	161.6	125
1382842at2759	Fragmented	AGNL01049410_1	4139	4426	+	45.7	45
1395649at2759	Fragmented	AGNL01000317_1	5018	5716	+	47.1	90
1398309at2759	Fragmented	AGNL01050551_1	614	1362	+	40.3	57
1404162at2759	Fragmented	AGNL01010318_1	9057	10574	-	39.1	80
1405073at2759	Duplicated	AGNL01009782_1	2755	4512	-	203.9	154
1405073at2759	Duplicated	AGNL01046380_1	5189	6821	+	179.4	144
1405146at2759	Complete	AGNL01050094_1	1714	2490	+	87.1	100
1407446at2759	Missing
1421503at2759	Fragmented	AGNL01006231_1	3889	4263	+	103.8	96
1423847at2759	Fragmented	AGNL01018885_1	1506	2676	+	57.5	62
1426075at2759	Complete	AGNL01006631_1	3222	3647	+	76.0	96
1428265at2759	Complete	AGNL01012864_1	1642	2580	-	37.3	174
1428854at2759	Complete	AGNL01002597_1	5848	8527	+	345.7	417
1430056at2759	Complete	AGNL01004919_1	1135	2076	+	71.0	129
1432328at2759	Complete	AGNL01018723_1	708	4741	+	224.3	183
1434266at2759	Missing
1440961at2759	Missing
1441854at2759	Complete	AGNL01009824_1	1964	3204	+	159.2	204
1442062at2759	Missing
1445102at2759	Complete	AGNL01000979_1	5537	6406	+	228.8	190
1450538at2759	Fragmented	AGNL01048589_1	1263	2168	+	67.8	110
1454155at2759	Missing
1455730at2759	Fragmented	AGNL01015661_1	1	1116	-	242.0	231
1459797at2759	Complete	AGNL01047432_1	3638	4188	+	59.1	108
1474000at2759	Complete	AGNL01009881_1	2504	3861	+	63.1	103
1479417at2759	Complete	AGNL01020319_1	1527	2194	+	237.5	163
1488235at2759	Complete	AGNL01019300_1	4818	5360	+	154.3	140
1488436at2759	Fragmented	AGNL01042964_1	253	663	-	82.2	45
1490022at2759	Fragmented	AGNL01004153_1	999	1839	+	106.1	139
1504863at2759	Complete	AGNL01044315_1	11190	11769	-	98.0	106
1513531at2759	Complete	AGNL01044356_1	7559	8469	+	182.9	207
1525971at2759	Complete	AGNL01020960_1	4951	5226	-	89.3	79
1526152at2759	Missing
1530008at2759	Fragmented	AGNL01002407_1	2398	2679	+	103.1	75
1538526at2759	Complete	AGNL01015620_1	2710	3422	+	129.3	98
1545004at2759	Complete	AGNL01026713_1	3760	5842	+	74.4	71
1552706at2759	Complete	AGNL01006734_1	1821	2312	-	23.9	82
1558822at2759	Complete	AGNL01045607_1	847	1204	+	86.0	65
1563319at2759	Fragmented	AGNL01000297_1	2587	3474	+	40.6	101
1567796at2759	Complete	AGNL01000802_1	2653	3245	-	111.8	115
1575179at2759	Complete	AGNL01044290_1	122	442	+	31.7	57
1576404at2759	Complete	AGNL01001952_1	4625	5607	-	97.1	165
1588798at2759	Complete	AGNL01021647_1	1456	2310	-	66.0	74
1593937at2759	Missing
1617752at2759	Complete	AGNL01000112_1	14340	14753	+	102.0	80
1620056at2759	Duplicated	AGNL01024308_1	8048	8458	-	41.1	73
1620056at2759	Duplicated	AGNL01049882_1	6140	6439	+	35.4	61
1623701at2759	Complete	AGNL01018318_1	2968	3525	-	80.4	87
1626636at2759	Complete	AGNL01015474_1	447	1368	+	87.8	158
1633672at2759	Complete	AGNL01020703_1	2286	2552	-	135.3	83
1645187at2759	Missing
