#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Sro_contig686:27983-28822  -            280 20182at33634         -            251   1.4e-94  310.2   0.0   1   1   5.1e-96   2.1e-94  309.6   0.0     6   251     3   279     1   279 0.89 -
Sro_contig1533:6763-7857   -            314 20182at33634         -            251   2.4e-85  280.0   0.1   1   1   9.8e-87   4.1e-85  279.2   0.1     6   251    31   309    27   309 0.88 -
Sro_contig3098:1-675       -            173 20182at33634         -            251   2.6e-52  171.8   0.2   1   1   1.2e-53   5.1e-52  170.8   0.2     6   132    31   172    27   173 0.89 -
Sro_contig248:49566-50144  -            193 20182at33634         -            251   4.9e-25   82.4   0.6   1   1   4.5e-26   1.9e-24   80.5   0.6    23   196     1   191     1   193 0.84 -
Sro_contig23:133960-153235 -            195 20182at33634         -            251   1.9e-21   70.7   0.0   1   1   5.8e-23   2.4e-21   70.3   0.0    20   168    31   195     8   195 0.82 -
Sro_contig32:132222-132815 -            198 20182at33634         -            251   9.4e-19   61.8   0.2   1   2   1.8e-10   7.4e-09   29.4   0.3    19    70     2    54     1    64 0.88 -
Sro_contig32:132222-132815 -            198 20182at33634         -            251   9.4e-19   61.8   0.2   2   2   6.5e-11   2.7e-09   30.8   0.0    87   184    95   194    62   198 0.85 -
Sro_contig1062:15888-16487 -            200 20182at33634         -            251   2.4e-15   50.7   0.0   1   1   2.6e-16   1.1e-14   48.5   0.0    27   196     1   199     1   200 0.78 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/20182at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Seminavis_robusta_version1.2/run_stramenopiles_odb10/metaeuk_output/initial_results/Seminavis_robusta_genomeV1.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Seminavis_robusta_version1.2/run_stramenopiles_odb10/hmmer_output/initial_run_results/20182at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/20182at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Seminavis_robusta_version1.2/run_stramenopiles_odb10/metaeuk_output/initial_results/Seminavis_robusta_genomeV1.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Fri Apr 16 09:11:11 2021
# [ok]
