# BUSCO version is: 5.1.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	CAACVS010000045_1	55880	62602	+	1676.4	1427
83779at2759	Complete	CAACVS010000385_1	102810	104926	-	157.8	190
87842at2759	Complete	CAACVS010000575_1	153407	157158	+	196.3	479
97116at2759	Complete	CAACVS010000595_1	23560	27801	+	638.4	902
100698at2759	Complete	CAACVS010000167_1	26364	28829	-	679.4	504
142542at2759	Missing
156083at2759	Complete	CAACVS010000002_1	326813	334032	+	3391.1	1909
160593at2759	Complete	CAACVS010000078_1	10651	15323	-	1012.9	1104
166920at2759	Complete	CAACVS010000006_1	20394	24557	+	474.2	673
176625at2759	Fragmented	CAACVS010000183_1	4609	8428	+	156.4	280
179362at2759	Complete	CAACVS010000001_1	205218	210080	+	567.4	1130
245208at2759	Complete	CAACVS010000052_1	62430	65969	+	1405.9	835
257318at2759	Complete	CAACVS010000103_1	206308	207936	+	204.0	333
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	CAACVS010000116_1	29826	33072	-	543.5	564
293315at2759	Complete	CAACVS010000185_1	37746	40988	-	556.2	574
296129at2759	Complete	CAACVS010000499_1	172621	175926	-	877.8	705
299766at2759	Complete	CAACVS010000564_1	122592	126762	-	346.3	414
306227at2759	Complete	CAACVS010000459_1	163201	165555	+	424.7	501
320059at2759	Complete	CAACVS010000074_1	48157	50120	-	803.3	451
324863at2759	Complete	CAACVS010000289_1	29423	32675	-	446.1	499
325552at2759	Missing
330169at2759	Complete	CAACVS010000075_1	13983	15908	-	221.0	338
331411at2759	Missing
341721at2759	Complete	CAACVS010000437_1	833	2572	+	225.7	365
345441at2759	Complete	CAACVS010000059_1	178597	180351	-	313.9	344
355408at2759	Complete	CAACVS010000126_1	274079	276250	+	572.1	567
369837at2759	Complete	CAACVS010000302_1	196621	199497	-	180.1	327
375960at2759	Complete	CAACVS010000088_1	20942	22762	+	80.1	236
383503at2759	Complete	CAACVS010000674_1	43375	45396	-	215.5	334
388820at2759	Missing
390348at2759	Complete	CAACVS010000114_1	369296	372312	+	1087.2	711
392369at2759	Complete	CAACVS010000031_1	38772	40590	-	370.3	340
396755at2759	Complete	CAACVS010000674_1	114099	117793	+	177.5	564
418107at2759	Complete	CAACVS010000575_1	98127	101773	-	235.0	289
426305at2759	Complete	CAACVS010000627_1	26138	28714	-	266.4	524
450058at2759	Missing
453044at2759	Missing
457861at2759	Missing
464990at2759	Missing
