#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
WKLE02002153_1:8363-12541 -           1393 598949at2759         -            402   2.2e-87  289.6  13.1   1   3   4.7e-86   1.3e-83  277.1   8.5     6   302   123   469   119   472 0.87 -
WKLE02002153_1:8363-12541 -           1393 598949at2759         -            402   2.2e-87  289.6  13.1   2   3    0.0022      0.63    4.9   0.0   296   316   521   541   502   546 0.78 -
WKLE02002153_1:8363-12541 -           1393 598949at2759         -            402   2.2e-87  289.6  13.1   3   3    0.0031      0.87    4.4   0.1   322   364   583   625   576   651 0.79 -
WKLE02001299_1:3868-5481  -            538 598949at2759         -            402   2.1e-35  118.5   2.2   1   2   1.6e-37   4.4e-35  117.4   0.6    12   275    77   379    71   398 0.84 -
WKLE02001299_1:3868-5481  -            538 598949at2759         -            402   2.1e-35  118.5   2.2   2   2      0.19        55   -1.5   0.0   301   312   434   445   404   466 0.66 -
WKLE02003846_1:1176-2588  -            471 598949at2759         -            402   4.7e-23   77.7   4.1   1   2   1.1e-07   3.2e-05   19.0   0.2     7    80    69   148    67   157 0.87 -
WKLE02003846_1:1176-2588  -            471 598949at2759         -            402   4.7e-23   77.7   4.1   2   2   1.2e-18   3.3e-16   55.2   0.4   143   276   247   408   205   471 0.73 -
WKLE02000208_1:5069-6343  -            425 598949at2759         -            402   2.4e-22   75.4   4.4   1   2   4.2e-07   0.00012   17.2   0.1     7   101    86   190    84   194 0.77 -
WKLE02000208_1:5069-6343  -            425 598949at2759         -            402   2.4e-22   75.4   4.4   2   2   6.6e-20   1.9e-17   59.3   1.0   168   275   313   423   256   424 0.82 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/598949at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Asterionellopsis_glacialis_ASM1488511v2/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_014885115.2_ASM1488511v2_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Asterionellopsis_glacialis_ASM1488511v2/run_eukaryota_odb10/hmmer_output/initial_run_results/598949at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/598949at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Asterionellopsis_glacialis_ASM1488511v2/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_014885115.2_ASM1488511v2_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Mon Apr 19 05:53:10 2021
# [ok]
