PtTHIC	CM000617_1	89.565	345	0	1	1	309	28878	29912	0.0	630
PtNMT1	CP001142_1	98.972	389	4	0	76	464	1172195	1171029	0.0	780
PtTH1	CM000615_1	100.000	580	0	0	1	580	210541	212280	0.0	1142
PtTHIO	CM000605_1	100.000	789	0	0	1	789	327763	330129	0.0	1606
PtTHIS	CM000631_1	30.435	46	32	0	1	46	143715	143578	0.009	32.3
PtTHIF	CM000608_1	100.000	454	0	0	1	454	415071	416432	0.0	879
PtDXS	DS999284_1	100.000	731	0	0	1	731	18166	15974	0.0	1478
PtTHIG	CM000621_1	35.714	56	34	1	181	234	356027	356194	0.001	40.0
PtTPK	CM000612_1	100.000	255	0	0	1	255	151649	150885	2.02e-174	532
PtSSSP	CM000628_1	100.000	566	0	0	13	578	139437	137740	0.0	1090
FsFOLR	CM000607_1	23.810	42	32	0	228	269	271111	270986	0.72	31.2
CrTHI4	CM000609_1	32.099	81	43	3	91	161	586156	586392	0.004	39.3
