# BUSCO version is: 5.1.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	scaffold244_size177422	67118	74022	-	1472.2	1241
83779at2759	Complete	scaffold309_size160349	77399	79901	+	201.7	247
87842at2759	Fragmented	scaffold15_size1195317	782448	787614	-	151.7	378
97116at2759	Complete	scaffold78_size742230	9074	13337	+	699.3	862
100698at2759	Complete	scaffold20_size643067	483949	486505	+	701.4	499
142542at2759	Missing
156083at2759	Complete	scaffold61_size850897	129411	136849	-	3382.3	1904
160593at2759	Complete	scaffold285_size245110	132645	137852	+	1047.7	1029
166920at2759	Complete	scaffold81_size906611	640739	644753	-	473.8	718
176625at2759	Fragmented	scaffold69_size508817	321113	325757	+	152.3	272
179362at2759	Duplicated	scaffold199_size590671	219631	224949	+	599.5	1090
179362at2759	Duplicated	scaffold299_size214613	21745	27058	+	599.0	1177
245208at2759	Complete	scaffold50_size1076052	136915	140226	-	1381.1	846
257318at2759	Complete	scaffold253_size408994	158321	161049	+	202.7	324
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	scaffold174_size478105	372584	375416	-	548.6	526
293315at2759	Complete	scaffold547_size55557	21180	24729	-	567.3	598
296129at2759	Complete	scaffold29_size1339158	245799	250018	-	754.6	750
299766at2759	Duplicated	scaffold203_size675210	321697	325463	-	298.6	435
299766at2759	Duplicated	scaffold741_size29676	10921	13554	+	266.3	391
306227at2759	Complete	scaffold34_size735826	440406	442493	+	447.9	513
320059at2759	Complete	scaffold186_size574618	401458	403438	+	795.2	450
324863at2759	Complete	scaffold57_size959080	327394	340825	+	330.4	468
325552at2759	Missing
330169at2759	Complete	scaffold161_size418508	336947	338581	+	233.0	303
331411at2759	Missing
341721at2759	Complete	scaffold18_size1287306	819587	821902	-	181.3	365
345441at2759	Complete	scaffold34_size735826	244066	246023	-	344.1	400
355408at2759	Complete	scaffold450_size199222	63686	65860	+	591.9	552
369837at2759	Complete	scaffold43_size830363	601627	604356	+	181.6	353
375960at2759	Complete	scaffold9_size952703	312291	314156	+	290.9	340
383503at2759	Fragmented	scaffold248_size497523	89514	90926	-	224.8	260
388820at2759	Missing
390348at2759	Complete	scaffold56_size883888	674881	677963	-	1080.0	704
392369at2759	Complete	scaffold33_size760673	436662	438628	+	375.9	338
396755at2759	Complete	scaffold61_size850897	362967	366941	+	196.6	576
418107at2759	Complete	scaffold61_size850897	569072	570619	-	375.7	327
426305at2759	Complete	scaffold450_size199222	35768	38298	-	297.3	517
450058at2759	Missing
453044at2759	Fragmented	scaffold49_size1113722	960701	961444	+	114.4	146
457861at2759	Missing
464990at2759	Missing
491869at2759	Complete	scaffold47_size554194	437651	439420	-	165.7	228
513979at2759	Complete	scaffold130_size243161	119277	121311	+	164.4	209
543764at2759	Complete	scaffold196_size304054	88322	89980	+	164.6	221
549762at2759	Complete	scaffold65_size510149	385161	387473	-	387.2	381
551907at2759	Complete	scaffold88_size628103	292801	295794	-	182.3	317
570797at2759	Complete	scaffold30_size1839819	137383	139554	+	409.8	442
582756at2759	Complete	scaffold95_size415656	318255	323593	+	140.2	348
598949at2759	Complete	scaffold121_size385013	52690	55824	-	298.9	363
604979at2759	Complete	scaffold509_size108806	45108	47043	+	363.7	259
621827at2759	Missing
625387at2759	Complete	scaffold198_size192228	59637	64360	-	136.3	326
655400at2759	Fragmented	scaffold158_size494160	299117	300235	-	143.5	167
664730at2759	Complete	scaffold347_size139305	98737	100452	-	594.0	342
671536at2759	Fragmented	scaffold338_size134338	38896	39843	+	369.6	231
671846at2759	Complete	scaffold118_size654595	186049	188493	-	66.5	269
673132at2759	Complete	scaffold97_size472814	414951	416271	+	245.6	271
674160at2759	Fragmented	scaffold137_size356950	240918	249111	-	251.1	580
674169at2759	Missing
679187at2759	Missing
679771at2759	Complete	scaffold225_size291280	222271	223755	-	68.8	145
687505at2759	Complete	scaffold77_size996369	147020	148253	+	150.4	267
692986at2759	Duplicated	scaffold174_size478105	89426	92218	+	111.1	256
692986at2759	Duplicated	scaffold148_size484791	17745	20645	-	109.2	276
708105at2759	Fragmented	scaffold438_size288449	152046	153503	+	59.6	142
719531at2759	Complete	scaffold6_size974155	49018	50552	+	334.1	290
720340at2759	Complete	scaffold90_size604671	542492	544138	+	95.6	148
721605at2759	Complete	scaffold23_size1082546	981410	983146	-	175.8	250
722805at2759	Missing
734341at2759	Complete	scaffold65_size510149	378086	379114	+	75.1	137
734666at2759	Complete	scaffold6_size974155	778750	780745	+	311.2	363
736068at2759	Complete	scaffold270_size483417	394921	396570	-	143.9	288
751335at2759	Duplicated	scaffold124_size485472	199994	201571	-	125.8	189
751335at2759	Duplicated	scaffold180_size436525	71976	73783	-	124.3	213
759498at2759	Complete	scaffold111_size321812	245518	247894	+	478.9	422
761109at2759	Complete	scaffold86_size624847	513553	515445	+	343.7	344
768809at2759	Complete	scaffold21_size630201	364394	366046	+	185.4	241
774318at2759	Complete	scaffold30_size1839819	1169179	1170525	+	253.0	270
777920at2759	Complete	scaffold196_size304054	97960	100331	+	248.5	281
779909at2759	Complete	scaffold33_size760673	380001	381043	+	201.7	194
801857at2759	Complete	scaffold449_size76078	39015	40902	+	167.2	193
814241at2759	Complete	scaffold314_size569245	532938	534245	+	167.9	227
817008at2759	Complete	scaffold10_size1286326	823587	824939	-	388.7	278
834694at2759	Complete	scaffold91_size1046064	27970	30015	-	354.3	331
836599at2759	Duplicated	scaffold37_size854255	662759	786548	+	288.0	259
836599at2759	Duplicated	scaffold336_size271081	86135	87943	-	286.9	255
844748at2759	Missing
855834at2759	Complete	scaffold476_size108765	43042	46233	+	71.8	216
858842at2759	Complete	scaffold130_size243161	176780	178421	+	187.7	259
865202at2759	Complete	scaffold43_size830363	377775	378785	+	158.1	200
866359at2759	Complete	scaffold79_size432996	372594	373675	+	301.3	247
869548at2759	Complete	scaffold27_size899298	13168	13984	-	177.3	164
878143at2759	Complete	scaffold308_size148906	62151	63723	-	338.7	336
887370at2759	Fragmented	scaffold46_size1342926	770203	771279	+	63.6	90
891751at2759	Complete	scaffold20_size643067	58597	59631	-	177.1	209
898782at2759	Complete	scaffold161_size418508	302527	304401	-	218.6	269
901894at2759	Complete	scaffold46_size1342926	1163835	1166019	-	124.2	319
905026at2759	Missing
911863at2759	Missing
917326at2759	Complete	scaffold63_size1124630	1047884	1049824	-	302.3	366
918816at2759	Fragmented	scaffold31_size457105	204641	206164	+	66.6	140
919955at2759	Fragmented	scaffold92_size717885	542913	544136	+	149.6	201
923657at2759	Missing
924753at2759	Complete	scaffold11_size2099203	1804252	1806038	+	149.4	208
931188at2759	Complete	scaffold167_size363885	220710	222848	-	335.4	339
937275at2759	Missing
937686at2759	Complete	scaffold57_size959080	762546	764147	-	221.7	329
939345at2759	Complete	scaffold178_size795848	102271	104227	-	66.7	95
944899at2759	Complete	scaffold182_size306869	47527	48660	+	365.5	242
946128at2759	Fragmented	scaffold122_size482992	443988	446355	+	114.9	232
956854at2759	Complete	scaffold205_size192886	122012	122959	+	103.5	160
973442at2759	Fragmented	scaffold62_size550535	77419	78984	-	25.4	109
974865at2759	Complete	scaffold63_size1124630	638263	639403	+	158.2	218
975158at2759	Missing
975557at2759	Complete	scaffold18_size1287306	1169861	1172542	+	421.3	511
976469at2759	Complete	scaffold22_size1075405	63854	64861	-	141.1	229
981902at2759	Complete	scaffold56_size883888	112305	113714	-	118.9	191
996662at2759	Missing
1001705at2759	Fragmented	scaffold108_size270505	186996	188968	+	82.5	162
1003258at2759	Complete	scaffold223_size324968	249630	251239	-	189.5	248
1010730at2759	Complete	scaffold405_size128856	48151	49967	+	290.9	254
1014314at2759	Missing
1018517at2759	Complete	scaffold81_size906611	395304	396164	+	256.5	209
1019762at2759	Complete	scaffold6_size974155	160382	162397	-	80.5	283
1025450at2759	Duplicated	scaffold178_size795848	575762	576808	-	125.9	228
1025450at2759	Duplicated	scaffold88_size628103	319285	320364	-	118.2	252
1030907at2759	Complete	scaffold65_size510149	464894	466045	-	76.0	228
1032689at2759	Complete	scaffold92_size717885	75541	76869	-	142.8	147
1038775at2759	Complete	scaffold237_size481080	153830	154915	+	128.2	203
1041560at2759	Missing
1049599at2759	Missing
1051021at2759	Duplicated	scaffold314_size569245	347308	349076	-	259.2	283
1051021at2759	Duplicated	scaffold14_size2522936|	2196610	2198438	-	243.4	309
1053181at2759	Fragmented	scaffold128_size239376	87106	87546	-	18.2	52
1057950at2759	Complete	scaffold203_size675210	435604	436763	+	201.3	226
1065019at2759	Complete	scaffold88_size628103	452603	453799	+	294.8	238
1076134at2759	Fragmented	scaffold471_size71791	28444	29022	-	74.0	118
1079130at2759	Complete	scaffold427_size81841	68597	69917	-	311.0	230
1079827at2759	Fragmented	scaffold52_size687078	197340	197948	+	201.3	161
1085752at2759	Fragmented	scaffold9_size952703	113925	115454	+	66.0	165
1087488at2759	Missing
1090038at2759	Complete	scaffold11_size2099203	976618	977208	+	57.3	96
1094121at2759	Complete	scaffold143_size387940	104029	104920	-	94.4	126
1096688at2759	Complete	scaffold14_size2522936|	1390313	1391523	+	299.7	212
1106766at2759	Complete	scaffold175_size403523	60263	61759	-	79.3	176
1107630at2759	Complete	scaffold30_size1839819	822826	823755	-	212.0	188
1108845at2759	Complete	scaffold206_size583153	337840	339255	+	246.5	294
1111142at2759	Missing
1112002at2759	Complete	scaffold50_size1076052	992513	996258	+	264.9	481
1115196at2759	Duplicated	scaffold118_size654595	407208	408443	-	364.9	253
1115196at2759	Duplicated	scaffold22_size1075405	94355	95566	+	353.7	256
1128607at2759	Complete	scaffold249_size437664	153968	155102	+	316.6	252
1129824at2759	Missing
1138059at2759	Complete	scaffold62_size550535	210557	211634	+	249.3	201
1157302at2759	Complete	scaffold12_size593008	526467	527359	-	283.1	175
1161199at2759	Complete	scaffold20_size643067	511408	512319	-	58.9	139
1173229at2759	Complete	scaffold322_size364683	315913	317725	-	106.0	193
1178688at2759	Complete	scaffold227_size405358	338189	338797	-	78.1	135
1182451at2759	Complete	scaffold150_size268420	124275	125301	+	116.7	170
1193442at2759	Complete	scaffold40_size1212554	544225	545574	-	312.3	268
1194691at2759	Complete	scaffold235_size475901	356777	357989	-	256.6	263
1194797at2759	Complete	scaffold193_size371654	118159	120328	-	324.2	398
1197019at2759	Complete	scaffold267_size214906	123249	124249	+	160.5	155
1200489at2759	Complete	scaffold162_size663301	58548	59425	-	68.8	132
1217666at2759	Complete	scaffold235_size475901	245380	245925	-	175.8	146
1220881at2759	Fragmented	scaffold403_size184178	104145	104990	+	53.5	95
1222562at2759	Complete	scaffold126_size770990	179914	180835	-	134.4	123
1223488at2759	Complete	scaffold63_size1124630	630641	631384	+	42.9	106
1228942at2759	Complete	scaffold77_size996369	335584	336369	-	183.1	163
1233814at2759	Complete	scaffold23_size1082546	955395	956264	+	126.1	156
1236198at2759	Complete	scaffold161_size418508	4748	5542	+	121.5	133
1247641at2759	Complete	scaffold14_size2522936|	2483354	2483941	+	82.5	128
1248958at2759	Complete	scaffold26_size1270847	146663	149906	+	499.7	616
1249159at2759	Complete	scaffold374_size175640	41256	41876	-	92.4	150
1251252at2759	Complete	scaffold66_size693783	614323	614868	-	28.9	71
1257440at2759	Fragmented	scaffold221_size212253	5116	5718	+	118.9	93
1258856at2759	Fragmented	scaffold405_size128856	81808	83517	+	143.5	294
1259741at2759	Complete	scaffold199_size590671	79921	80988	-	241.5	230
1260807at2759	Complete	scaffold56_size883888	563325	564146	-	193.7	212
1264469at2759	Complete	scaffold23_size1082546	437688	438404	-	130.4	128
1266231at2759	Complete	scaffold186_size574618	87416	88258	-	216.0	187
1269244at2759	Missing
1269649at2759	Complete	scaffold30_size1839819	147302	148042	+	251.4	165
1275837at2759	Complete	scaffold86_size624847	128718	129731	+	275.1	242
1284731at2759	Fragmented	scaffold50_size1076052	538065	539159	+	70.8	105
1287094at2759	Complete	scaffold159_size508292	136895	137563	+	68.6	144
1287401at2759	Complete	scaffold42_size1068717	512623	513474	+	227.9	160
1291729at2759	Complete	scaffold79_size432996	244574	245368	-	38.1	104
1304061at2759	Complete	scaffold30_size1839819	759225	760229	+	102.5	128
1309031at2759	Fragmented	scaffold31_size457105	432134	433660	-	142.4	234
1312453at2759	Missing
1314980at2759	Complete	scaffold307_size244662	84311	87690	+	196.1	380
1322299at2759	Fragmented	scaffold241_size197933	17146	17874	+	157.1	181
1322642at2759	Complete	scaffold192_size360471	281366	282610	-	154.3	137
1323575at2759	Complete	scaffold29_size1339158	165971	166637	-	118.2	112
1324510at2759	Complete	scaffold181_size428437	240300	274261	+	217.5	276
1338131at2759	Duplicated	scaffold442_size90828	10982	11569	-	208.9	143
1338131at2759	Duplicated	scaffold234_size301731	294484	295071	-	202.9	146
1338131at2759	Duplicated	scaffold319_size264952	27400	66082	-	201.2	141
1338131at2759	Duplicated	scaffold57_size959080	570077	570639	+	200.6	145
1338131at2759	Duplicated	scaffold377_size99072	81927	82516	+	192.8	142
1338131at2759	Duplicated	scaffold16_size1078160	906849	907422	+	190.1	145
1338131at2759	Duplicated	scaffold36_size437733	113930	114442	+	186.9	126
1338131at2759	Duplicated	scaffold163_size366370	294160	294729	+	183.9	145
1339553at2759	Missing
1342242at2759	Complete	scaffold186_size574618	26935	28532	+	109.3	170
1346165at2759	Complete	scaffold31_size457105	256526	258068	+	291.4	225
1346432at2759	Missing
1348942at2759	Complete	scaffold67_size628035	123243	124574	+	55.8	176
1355894at2759	Complete	scaffold67_size628035	292222	292818	-	190.5	141
1358374at2759	Missing
1364586at2759	Missing
1370285at2759	Complete	scaffold405_size128856	50242	52932	-	86.5	243
1370304at2759	Missing
1377237at2759	Fragmented	scaffold505_size61289	55655	56869	-	81.4	87
1379600at2759	Complete	scaffold621_size43975	5170	8849	-	207.9	428
1380409at2759	Complete	scaffold132_size266076	132709	133705	-	124.4	140
1382842at2759	Fragmented	scaffold45_size1369571	1269645	1270520	-	63.1	97
1395649at2759	Complete	scaffold40_size1212554	185937	186644	+	37.9	106
1398309at2759	Fragmented	scaffold42_size1068717	933359	933904	-	37.5	74
1404162at2759	Complete	scaffold48_size790669	203219	205555	+	90.0	197
1405073at2759	Complete	scaffold79_size432996	320719	321529	+	210.6	154
1405146at2759	Complete	scaffold326_size321212	236606	237518	-	101.1	102
1407446at2759	Missing
