#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
OLMU01001370_1:125-2331 -            700 674160at2759         -           1184   7.2e-49  162.2  21.6   1   5   3.2e-08   1.6e-05   18.6   0.2   746   818    68   156    53   161 0.76 -
OLMU01001370_1:125-2331 -            700 674160at2759         -           1184   7.2e-49  162.2  21.6   2   5   1.8e-37   8.9e-35  115.6   0.1   819  1009   179   377   175   390 0.86 -
OLMU01001370_1:125-2331 -            700 674160at2759         -           1184   7.2e-49  162.2  21.6   3   5   9.4e-06    0.0047   10.5   0.0  1011  1040   426   455   410   467 0.86 -
OLMU01001370_1:125-2331 -            700 674160at2759         -           1184   7.2e-49  162.2  21.6   4   5    0.0055       2.8    1.3   0.0  1074  1104   532   564   505   586 0.86 -
OLMU01001370_1:125-2331 -            700 674160at2759         -           1184   7.2e-49  162.2  21.6   5   5   6.2e-09   3.1e-06   21.0   9.3  1119  1184   611   678   604   681 0.86 -
OLMU01001369_1:14-2197  -            728 674160at2759         -           1184   3.4e-48  160.0   6.2   1   3   1.1e-06   0.00055   13.6   0.0   305   373   121   189    87   195 0.75 -
OLMU01001369_1:14-2197  -            728 674160at2759         -           1184   3.4e-48  160.0   6.2   2   3   5.4e-16   2.7e-13   44.4   0.1   418   515   317   435   287   439 0.73 -
OLMU01001369_1:14-2197  -            728 674160at2759         -           1184   3.4e-48  160.0   6.2   3   3   2.3e-33   1.2e-30  101.9   0.8   525   721   489   727   487   728 0.86 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/674160at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Licmophora_abbreviata_CCMP470/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_900291995.1_CCMP470_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Licmophora_abbreviata_CCMP470/run_eukaryota_odb10/hmmer_output/initial_run_results/674160at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/674160at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Licmophora_abbreviata_CCMP470/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_900291995.1_CCMP470_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Mon Apr 19 09:19:34 2021
# [ok]
