#                                                                                --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name            accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#    ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
OLMU01004592_1:5281-6521 -            302 1269244at2759        -            121   5.4e-10   34.3  13.3   1   5    0.0019       0.2    6.7   0.1     3    24     6    27     4    51 0.75 -
OLMU01004592_1:5281-6521 -            302 1269244at2759        -            121   5.4e-10   34.3  13.3   2   5      0.82        88   -1.9   0.0    30    46    55    73    47    88 0.74 -
OLMU01004592_1:5281-6521 -            302 1269244at2759        -            121   5.4e-10   34.3  13.3   3   5   1.5e-05    0.0016   13.4   0.0    46    77    90   121    68   138 0.84 -
OLMU01004592_1:5281-6521 -            302 1269244at2759        -            121   5.4e-10   34.3  13.3   4   5   3.6e-07   3.9e-05   18.7   1.9    71   107   151   190   144   194 0.72 -
OLMU01004592_1:5281-6521 -            302 1269244at2759        -            121   5.4e-10   34.3  13.3   5   5       0.2        21    0.1   0.5    82   119   201   237   195   239 0.63 -
OLMU01003965_1:12-218    -             69 1269244at2759        -            121   3.4e-06   22.1   0.9   1   2     2e-06   0.00022   16.2   0.1     4    24     2    22     1    47 0.81 -
OLMU01003965_1:12-218    -             69 1269244at2759        -            121   3.4e-06   22.1   0.9   2   2    0.0049      0.53    5.3   0.1    29    44    53    68    48    69 0.85 -
OLMU01002555_1:6556-6813 -             86 1269244at2759        -            121   4.6e-05   18.4   1.9   1   2   9.5e-07    0.0001   17.3   1.2    72   105     8    41     1    56 0.70 -
OLMU01002555_1:6556-6813 -             86 1269244at2759        -            121   4.6e-05   18.4   1.9   2   2      0.32        34   -0.5   0.0   107   119    64    76    56    78 0.75 -
OLMU01004772_1:3448-3861 -            138 1269244at2759        -            121    0.0007   14.6   0.3   1   3   0.00013     0.014   10.4   0.0     3    35     2    34     1    44 0.80 -
OLMU01004772_1:3448-3861 -            138 1269244at2759        -            121    0.0007   14.6   0.3   2   3      0.16        17    0.4   0.0    27    43    47    63    40    75 0.83 -
OLMU01004772_1:3448-3861 -            138 1269244at2759        -            121    0.0007   14.6   0.3   3   3      0.21        23    0.0   0.0    53    73    91   111    80   134 0.75 -
OLMU01000399_1:8219-8593 -            125 1269244at2759        -            121    0.0057   11.7   0.1   1   2   0.00093     0.099    7.6   0.0     5    40     8    42     4    59 0.73 -
OLMU01000399_1:8219-8593 -            125 1269244at2759        -            121    0.0057   11.7   0.1   2   2     0.049       5.2    2.1   0.0    46    70    86   110    41   120 0.72 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1269244at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Licmophora_abbreviata_CCMP470/run_eukaryota_odb10/metaeuk_output/rerun_results/GCA_900291995.1_CCMP470_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Licmophora_abbreviata_CCMP470/run_eukaryota_odb10/hmmer_output/rerun_results/1269244at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1269244at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Licmophora_abbreviata_CCMP470/run_eukaryota_odb10/metaeuk_output/rerun_results/GCA_900291995.1_CCMP470_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Mon Apr 19 10:04:27 2021
# [ok]
