Query	Genome	Gene
thiF	Thalassiosira_oceanica_ThaOc_1.0	gene-THAOC_02042
thiD	Thalassiosira_oceanica_ThaOc_1.0	gene-THAOC_02597
thiDN	Thalassiosira_oceanica_ThaOc_1.0	gene-THAOC_02597
THI20	Thalassiosira_oceanica_ThaOc_1.0	gene-THAOC_02597
thiDE	Thalassiosira_oceanica_ThaOc_1.0	gene-THAOC_02597
thiE	Thalassiosira_oceanica_ThaOc_1.0	gene-THAOC_02597
iscS	Thalassiosira_oceanica_ThaOc_1.0	gene-THAOC_11333
dxs	Thalassiosira_oceanica_ThaOc_1.0	gene-THAOC_11764
tenI	Thalassiosira_oceanica_ThaOc_1.0	AGNL01014661_1:2522-3043
thiO	Thalassiosira_oceanica_ThaOc_1.0	gene-THAOC_16086
adk	Thalassiosira_oceanica_ThaOc_1.0	gene-THAOC_16668
THI5	Thalassiosira_oceanica_ThaOc_1.0	AGNL01021096_1:342-7
TH2	Thalassiosira_oceanica_ThaOc_1.0	gene-THAOC_20337
tenA	Thalassiosira_oceanica_ThaOc_1.0	gene-THAOC_25271
thiG	Thalassiosira_oceanica_ThaOc_1.0	AGNL01043102_1:53818-53051
thiC	Thalassiosira_oceanica_ThaOc_1.0	gene-THAOC_32799
THTPA	Thalassiosira_oceanica_ThaOc_1.0	gene-THAOC_33892
TPK1	Thalassiosira_oceanica_ThaOc_1.0	gene-THAOC_37245
THTPA	Fistulifera_solaris_Fsol_1.0	gene-FisN_3Lh610
TPK1	Fistulifera_solaris_Fsol_1.0	gene-FisN_17Hh021
THI5	Fistulifera_solaris_Fsol_1.0	gene-FisN_6Hh163
thiF	Fistulifera_solaris_Fsol_1.0	gene-FisN_5Hh351
thiDN	Fistulifera_solaris_Fsol_1.0	gene-FisN_26Hh136
ylmB	Fistulifera_solaris_Fsol_1.0	gene-FisN_17Lh163
dxs	Fistulifera_solaris_Fsol_1.0	gene-FisN_5Lh466
adk	Fistulifera_solaris_Fsol_1.0	gene-FisN_6Hh065
iscS	Fistulifera_solaris_Fsol_1.0	gene-FisN_33Hh020
iscS	Nitzschia_putrida_Nputr_1.0	BLYE01000001_1:198907-197765
thiF	Nitzschia_putrida_Nputr_1.0	BLYE01000001_1:281249-280737
THTPA	Nitzschia_putrida_Nputr_1.0	BLYE01000001_1:568770-569459
rsgA	Nitzschia_putrida_Nputr_1.0	BLYE01000001_1:599064-598732
adk	Nitzschia_putrida_Nputr_1.0	BLYE01000009_1:73425-73015
thiDN	Nitzschia_putrida_Nputr_1.0	BLYE01000012_1:319586-319885
TPK1	Nitzschia_putrida_Nputr_1.0	BLYE01000024_1:376596-375886
