#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Sro_contig1323:21027-21695  -            223 1129824at2759        -            141   5.9e-23   77.7  12.1   1   1   3.9e-23   1.4e-21   73.2  12.1     7   140    64   220    61   221 0.77 -
Sro_contig1438:23025-23225  -             67 1129824at2759        -            141   4.2e-12   42.6   1.5   1   1   1.5e-13   5.4e-12   42.2   1.5    10    63    12    65    10    65 0.97 -
Sro_contig109:104790-104987 -             66 1129824at2759        -            141   2.6e-09   33.5   0.8   1   1   8.9e-11   3.2e-09   33.2   0.8    11    63    15    65    12    65 0.92 -
Sro_contig1039:18969-19301  -            111 1129824at2759        -            141   8.8e-09   31.8   0.2   1   1   2.7e-10     1e-08   31.6   0.2    10    63    15    68    12    96 0.92 -
Sro_contig2509:1936-2130    -             65 1129824at2759        -            141   9.2e-09   31.7   0.6   1   1   2.9e-10   1.1e-08   31.5   0.6    11    63    15    64     2    64 0.93 -
Sro_contig1099:25040-25219  -             60 1129824at2759        -            141   1.3e-08   31.2   0.7   1   1   4.1e-10   1.5e-08   31.1   0.7    11    54    15    60    11    60 0.87 -
Sro_contig272:76916-77107   -             64 1129824at2759        -            141   5.6e-08   29.2   0.4   1   1   1.9e-09     7e-08   28.9   0.4    10    63    12    63    10    63 0.94 -
Sro_contig2429:3770-3979    -             70 1129824at2759        -            141   8.9e-08   28.5   0.0   1   1     3e-09   1.1e-07   28.3   0.0    12    63    14    60    11    67 0.93 -
Sro_contig169:59669-59890   -             74 1129824at2759        -            141   9.4e-08   28.5   1.0   1   1   3.3e-09   1.2e-07   28.1   1.0    11    63    20    72    16    72 0.95 -
Sro_contig157:10095-10295   -             67 1129824at2759        -            141     2e-07   27.4   3.6   1   1   6.6e-09   2.4e-07   27.1   3.6    11    63    13    63    10    64 0.92 -
