#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QAXC01000665_1:306-1913      -            536 866359at2759         -            265   9.4e-23   76.0   5.6   1   5     4e-07   2.3e-05   18.9   0.0    45   125     3    85     1    98 0.78 -
QAXC01000665_1:306-1913      -            536 866359at2759         -            265   9.4e-23   76.0   5.6   2   5     0.033         2    2.8   0.0    51    83   147   179   140   189 0.88 -
QAXC01000665_1:306-1913      -            536 866359at2759         -            265   9.4e-23   76.0   5.6   3   5   4.2e-06   0.00025   15.6   0.8     8    77   186   260   185   266 0.90 -
QAXC01000665_1:306-1913      -            536 866359at2759         -            265   9.4e-23   76.0   5.6   4   5   5.2e-05     0.003   12.0   0.1    52   184   316   446   281   452 0.67 -
QAXC01000665_1:306-1913      -            536 866359at2759         -            265   9.4e-23   76.0   5.6   5   5   3.2e-08   1.9e-06   22.5   0.0    12    84   437   513   426   530 0.81 -
QAXC01005325_1:3630-4571     -            314 866359at2759         -            265   8.4e-16   53.2   0.8   1   4     0.098       5.8    1.3   0.0   230   252    10    32     2    41 0.78 -
QAXC01005325_1:3630-4571     -            314 866359at2759         -            265   8.4e-16   53.2   0.8   2   4   0.00017      0.01   10.3   0.0     6    79    44   121    39   127 0.87 -
QAXC01005325_1:3630-4571     -            314 866359at2759         -            265   8.4e-16   53.2   0.8   3   4    0.0032      0.19    6.1   0.0    46    77   129   160   124   166 0.90 -
QAXC01005325_1:3630-4571     -            314 866359at2759         -            265   8.4e-16   53.2   0.8   4   4   1.4e-07   8.2e-06   20.4   0.3    45   184   169   305   161   306 0.76 -
QAXC01006299_1:252-1073      -            274 866359at2759         -            265   1.6e-13   45.7   2.4   1   4   0.00073     0.043    8.2   0.0    38    75    20    57    10    64 0.79 -
QAXC01006299_1:252-1073      -            274 866359at2759         -            265   1.6e-13   45.7   2.4   2   4   1.5e-06   8.6e-05   17.1   0.0    37    77    59   100    56   107 0.86 -
QAXC01006299_1:252-1073      -            274 866359at2759         -            265   1.6e-13   45.7   2.4   3   4   8.2e-06   0.00048   14.6   0.1    38    97   101   167    99   169 0.78 -
QAXC01006299_1:252-1073      -            274 866359at2759         -            265   1.6e-13   45.7   2.4   4   4    0.0062      0.36    5.2   0.0   230   251   155   176   151   190 0.88 -
QAXC01000011_1:320623-321234 -            204 866359at2759         -            265   6.2e-13   43.8   0.1   1   4    0.0035      0.21    6.0   0.0    21    82    16    81     5    84 0.80 -
QAXC01000011_1:320623-321234 -            204 866359at2759         -            265   6.2e-13   43.8   0.1   2   4   1.1e-07   6.4e-06   20.8   0.0    36    83    76   123    69   125 0.94 -
QAXC01000011_1:320623-321234 -            204 866359at2759         -            265   6.2e-13   43.8   0.1   3   4   2.3e-06   0.00014   16.4   0.0    37    86   118   167   117   180 0.91 -
QAXC01000011_1:320623-321234 -            204 866359at2759         -            265   6.2e-13   43.8   0.1   4   4     0.014      0.81    4.1   0.0    56    79   181   204   168   204 0.89 -
QAXC01005325_1:4266-5057     -            264 866359at2759         -            265   2.2e-11   38.7   5.9   1   4   1.1e-06   6.5e-05   17.5   0.6     6    77     1    76     1    82 0.86 -
QAXC01005325_1:4266-5057     -            264 866359at2759         -            265   2.2e-11   38.7   5.9   2   4   3.2e-06   0.00019   16.0   0.1     5    78    82   158    78   164 0.88 -
QAXC01005325_1:4266-5057     -            264 866359at2759         -            265   2.2e-11   38.7   5.9   3   4     0.054       3.2    2.1   0.0   230   252   172   194   158   203 0.77 -
QAXC01005325_1:4266-5057     -            264 866359at2759         -            265   2.2e-11   38.7   5.9   4   4     0.067       3.9    1.8   0.0     7    43   207   246   201   255 0.66 -
QAXC01006453_1:2541-3215     -            225 866359at2759         -            265   5.5e-11   37.4   0.0   1   2   3.8e-06   0.00022   15.7   0.0     9    78    76   149    72   156 0.82 -
QAXC01006453_1:2541-3215     -            225 866359at2759         -            265   5.5e-11   37.4   0.0   2   2   1.1e-05   0.00066   14.2   0.0     6    74   156   225   151   225 0.86 -
QAXC01000009_1:24551-25333   -            261 866359at2759         -            265     6e-08   27.4   0.0   1   4      0.47        27   -1.0   0.0   228   248     1    21     1    25 0.85 -
QAXC01000009_1:24551-25333   -            261 866359at2759         -            265     6e-08   27.4   0.0   2   4     0.005      0.29    5.5   0.0    40    78    82   120    48   127 0.76 -
QAXC01000009_1:24551-25333   -            261 866359at2759         -            265     6e-08   27.4   0.0   3   4   0.00017      0.01   10.3   0.0    45    78   129   162   124   175 0.91 -
QAXC01000009_1:24551-25333   -            261 866359at2759         -            265     6e-08   27.4   0.0   4   4    0.0027      0.16    6.4   0.0    49    78   191   220   172   233 0.79 -
QAXC01003767_1:183-953       -            257 866359at2759         -            265   5.2e-07   24.4   0.0   1   3     0.043       2.5    2.4   0.0   221   260    98   138    86   143 0.74 -
QAXC01003767_1:183-953       -            257 866359at2759         -            265   5.2e-07   24.4   0.0   2   3    0.0001     0.006   11.0   0.0   229   253   159   183   145   188 0.91 -
QAXC01003767_1:183-953       -            257 866359at2759         -            265   5.2e-07   24.4   0.0   3   3    0.0021      0.13    6.7   0.0   218   257   189   228   186   235 0.87 -
QAXC01005708_1:2-625         -            208 866359at2759         -            265   7.7e-07   23.8   0.0   1   2      0.03       1.8    2.9   0.0   224   251    66    95    60   111 0.79 -
QAXC01005708_1:2-625         -            208 866359at2759         -            265   7.7e-07   23.8   0.0   2   2   4.5e-07   2.6e-05   18.8   0.0    45    80   159   193   122   200 0.90 -
QAXC01000007_1:114509-114982 -            158 866359at2759         -            265   7.6e-06   20.5   0.0   1   3     0.096       5.6    1.3   0.0    58   104    15    58     2    80 0.61 -
QAXC01000007_1:114509-114982 -            158 866359at2759         -            265   7.6e-06   20.5   0.0   2   3    0.0021      0.12    6.8   0.0    55    86    95   126    67   134 0.84 -
QAXC01000007_1:114509-114982 -            158 866359at2759         -            265   7.6e-06   20.5   0.0   3   3   0.00021     0.012   10.0   0.0   229   254   131   156   124   158 0.88 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/866359at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Halamphora_sp_AAB/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_004335955.1_ASM433595v1_genomic.fna.modified.fas
