#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold00044:69226-71040   -            605 12562at33634         -            530  3.4e-183  604.6   1.1   1   2   7.1e-85   3.8e-83  274.4   0.0     8   195     2   205     1   221 0.92 -
scaffold00044:69226-71040   -            605 12562at33634         -            530  3.4e-183  604.6   1.1   2   2   1.4e-98   7.5e-97  319.6   4.2   190   496   227   593   206   598 0.80 -
scaffold00088:55645-56325   -            227 12562at33634         -            530   1.5e-05   18.3   0.0   1   2   8.8e-07   4.7e-05   16.7   0.0   196   285     9   106     5   115 0.82 -
scaffold00088:55645-56325   -            227 12562at33634         -            530   1.5e-05   18.3   0.0   2   2      0.31        16   -1.6   0.0   175   198   151   174   143   185 0.74 -
scaffold02076:731-1411      -            227 12562at33634         -            530   1.5e-05   18.3   0.0   1   2   8.8e-07   4.7e-05   16.7   0.0   196   285     9   106     5   115 0.82 -
scaffold02076:731-1411      -            227 12562at33634         -            530   1.5e-05   18.3   0.0   2   2      0.31        16   -1.6   0.0   175   198   151   174   143   185 0.74 -
scaffold02214:2795-3391     -            199 12562at33634         -            530   0.00026   14.3   0.0   1   2    0.0017     0.092    5.9   0.0   177   248    70   153    55   155 0.72 -
scaffold02214:2795-3391     -            199 12562at33634         -            530   0.00026   14.3   0.0   2   2   0.00045     0.024    7.8   0.0   172   195   152   175   145   186 0.87 -
scaffold00365:9749-10396    -            216 12562at33634         -            530   0.00047   13.4   0.0   1   3      0.28        15   -1.4   0.0   250   263    23    36    19    51 0.71 -
scaffold00365:9749-10396    -            216 12562at33634         -            530   0.00047   13.4   0.0   2   3     8e-05    0.0042   10.3   0.0   168   277    53   177    45   182 0.77 -
scaffold00365:9749-10396    -            216 12562at33634         -            530   0.00047   13.4   0.0   3   3      0.16       8.5   -0.6   0.0   166   193   181   208   175   214 0.82 -
scaffold00001:972045-972950 -            302 12562at33634         -            530    0.0014   11.8   0.1   1   2    0.0044      0.24    4.5   0.0   171   194    77   100    32   109 0.77 -
scaffold00001:972045-972950 -            302 12562at33634         -            530    0.0014   11.8   0.1   2   2    0.0046      0.25    4.4   0.1   199   227   195   224   145   234 0.76 -
scaffold00060:133035-136595 -           1187 12562at33634         -            530     0.059    6.5   9.8   1   1     0.002      0.11    5.6   9.8   432   507  1005  1080   954  1100 0.76 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/12562at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Synedra_acus_sac1/run_stramenopiles_odb10/metaeuk_output/initial_results/sac.scaffolds.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Synedra_acus_sac1/run_stramenopiles_odb10/hmmer_output/initial_run_results/12562at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/12562at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Synedra_acus_sac1/run_stramenopiles_odb10/metaeuk_output/initial_results/sac.scaffolds.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Fri Apr 16 15:15:41 2021
# [ok]
