#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold02076:530-1432      -            301 779909at2759         -            227   2.5e-61  203.5   5.6   1   2   9.6e-42   1.4e-40  135.6   0.0     1   145     3   170     3   194 0.82 -
scaffold02076:530-1432      -            301 779909at2759         -            227   2.5e-61  203.5   5.6   2   2   2.3e-18   3.4e-17   59.1   7.4   157   227   207   299   198   299 0.82 -
scaffold00088:55444-56346   -            301 779909at2759         -            227   4.3e-61  202.7   5.5   1   2   1.7e-41   2.5e-40  134.8   0.0     1   145     3   170     3   194 0.82 -
scaffold00088:55444-56346   -            301 779909at2759         -            227   4.3e-61  202.7   5.5   2   2   2.3e-18   3.4e-17   59.1   7.4   157   227   207   299   198   299 0.82 -
scaffold00012:493343-495106 -            588 779909at2759         -            227   1.7e-36  122.2  26.1   1   8   0.00017    0.0026   13.7   0.0    63   105     2    44     1    56 0.88 -
scaffold00012:493343-495106 -            588 779909at2759         -            227   1.7e-36  122.2  26.1   2   8    0.0018     0.028   10.4   0.0    75   105    58    88    50    93 0.88 -
scaffold00012:493343-495106 -            588 779909at2759         -            227   1.7e-36  122.2  26.1   3   8    0.0012     0.018   11.0   0.1    59   104    84   129    81   133 0.85 -
scaffold00012:493343-495106 -            588 779909at2759         -            227   1.7e-36  122.2  26.1   4   8   0.00063    0.0094   11.9   0.1    63    97   130   164   127   170 0.88 -
scaffold00012:493343-495106 -            588 779909at2759         -            227   1.7e-36  122.2  26.1   5   8      0.22       3.2    3.6   0.0    61    96   170   205   163   211 0.90 -
scaffold00012:493343-495106 -            588 779909at2759         -            227   1.7e-36  122.2  26.1   6   8   0.00045    0.0068   12.3   2.6   167   209   274   329   262   351 0.71 -
scaffold00012:493343-495106 -            588 779909at2759         -            227   1.7e-36  122.2  26.1   7   8   7.2e-07   1.1e-05   21.5   0.0     3    95   357   455   355   466 0.83 -
scaffold00012:493343-495106 -            588 779909at2759         -            227   1.7e-36  122.2  26.1   8   8   1.9e-10   2.9e-09   33.2   1.0     3    96   484   584   482   588 0.87 -
scaffold00036:132671-134239 -            523 779909at2759         -            227   6.3e-36  120.4  21.9   1   8   1.1e-05   0.00016   17.7   0.1    56    97     6    47     2    53 0.90 -
scaffold00036:132671-134239 -            523 779909at2759         -            227   6.3e-36  120.4  21.9   2   8    0.0029     0.044    9.7   0.0    60    99    52    91    47    97 0.85 -
