PtTHIC	CM000645_1	76.277	274	64	1	23	296	817458	818276	0.0	440
PtNMT1	CP001160_1	68.690	313	89	3	154	464	284512	285429	4.86e-140	444
PtTH1	CM000643_1	51.730	607	232	11	34	579	1453628	1451808	3.75e-176	553
PtTHIO	CM000646_1	50.134	748	312	16	73	785	437861	440026	0.0	599
PtTHIS	CM000648_1	26.316	57	31	2	7	54	487358	487522	2.8	25.4
PtTHIF	CM000639_1	50.177	283	122	2	12	275	2517473	2516625	2.39e-110	256
PtDXS	CP001160_1	81.696	519	94	1	52	570	618641	620194	0.0	913
PtTHIG	DS999448_1	83.209	268	45	0	1	268	3538	4341	4.86e-146	445
PtTPK	CM000639_1	50.000	138	59	4	121	248	516017	515604	8.58e-34	129
PtSSSP	CM000638_1	50.682	440	186	6	155	563	624331	623012	2.30e-137	371
FsFOLR	CM000641_1	39.286	28	17	0	113	140	1673910	1673827	1.9	30.0
CrTHI4	CM000640_1	27.966	118	63	5	55	156	863249	862914	1.7	30.8
