#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
Sro_contig967:13837-15672  -            612 7485at33634          -            342   1.7e-95  311.0  19.7   1   4   4.6e-39   4.7e-39  125.4   4.8     3   166    16   228    14   239 0.74 -
Sro_contig967:13837-15672  -            612 7485at33634          -            342   1.7e-95  311.0  19.7   2   4   4.8e-17   4.9e-17   53.0   0.5   151   213   253   320   245   328 0.83 -
Sro_contig967:13837-15672  -            612 7485at33634          -            342   1.7e-95  311.0  19.7   3   4   4.1e-35   4.2e-35  112.4   0.0   208   305   336   443   330   461 0.83 -
Sro_contig967:13837-15672  -            612 7485at33634          -            342   1.7e-95  311.0  19.7   4   4   3.9e-09     4e-09   27.0   0.2   296   342   551   605   543   605 0.89 -
Sro_contig1516:14261-15808 -            445 7485at33634          -            342   1.5e-89  291.5   2.8   1   1   3.2e-87   3.3e-87  283.8   2.8     1   334    21   423    21   429 0.79 -
Sro_contig625:47443-48681  -            413 7485at33634          -            342   1.1e-72  236.0   0.5   1   1     2e-70   2.1e-70  228.5   0.5    25   306     1   334     1   388 0.84 -
Sro_contig72:98238-99596   -            453 7485at33634          -            342   2.6e-65  211.8   2.7   1   3   5.5e-21   5.7e-21   66.0   0.2     3   146     3   180     1   199 0.68 -
Sro_contig72:98238-99596   -            453 7485at33634          -            342   2.6e-65  211.8   2.7   2   3     1e-43   1.1e-43  140.7   0.2   141   300   199   373   181   383 0.83 -
Sro_contig72:98238-99596   -            453 7485at33634          -            342   2.6e-65  211.8   2.7   3   3     0.054     0.055    3.5   0.0   307   327   431   451   421   453 0.81 -
Sro_contig82:35920-36968   -            304 7485at33634          -            342   3.2e-64  208.2   0.9   1   1   5.9e-63   6.1e-63  204.0   0.9    30   282     1   290     1   303 0.83 -
Sro_contig2115:12305-13464 -            361 7485at33634          -            342   2.6e-60  195.3   0.0   1   1     5e-60   5.2e-60  194.4   0.0     1   292    11   357    11   361 0.80 -
Sro_contig286:23475-24629  -            385 7485at33634          -            342   7.3e-56  180.7   1.7   1   1     3e-53   3.1e-53  172.1   1.7    12   288    33   385    20   385 0.78 -
Sro_contig1046:22175-23395 -            370 7485at33634          -            342   2.5e-53  172.4   0.1   1   2   1.1e-31   1.1e-31  101.1   0.0     1   166     2   197     2   211 0.80 -
Sro_contig1046:22175-23395 -            370 7485at33634          -            342   2.5e-53  172.4   0.1   2   2   1.1e-21   1.2e-21   68.2   0.1   187   280   264   367   261   370 0.81 -
Sro_contig1103:31600-32896 -            363 7485at33634          -            342     9e-53  170.5   0.0   1   2   2.3e-30   2.3e-30   96.8   0.0     3   165    17   201    15   209 0.82 -
Sro_contig1103:31600-32896 -            363 7485at33634          -            342     9e-53  170.5   0.0   2   2   9.2e-23   9.5e-23   71.8   0.0   188   286   258   363   205   363 0.71 -
Sro_contig482:41566-50548  -            386 7485at33634          -            342   3.1e-52  168.8   3.3   1   2   1.6e-31   1.7e-31  100.6   0.8     2   160     2   199     1   216 0.78 -
Sro_contig482:41566-50548  -            386 7485at33634          -            342   3.1e-52  168.8   3.3   2   2   2.5e-21   2.6e-21   67.1   0.1   166   277   229   355   216   361 0.76 -
Sro_contig1521:6691-7872   -            394 7485at33634          -            342   3.2e-50  162.2   1.9   1   1   5.3e-49   5.5e-49  158.1   1.9     4   295    32   393    29   394 0.76 -
Sro_contig1274:16550-18104 -            408 7485at33634          -            342   8.1e-50  160.8   0.7   1   3   3.7e-27   3.8e-27   86.3   0.0     1   144     5   171     5   190 0.80 -
