#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QPGO01000001_1:1095846-1097090 -            289 1269244at2759        -            121     3e-10   36.1  17.2   1   4    0.0016      0.43    6.6   0.1     3    22     2    21     1    35 0.84 -
QPGO01000001_1:1095846-1097090 -            289 1269244at2759        -            121     3e-10   36.1  17.2   2   4   2.8e-06   0.00077   15.5   0.6    45    79    87   121    48   154 0.85 -
QPGO01000001_1:1095846-1097090 -            289 1269244at2759        -            121     3e-10   36.1  17.2   3   4   7.9e-08   2.2e-05   20.5   5.5    73   114   157   198   130   205 0.73 -
QPGO01000001_1:1095846-1097090 -            289 1269244at2759        -            121     3e-10   36.1  17.2   4   4       1.6   4.3e+02   -3.1   0.1   100   118   212   230   208   231 0.77 -
QPGO01000012_1:792763-793095   -            111 1269244at2759        -            121   5.7e-06   22.3   1.8   1   2   3.1e-05    0.0086   12.1   0.1     3    42     4    43     2    48 0.86 -
QPGO01000012_1:792763-793095   -            111 1269244at2759        -            121   5.7e-06   22.3   1.8   2   2   0.00015     0.041    9.9   0.2    30    79    54   101    49   106 0.67 -
QPGO01000039_1:215791-216282   -            164 1269244at2759        -            121   6.6e-05   18.9   1.3   1   3    0.0011      0.31    7.1   0.0     3    22     1    20     1    57 0.90 -
QPGO01000039_1:215791-216282   -            164 1269244at2759        -            121   6.6e-05   18.9   1.3   2   3   0.00064      0.18    7.8   0.0    32    57    73    99    69   104 0.81 -
QPGO01000039_1:215791-216282   -            164 1269244at2759        -            121   6.6e-05   18.9   1.3   3   3     0.051        14    1.7   0.0    45    81   110   147   101   156 0.78 -
QPGO01000032_1:487539-488527   -            221 1269244at2759        -            121    0.0022   14.0   5.2   1   3         1   2.8e+02   -2.5   0.0    87    87    65    65    50    90 0.57 -
QPGO01000032_1:487539-488527   -            221 1269244at2759        -            121    0.0022   14.0   5.2   2   3   7.9e-06    0.0022   14.0   2.7    69   106    97   134    83   151 0.78 -
QPGO01000032_1:487539-488527   -            221 1269244at2759        -            121    0.0022   14.0   5.2   3   3      0.36     1e+02   -1.0   0.0   107   119   156   168   145   170 0.78 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1269244at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Psammoneis_japonica_ASM863298v1/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_008632985.1_ASM863298v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Psammoneis_japonica_ASM863298v1/run_eukaryota_odb10/hmmer_output/initial_run_results/1269244at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1269244at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Psammoneis_japonica_ASM863298v1/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_008632985.1_ASM863298v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Mon Apr 19 10:51:33 2021
# [ok]
