# BUSCO version is: 5.1.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Duplicated	BDSP01000097_1	72495	79587	-	1672.5	1384
39650at2759	Duplicated	BDSP01000251_1	53798	60894	-	1666.1	1374
83779at2759	Duplicated	BDSP01000266_1	109828	111237	-	193.7	226
83779at2759	Duplicated	BDSP01000234_1	237508	238899	-	192.2	223
87842at2759	Complete	BDSP01000013_1	502241	506167	-	181.3	497
97116at2759	Duplicated	BDSP01000102_1	84907	88674	-	742.9	931
97116at2759	Duplicated	BDSP01000016_1	211444	215214	+	742.0	935
100698at2759	Duplicated	BDSP01000111_1	334167	336537	-	704.8	501
100698at2759	Duplicated	BDSP01000223_1	33142	35514	-	703.8	501
142542at2759	Missing
156083at2759	Duplicated	BDSP01000260_1	106117	113741	+	3407.6	1926
156083at2759	Duplicated	BDSP01000212_1	12216	19837	-	3401.4	1925
160593at2759	Missing
166920at2759	Complete	BDSP01000048_1	223784	227544	-	498.0	667
176625at2759	Duplicated	BDSP01000229_1	15824	19537	+	159.5	332
176625at2759	Duplicated	BDSP01000193_1	326134	329850	-	154.4	339
179362at2759	Complete	BDSP01000289_1	578595	583567	+	519.3	1304
245208at2759	Duplicated	BDSP01000273_1	100757	103624	+	1390.5	820
245208at2759	Duplicated	BDSP01000207_1	288067	291072	-	1384.9	819
257318at2759	Duplicated	BDSP01000074_1	418559	420838	-	210.6	328
257318at2759	Duplicated	BDSP01000117_1	161904	164198	+	209.6	327
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Fragmented	BDSP01000061_1	292392	294413	-	510.4	419
293315at2759	Duplicated	BDSP01000123_1	524915	529373	-	574.1	591
293315at2759	Duplicated	BDSP01000118_1	161639	166107	-	571.0	592
296129at2759	Duplicated	BDSP01000264_1	154331	157627	-	861.5	726
296129at2759	Duplicated	BDSP01000130_1	155921	159217	+	860.8	729
299766at2759	Duplicated	BDSP01000153_1	536984	540575	-	350.5	415
299766at2759	Duplicated	BDSP01000050_1	374187	377834	+	350.4	414
306227at2759	Duplicated	BDSP01000266_1	1160	3544	-	428.2	504
306227at2759	Duplicated	BDSP01000234_1	116315	119108	-	418.9	509
320059at2759	Duplicated	BDSP01000206_1	58620	60299	-	812.0	451
320059at2759	Duplicated	BDSP01000252_1	590020	591699	-	811.8	451
324863at2759	Duplicated	BDSP01000109_1	230340	233213	-	453.3	517
324863at2759	Duplicated	BDSP01000017_1	262622	265495	-	452.2	514
325552at2759	Missing
330169at2759	Duplicated	BDSP01000084_1	77253	78917	+	236.5	308
330169at2759	Duplicated	BDSP01000170_1	93647	95173	+	234.2	322
331411at2759	Missing
341721at2759	Duplicated	BDSP01000199_1	24496	26283	+	209.4	360
341721at2759	Duplicated	BDSP01000017_1	11717	13504	-	209.2	360
345441at2759	Duplicated	BDSP01000133_1	207427	209115	-	337.7	344
345441at2759	Duplicated	BDSP01000092_1	453700	455400	+	336.2	343
355408at2759	Duplicated	BDSP01000133_1	421189	423264	+	597.4	547
355408at2759	Duplicated	BDSP01000092_1	246473	248548	-	595.9	547
369837at2759	Duplicated	BDSP01000075_1	84782	86977	-	211.7	340
369837at2759	Duplicated	BDSP01000048_1	106491	108683	-	203.7	352
375960at2759	Duplicated	BDSP01000276_1	11296	12958	-	197.0	311
375960at2759	Duplicated	BDSP01000087_1	582191	583408	-	180.0	284
383503at2759	Fragmented	BDSP01000207_1	749086	750978	+	202.2	226
388820at2759	Missing
390348at2759	Duplicated	BDSP01000285_1	343924	347328	-	1093.9	703
390348at2759	Duplicated	BDSP01000107_1	64362	67794	+	1051.9	706
392369at2759	Duplicated	BDSP01000111_1	297644	299342	+	385.6	341
392369at2759	Duplicated	BDSP01000272_1	13878	15566	+	385.2	341
396755at2759	Duplicated	BDSP01000013_1	552922	556821	-	181.3	606
396755at2759	Duplicated	BDSP01000080_1	385000	388929	-	177.6	606
418107at2759	Duplicated	BDSP01000292_1	6470	7813	-	393.2	401
418107at2759	Duplicated	BDSP01000238_1	26567	27910	+	392.7	399
426305at2759	Duplicated	BDSP01000204_1	262120	264564	+	286.4	517
426305at2759	Duplicated	BDSP01000045_1	34030	36474	-	282.5	503
450058at2759	Missing
453044at2759	Duplicated	BDSP01000199_1	231681	233132	+	216.8	317
453044at2759	Duplicated	BDSP01000033_1	784	2298	+	208.7	325
457861at2759	Missing
464990at2759	Missing
491869at2759	Duplicated	BDSP01000016_1	672826	674487	-	181.6	233
491869at2759	Duplicated	BDSP01000150_1	52160	53821	+	179.7	233
513979at2759	Duplicated	BDSP01000234_1	103057	105108	+	177.0	262
513979at2759	Duplicated	BDSP01000163_1	34969	37161	+	167.4	243
543764at2759	Duplicated	BDSP01000235_1	278472	280007	+	176.3	235
543764at2759	Duplicated	BDSP01000207_1	406812	408356	-	173.4	240
549762at2759	Duplicated	BDSP01000034_1	239	1999	-	427.3	349
549762at2759	Duplicated	BDSP01000238_1	35626	37386	-	426.3	365
551907at2759	Duplicated	BDSP01000144_1	97136	100126	+	186.4	321
551907at2759	Duplicated	BDSP01000225_1	135293	138274	+	180.6	311
570797at2759	Duplicated	BDSP01000213_1	212822	214872	+	398.9	492
570797at2759	Duplicated	BDSP01000207_1	167310	169365	+	397.1	591
582756at2759	Duplicated	BDSP01000180_1	32141	33688	-	195.5	333
582756at2759	Duplicated	BDSP01000124_1	156992	158539	+	194.8	338
598949at2759	Duplicated	BDSP01000052_1	180811	184586	+	297.6	356
598949at2759	Duplicated	BDSP01000191_1	72855	76631	+	293.5	351
604979at2759	Duplicated	BDSP01000251_1	276056	277540	+	359.4	258
604979at2759	Duplicated	BDSP01000218_1	334623	336107	-	358.8	258
621827at2759	Missing
625387at2759	Duplicated	BDSP01000184_1	289720	294408	-	130.4	282
625387at2759	Duplicated	BDSP01000022_1	158134	162870	-	127.2	316
655400at2759	Duplicated	BDSP01000259_1	87912	89315	+	169.8	264
655400at2759	Duplicated	BDSP01000253_1	80017	81492	+	155.5	249
664730at2759	Duplicated	BDSP01000278_1	128190	129599	+	576.7	346
664730at2759	Duplicated	BDSP01000197_1	33366	34787	-	576.5	342
671536at2759	Duplicated	BDSP01000026_1	24669	26258	-	432.0	355
671536at2759	Duplicated	BDSP01000172_1	69905	71500	-	426.4	362
671846at2759	Duplicated	BDSP01000059_1	36788	39673	+	51.1	301
671846at2759	Duplicated	BDSP01000041_1	542299	545181	-	44.7	287
673132at2759	Duplicated	BDSP01000111_1	754187	755541	+	262.9	273
673132at2759	Duplicated	BDSP01000223_1	423526	424880	+	255.8	273
674160at2759	Duplicated	BDSP01000100_1	216964	225628	+	336.9	963
674160at2759	Duplicated	BDSP01000041_1	263485	272149	-	327.9	908
674169at2759	Missing
679187at2759	Duplicated	BDSP01000153_1	593430	597116	-	232.7	389
679187at2759	Duplicated	BDSP01000050_1	316184	319879	+	232.4	408
679771at2759	Duplicated	BDSP01000078_1	180366	181703	+	61.9	190
679771at2759	Duplicated	BDSP01000141_1	424509	425846	-	61.7	161
687505at2759	Duplicated	BDSP01000207_1	505411	506565	+	143.3	247
687505at2759	Duplicated	BDSP01000235_1	176378	177532	-	142.1	230
687505at2759	Duplicated	BDSP01000279_1	73904	75117	+	140.6	242
692986at2759	Duplicated	BDSP01000137_1	632246	634459	-	115.6	337
692986at2759	Duplicated	BDSP01000179_1	130982	133219	-	115.5	300
708105at2759	Duplicated	BDSP01000074_1	334370	335914	+	64.8	158
708105at2759	Duplicated	BDSP01000117_1	252822	254336	-	62.3	146
719531at2759	Duplicated	BDSP01000274_1	29731	31123	-	347.7	283
719531at2759	Duplicated	BDSP01000010_1	56547	57939	+	341.4	287
720340at2759	Duplicated	BDSP01000075_1	105175	106548	+	99.5	178
720340at2759	Duplicated	BDSP01000048_1	94359	95732	-	96.6	159
721605at2759	Duplicated	BDSP01000052_1	226393	227559	-	176.7	214
721605at2759	Duplicated	BDSP01000191_1	117103	118275	-	173.1	214
722805at2759	Missing
734341at2759	Duplicated	BDSP01000061_1	180005	181096	+	86.3	140
734341at2759	Duplicated	BDSP01000143_1	81481	82569	+	85.1	139
734666at2759	Duplicated	BDSP01000207_1	394354	396120	+	364.1	379
734666at2759	Duplicated	BDSP01000235_1	290626	292392	-	362.9	378
736068at2759	Duplicated	BDSP01000168_1	49680	50969	-	190.1	315
736068at2759	Duplicated	BDSP01000207_1	722824	724110	-	189.7	315
751335at2759	Duplicated	BDSP01000204_1	317370	318947	+	134.4	201
751335at2759	Duplicated	BDSP01000283_1	14918	16504	+	131.7	181
759498at2759	Duplicated	BDSP01000087_1	261069	263495	-	450.3	414
759498at2759	Duplicated	BDSP01000203_1	287486	289933	+	450.3	414
761109at2759	Duplicated	BDSP01000262_1	9233	11146	+	308.3	335
761109at2759	Duplicated	BDSP01000151_1	47038	48951	-	307.7	333
768809at2759	Duplicated	BDSP01000036_1	156673	158176	+	192.3	237
768809at2759	Duplicated	BDSP01000252_1	393344	394836	+	184.5	237
774318at2759	Duplicated	BDSP01000270_1	34315	35671	+	261.2	273
774318at2759	Duplicated	BDSP01000127_1	187571	188927	-	259.3	273
777920at2759	Fragmented	BDSP01000286_1	108313	110013	-	229.0	245
779909at2759	Duplicated	BDSP01000228_1	604	1653	+	192.3	199
779909at2759	Duplicated	BDSP01000286_1	2414	3463	+	191.6	242
801857at2759	Duplicated	BDSP01000074_1	102922	104229	+	164.9	192
801857at2759	Duplicated	BDSP01000111_1	176675	177982	-	160.1	191
814241at2759	Duplicated	BDSP01000050_1	532323	533714	+	196.5	312
814241at2759	Duplicated	BDSP01000153_1	386630	388021	-	196.3	312
817008at2759	Duplicated	BDSP01000055_1	330107	332140	-	413.9	292
817008at2759	Duplicated	BDSP01000128_1	52739	54763	+	408.5	278
834694at2759	Duplicated	BDSP01000199_1	173307	175878	+	376.3	317
834694at2759	Duplicated	BDSP01000248_1	59872	62402	-	374.9	317
836599at2759	Complete	BDSP01000013_1	527308	531015	+	327.2	265
844748at2759	Missing
855834at2759	Duplicated	BDSP01000207_1	278851	280992	+	111.3	235
855834at2759	Duplicated	BDSP01000273_1	112431	114665	-	105.3	235
858842at2759	Duplicated	BDSP01000045_1	94958	96187	-	200.6	249
858842at2759	Duplicated	BDSP01000204_1	199954	201201	+	198.0	239
865202at2759	Duplicated	BDSP01000084_1	136617	137588	+	190.6	178
865202at2759	Duplicated	BDSP01000170_1	154727	155701	+	190.5	178
866359at2759	Duplicated	BDSP01000141_1	379205	380331	+	295.0	221
866359at2759	Duplicated	BDSP01000078_1	237647	238771	-	294.7	221
869548at2759	Duplicated	BDSP01000102_1	299101	299954	+	173.8	215
869548at2759	Duplicated	BDSP01000096_1	256177	257036	-	173.7	193
878143at2759	Duplicated	BDSP01000117_1	104633	106027	-	364.9	296
878143at2759	Duplicated	BDSP01000074_1	473725	475128	+	364.2	320
887370at2759	Fragmented	BDSP01000094_1	3057	4478	-	55.8	138
891751at2759	Duplicated	BDSP01000074_1	250645	252291	+	202.9	215
891751at2759	Duplicated	BDSP01000111_1	6416	8065	-	200.9	214
898782at2759	Duplicated	BDSP01000223_1	133738	135522	+	222.0	262
898782at2759	Duplicated	BDSP01000111_1	445718	447496	+	218.7	258
901894at2759	Duplicated	BDSP01000148_1	50363	52246	+	135.7	295
901894at2759	Duplicated	BDSP01000041_1	55209	57095	+	134.6	299
905026at2759	Duplicated	BDSP01000182_1	8386	10800	-	182.0	345
905026at2759	Duplicated	BDSP01000016_1	435958	438372	+	181.8	344
911863at2759	Fragmented	BDSP01000043_1	10137	10562	+	19.5	44
917326at2759	Duplicated	BDSP01000013_1	382980	385015	+	320.2	361
917326at2759	Duplicated	BDSP01000080_1	212176	214201	+	319.3	350
918816at2759	Duplicated	BDSP01000097_1	109082	110800	+	108.7	152
918816at2759	Duplicated	BDSP01000251_1	90994	92724	+	104.4	148
919955at2759	Duplicated	BDSP01000184_1	488101	489336	+	126.3	224
919955at2759	Duplicated	BDSP01000022_1	378482	379756	+	117.0	221
923657at2759	Fragmented	BDSP01000201_1	1202	2008	-	80.3	116
924753at2759	Duplicated	BDSP01000235_1	232939	234621	+	164.6	216
924753at2759	Duplicated	BDSP01000207_1	452901	454580	-	161.4	206
931188at2759	Duplicated	BDSP01000203_1	361634	363435	-	340.8	352
931188at2759	Duplicated	BDSP01000087_1	185308	187104	+	338.5	352
937275at2759	Duplicated	BDSP01000067_1	103605	104858	-	55.7	85
937275at2759	Duplicated	BDSP01000291_1	109164	110411	-	54.5	96
937686at2759	Duplicated	BDSP01000080_1	112574	114032	-	256.7	338
937686at2759	Duplicated	BDSP01000013_1	294256	295724	-	254.7	338
939345at2759	Duplicated	BDSP01000136_1	63055	64164	-	66.0	104
939345at2759	Duplicated	BDSP01000187_1	36109	37216	-	65.5	104
944899at2759	Duplicated	BDSP01000115_1	9712	10848	-	346.8	225
944899at2759	Duplicated	BDSP01000270_1	7425	8561	-	345.7	248
946128at2759	Duplicated	BDSP01000040_1	25427	27277	-	154.2	416
946128at2759	Duplicated	BDSP01000055_1	165118	166965	-	150.8	417
956854at2759	Duplicated	BDSP01000014_1	89933	90829	-	113.8	166
956854at2759	Duplicated	BDSP01000124_1	261033	261929	+	113.8	165
973442at2759	Duplicated	BDSP01000153_1	52670	54020	-	67.8	192
973442at2759	Duplicated	BDSP01000078_1	16039	17388	+	63.6	189
974865at2759	Duplicated	BDSP01000071_1	142859	143914	+	163.3	219
974865at2759	Duplicated	BDSP01000202_1	95399	96454	+	162.7	219
975158at2759	Missing
975557at2759	Duplicated	BDSP01000059_1	12035	14443	+	411.3	467
975557at2759	Duplicated	BDSP01000041_1	564628	567036	-	411.1	467
976469at2759	Duplicated	BDSP01000207_1	526037	527112	-	146.7	229
976469at2759	Duplicated	BDSP01000235_1	150918	152000	+	145.4	230
981902at2759	Duplicated	BDSP01000087_1	664084	665292	-	101.9	193
981902at2759	Duplicated	BDSP01000276_1	92003	93247	-	100.1	197
996662at2759	Missing
1001705at2759	Complete	BDSP01000016_1	379915	381681	-	85.6	179
1003258at2759	Duplicated	BDSP01000231_1	95575	96858	+	196.2	277
1003258at2759	Duplicated	BDSP01000092_1	148859	150151	+	191.3	276
1010730at2759	Duplicated	BDSP01000050_1	452680	454317	+	310.4	263
1010730at2759	Duplicated	BDSP01000153_1	462069	463706	-	309.4	263
1014314at2759	Missing
1018517at2759	Duplicated	BDSP01000277_1	106808	107671	-	270.0	209
1018517at2759	Duplicated	BDSP01000141_1	153621	154484	-	267.4	209
1019762at2759	Complete	BDSP01000242_1	22882	24597	-	78.9	388
1025450at2759	Duplicated	BDSP01000176_1	57583	58947	+	147.5	270
1025450at2759	Duplicated	BDSP01000279_1	53325	54692	+	145.5	269
1025450at2759	Duplicated	BDSP01000123_1	315381	400061	-	131.6	304
1030907at2759	Duplicated	BDSP01000133_1	270384	271460	+	69.4	227
1030907at2759	Duplicated	BDSP01000092_1	387932	389008	-	68.6	226
1032689at2759	Duplicated	BDSP01000078_1	146951	148216	+	144.6	145
1032689at2759	Duplicated	BDSP01000141_1	456797	458062	-	144.4	145
1038775at2759	Duplicated	BDSP01000092_1	203301	204236	+	120.6	185
1038775at2759	Duplicated	BDSP01000231_1	149792	150670	+	118.8	203
1041560at2759	Missing
1049599at2759	Missing
1051021at2759	Complete	BDSP01000114_1	188109	189302	-	178.8	248
1053181at2759	Fragmented	BDSP01000137_1	298069	299007	+	14.9	89
1057950at2759	Duplicated	BDSP01000221_1	769	1692	+	208.2	227
1057950at2759	Duplicated	BDSP01000185_1	9789	10706	-	205.1	227
1065019at2759	Duplicated	BDSP01000131_1	65031	66233	+	285.4	230
1065019at2759	Duplicated	BDSP01000219_1	91478	92707	-	281.9	230
1076134at2759	Fragmented	BDSP01000216_1	26879	27853	+	62.3	137
1079130at2759	Duplicated	BDSP01000162_1	18971	20441	+	310.2	243
1079130at2759	Duplicated	BDSP01000050_1	90206	91676	+	309.3	243
1079827at2759	Duplicated	BDSP01000076_1	46520	47299	-	334.5	219
1079827at2759	Duplicated	BDSP01000283_1	134457	135236	+	334.5	219
1085752at2759	Complete	BDSP01000234_1	206254	207297	+	65.4	183
1087488at2759	Missing
1090038at2759	Duplicated	BDSP01000057_1	37762	38685	+	58.8	133
1090038at2759	Duplicated	BDSP01000140_1	104846	105799	+	55.2	131
1094121at2759	Duplicated	BDSP01000151_1	49553	50065	+	109.8	130
1094121at2759	Duplicated	BDSP01000262_1	8114	8626	-	108.7	130
1096688at2759	Duplicated	BDSP01000207_1	381237	382232	+	305.9	214
1096688at2759	Duplicated	BDSP01000273_1	8194	9180	-	303.9	213
1106766at2759	Duplicated	BDSP01000238_1	38114	39624	-	97.9	189
1106766at2759	Duplicated	BDSP01000034_1	2824	4327	-	95.1	188
1107630at2759	Missing
1108845at2759	Duplicated	BDSP01000141_1	133035	134561	-	290.4	327
1108845at2759	Duplicated	BDSP01000277_1	78699	80225	-	289.2	328
1111142at2759	Missing
1112002at2759	Complete	BDSP01000022_1	287585	290611	-	372.5	522
1115196at2759	Duplicated	BDSP01000218_1	83621	84736	+	378.7	280
1115196at2759	Duplicated	BDSP01000242_1	57041	58162	-	378.5	278
1128607at2759	Duplicated	BDSP01000239_1	129169	130359	+	278.8	256
1128607at2759	Duplicated	BDSP01000118_1	305960	307474	+	275.1	264
1129824at2759	Missing
1138059at2759	Duplicated	BDSP01000207_1	128416	129357	+	245.7	211
1138059at2759	Duplicated	BDSP01000213_1	174247	175185	+	243.2	208
1157302at2759	Duplicated	BDSP01000016_1	562783	563659	+	334.6	202
1157302at2759	Duplicated	BDSP01000150_1	184716	185556	-	333.9	202
1161199at2759	Duplicated	BDSP01000224_1	96391	97341	-	52.7	118
1161199at2759	Duplicated	BDSP01000153_1	89477	90424	+	51.0	118
1173229at2759	Duplicated	BDSP01000286_1	77886	79181	-	106.5	197
1173229at2759	Duplicated	BDSP01000228_1	70122	71420	-	103.9	228
1178688at2759	Duplicated	BDSP01000044_1	273826	274449	+	73.0	136
1178688at2759	Duplicated	BDSP01000152_1	304746	305369	+	72.9	136
1182451at2759	Duplicated	BDSP01000167_1	85581	86691	+	123.5	164
1182451at2759	Duplicated	BDSP01000114_1	70468	71586	+	122.5	164
1193442at2759	Duplicated	BDSP01000228_1	18797	20152	+	276.1	264
1193442at2759	Duplicated	BDSP01000286_1	21632	22981	+	275.5	257
1194691at2759	Duplicated	BDSP01000078_1	225121	226420	-	249.2	272
