#                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold158_size494160:299117-300235  -            373 655400at2759         -            301   3.3e-43  143.5   0.6   1   3   1.6e-25   9.8e-24   79.5   0.0    87   187    26   147    17   154 0.82 -
scaffold158_size494160:299117-300235  -            373 655400at2759         -            301   3.3e-43  143.5   0.6   2   3     2e-19   1.2e-17   59.5   0.1   208   251   237   281   195   318 0.86 -
scaffold158_size494160:299117-300235  -            373 655400at2759         -            301   3.3e-43  143.5   0.6   3   3      0.16       9.7    0.7   0.0   276   300   342   366   337   367 0.84 -
scaffold336_size271081:78422-79108    -            229 655400at2759         -            301   1.5e-13   46.1   1.9   1   2     8e-07   4.8e-05   18.2   0.0    77   108     3    34     1    41 0.87 -
scaffold336_size271081:78422-79108    -            229 655400at2759         -            301   1.5e-13   46.1   1.9   2   2   1.8e-09   1.1e-07   26.8   0.6   208   241   196   229   188   229 0.94 -
scaffold37_size854255:793521-794207   -            229 655400at2759         -            301   1.5e-13   46.1   1.9   1   2     8e-07   4.8e-05   18.2   0.0    77   108     3    34     1    41 0.87 -
scaffold37_size854255:793521-794207   -            229 655400at2759         -            301   1.5e-13   46.1   1.9   2   2   1.8e-09   1.1e-07   26.8   0.6   208   241   196   229   188   229 0.94 -
scaffold7_size730406:22737-45042      -            353 655400at2759         -            301   1.5e-13   46.0   0.6   1   2   6.5e-05    0.0039   11.9   0.1    80   111   109   142    97   145 0.74 -
scaffold7_size730406:22737-45042      -            353 655400at2759         -            301   1.5e-13   46.0   0.6   2   2   3.2e-11   1.9e-09   32.6   0.1   196   282   255   350   240   353 0.74 -
scaffold36_size437733:362692-363507   -            272 655400at2759         -            301   3.1e-12   41.8   0.0   1   2    0.0001    0.0061   11.3   0.0    77   111     3    37     1    50 0.87 -
scaffold36_size437733:362692-363507   -            272 655400at2759         -            301   3.1e-12   41.8   0.0   2   2   4.8e-10   2.9e-08   28.7   0.0   195   248   158   215   149   268 0.74 -
scaffold7_size730406:558241-559290    -            350 655400at2759         -            301   4.5e-12   41.2   0.0   1   2   4.6e-05    0.0027   12.4   0.0    76   110    55    92    29   100 0.75 -
scaffold7_size730406:558241-559290    -            350 655400at2759         -            301   4.5e-12   41.2   0.0   2   2   1.9e-09   1.1e-07   26.8   0.0   206   262   233   289   212   298 0.88 -
scaffold5_size2025720:1734207-1735439 -            411 655400at2759         -            301   4.5e-11   38.0   0.0   1   2   1.4e-05   0.00086   14.1   0.0    86   116   186   216   172   234 0.87 -
scaffold5_size2025720:1734207-1735439 -            411 655400at2759         -            301   4.5e-11   38.0   0.0   2   2   6.3e-08   3.8e-06   21.8   0.0   200   243   325   372   314   391 0.84 -
scaffold46_size1342926:146457-147716  -            420 655400at2759         -            301   1.7e-10   36.1   0.1   1   2    0.0001     0.006   11.3   0.0    82   107   208   233   194   250 0.86 -
scaffold46_size1342926:146457-147716  -            420 655400at2759         -            301   1.7e-10   36.1   0.1   2   2   3.6e-08   2.2e-06   22.6   0.0   208   245   382   419   373   420 0.87 -
scaffold399_size162984:90119-90478    -            120 655400at2759         -            301   3.6e-08   28.4   0.0   1   1   8.2e-10     5e-08   28.0   0.0   208   259    62   113    60   118 0.90 -
scaffold314_size569245:477575-478279  -            235 655400at2759         -            301     7e-08   27.5   0.3   1   2   2.4e-05    0.0015   13.3   0.0    89   107    25    43    12    50 0.84 -
scaffold314_size569245:477575-478279  -            235 655400at2759         -            301     7e-08   27.5   0.3   2   2   4.5e-05    0.0027   12.4   0.1   207   238   201   232   193   235 0.90 -
scaffold174_size478105:179489-180514  -            342 655400at2759         -            301   1.4e-07   26.5   0.1   1   2    0.0054      0.33    5.6   0.0    89   115   170   196   156   202 0.83 -
scaffold174_size478105:179489-180514  -            342 655400at2759         -            301   1.4e-07   26.5   0.1   2   2     5e-07     3e-05   18.8   0.1   208   237   313   342   294   342 0.81 -
scaffold23_size1082546:440121-440729  -            203 655400at2759         -            301   8.3e-06   20.7   0.0   1   2   1.5e-05    0.0009   14.0   0.0    89   115     3    29     1    32 0.88 -
scaffold23_size1082546:440121-440729  -            203 655400at2759         -            301   8.3e-06   20.7   0.0   2   2    0.0094      0.57    4.8   0.0   208   242   127   161   113   192 0.80 -
scaffold524_size82198:43093-43806     -            238 655400at2759         -            301   1.2e-05   20.2   0.1   1   2   0.00075     0.045    8.4   0.0    84   108     2    28     1    33 0.78 -
scaffold524_size82198:43093-43806     -            238 655400at2759         -            301   1.2e-05   20.2   0.1   2   2   0.00026     0.016    9.9   0.0   209   241   204   236   199   238 0.86 -
scaffold61_size850897:415699-416073   -            125 655400at2759         -            301     2e-05   19.4   0.0   1   1   3.4e-07     2e-05   19.4   0.0   208   249    67   108    22   124 0.86 -
scaffold158_size494160:470392-471645  -            418 655400at2759         -            301   8.5e-05   17.3   0.5   1   2    0.0061      0.37    5.4   0.0    92   110   198   216   185   225 0.87 -
scaffold158_size494160:470392-471645  -            418 655400at2759         -            301   8.5e-05   17.3   0.5   2   2   0.00025     0.015   10.0   0.3   209   229   396   416   386   418 0.88 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/655400at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_ASM1318728v1/run_eukaryota_odb10/metaeuk_output/rerun_results/Cyclotella_cryptica.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_ASM1318728v1/run_eukaryota_odb10/hmmer_output/rerun_results/655400at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/655400at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_ASM1318728v1/run_eukaryota_odb10/metaeuk_output/rerun_results/Cyclotella_cryptica.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 23:59:17 2021
# [ok]
