#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold_8750:2-1474    -            491 39650at2759          -           1547  2.3e-151  501.4   0.0   1   2   7.6e-07   0.00016   14.7   0.0    29    94    57   119    48   122 0.79 -
scaffold_8750:2-1474    -            491 39650at2759          -           1547  2.3e-151  501.4   0.0   2   2  1.2e-148  2.6e-146  484.7   0.0    68   395   126   491   116   491 0.89 -
scaffold_8362:4582-8831 -           1383 39650at2759          -           1547  7.8e-113  373.7   5.8   1   4  2.8e-108  5.9e-106  350.9   3.4   388   652     1   280     1   288 0.93 -
scaffold_8362:4582-8831 -           1383 39650at2759          -           1547  7.8e-113  373.7   5.8   2   4   8.7e-06    0.0018   11.2   0.0  1052  1167   801   958   792   969 0.65 -
scaffold_8362:4582-8831 -           1383 39650at2759          -           1547  7.8e-113  373.7   5.8   3   4    0.0046      0.97    2.2   0.0  1247  1287  1198  1249  1176  1280 0.65 -
scaffold_8362:4582-8831 -           1383 39650at2759          -           1547  7.8e-113  373.7   5.8   4   4   0.00042     0.089    5.6   0.0  1297  1336  1295  1334  1282  1351 0.84 -
scaffold_19060:0-1100   -            367 39650at2759          -           1547   7.5e-22   72.1   0.0   1   2   1.3e-14   2.8e-12   40.4   0.0  1352  1422    23   100    14   106 0.87 -
scaffold_19060:0-1100   -            367 39650at2759          -           1547   7.5e-22   72.1   0.0   2   2   2.4e-11     5e-09   29.6   0.0  1455  1526   289   363   280   365 0.87 -
scaffold_7583:6294-9844 -           1033 39650at2759          -           1547   8.6e-05   15.6   0.0   1   1   7.1e-07   0.00015   14.8   0.0   230   286   303   359   298   366 0.94 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/39650at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_Cyccr1/run_eukaryota_odb10/metaeuk_output/rerun_results/Cyccr1_AssemblyScaffolds_Repeatmasked.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_Cyccr1/run_eukaryota_odb10/hmmer_output/rerun_results/39650at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/39650at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Cyclotella_cryptica_Cyccr1/run_eukaryota_odb10/metaeuk_output/rerun_results/Cyccr1_AssemblyScaffolds_Repeatmasked.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 19:25:03 2021
# [ok]
