#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
AGNL01004200_1:1171-2844   -            539 6436at33634          -            420  8.1e-224  736.7   1.2   1   2   6.1e-64   4.2e-63  207.3   0.2     7   129    31   161    15   183 0.85 -
AGNL01004200_1:1171-2844   -            539 6436at33634          -            420  8.1e-224  736.7   1.2   2   2  2.7e-161  1.8e-160  528.0   0.1   131   417   200   501   187   504 0.93 -
AGNL01045212_1:1831-3241   -            339 6436at33634          -            420   4.7e-87  286.2   0.0   1   1     1e-87   6.8e-87  285.7   0.0    12   308     4   339     2   339 0.88 -
AGNL01002288_1:2252-3472   -            407 6436at33634          -            420   2.2e-81  267.5   0.0   1   1   4.5e-82   3.1e-81  267.0   0.0    11   340    33   386    24   399 0.87 -
AGNL01010775_1:1768-2655   -            296 6436at33634          -            420   4.4e-66  217.1   0.0   1   1   7.9e-67   5.3e-66  216.8   0.0   177   399    67   293    61   296 0.94 -
AGNL01007461_1:307-1518    -            404 6436at33634          -            420   1.3e-63  209.0   0.0   1   1   1.1e-63   7.6e-63  206.4   0.0    11   319    37   390    30   403 0.81 -
AGNL01018818_1:31-1839     -            603 6436at33634          -            420   6.6e-63  206.7   0.0   1   4   1.3e-29   8.5e-29   94.3   0.0    27   153    55   207    27   242 0.75 -
AGNL01018818_1:31-1839     -            603 6436at33634          -            420   6.6e-63  206.7   0.0   2   4   8.3e-05   0.00056   12.5   0.0   185   233   293   345   287   356 0.84 -
AGNL01018818_1:31-1839     -            603 6436at33634          -            420   6.6e-63  206.7   0.0   3   4   3.8e-28   2.6e-27   89.4   0.0   235   325   371   462   365   470 0.94 -
AGNL01018818_1:31-1839     -            603 6436at33634          -            420   6.6e-63  206.7   0.0   4   4     0.015       0.1    5.0   0.0   358   400   557   601   531   603 0.82 -
AGNL01034646_1:1545-2585   -            347 6436at33634          -            420   4.8e-60  197.2   0.1   1   1   2.2e-59   1.5e-58  192.3   0.1    42   333     1   347     1   347 0.76 -
AGNL01047221_1:1223-2424   -            365 6436at33634          -            420   1.1e-56  186.1   0.0   1   1     2e-57   1.4e-56  185.9   0.0     1   322    13   359    13   363 0.82 -
AGNL01009838_1:2438-3693   -            381 6436at33634          -            420   1.5e-54  179.2   0.0   1   1     3e-55     2e-54  178.7   0.0     8   321    20   368    13   378 0.77 -
AGNL01003742_1:554-1898    -            422 6436at33634          -            420   3.5e-53  174.6   0.0   1   2   3.8e-36   2.5e-35  115.8   0.0    13   205    23   247    15   257 0.76 -
AGNL01003742_1:554-1898    -            422 6436at33634          -            420   3.5e-53  174.6   0.0   2   2   3.1e-18   2.1e-17   56.8   0.0   213   321   302   411   273   417 0.89 -
AGNL01046678_1:962-2303    -            366 6436at33634          -            420   5.9e-49  160.7   0.9   1   1   1.1e-49   7.6e-49  160.3   0.9    13   323    25   353    20   363 0.83 -
AGNL01048912_1:2749-3770   -            327 6436at33634          -            420   1.2e-46  153.1   2.0   1   1     1e-45   6.8e-45  147.3   2.0    10   278    26   327    18   327 0.80 -
AGNL01010332_1:716-1681    -            322 6436at33634          -            420   6.7e-46  150.6   0.0   1   1   4.4e-45   2.9e-44  145.2   0.0    37   305     6   320     2   322 0.74 -
AGNL01015862_1:447-1571    -            375 6436at33634          -            420     1e-44  146.7   0.1   1   1     2e-45   1.3e-44  146.3   0.1    13   324    26   356    22   371 0.83 -
AGNL01013432_1:294-1608    -            395 6436at33634          -            420   7.1e-44  144.0   0.0   1   2   4.5e-24     3e-23   76.0   0.0    13   150    19   178    11   188 0.78 -
