#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
BLYE01000143_1:32707-34467     -            587 5145at33634          -            296  1.8e-137  451.8   5.9   1   1  1.6e-138  2.9e-137  451.1   5.9    17   296   283   587   277   587 0.94 -
BLYE01000014_1:74205-75965     -            587 5145at33634          -            296  1.9e-137  451.8   5.9   1   1  1.6e-138  2.9e-137  451.1   5.9    17   296   283   587   277   587 0.94 -
BLYE01000009_1:236046-237038   -            331 5145at33634          -            296   8.5e-28   91.8   6.7   1   6   5.8e-06    0.0001   16.0   0.0    64    98     1    35     1    46 0.81 -
BLYE01000009_1:236046-237038   -            331 5145at33634          -            296   8.5e-28   91.8   6.7   2   6   2.8e-05   0.00048   13.8   0.3   230   296    46   121    35   121 0.69 -
BLYE01000009_1:236046-237038   -            331 5145at33634          -            296   8.5e-28   91.8   6.7   3   6     0.021      0.36    4.3   0.0    79   103   107   131   102   133 0.88 -
BLYE01000009_1:236046-237038   -            331 5145at33634          -            296   8.5e-28   91.8   6.7   4   6     7e-07   1.2e-05   19.0   0.0    62   170   132   245   109   257 0.70 -
BLYE01000009_1:236046-237038   -            331 5145at33634          -            296   8.5e-28   91.8   6.7   5   6   3.7e-11   6.5e-10   33.0   0.0    62   105   256   299   246   300 0.92 -
BLYE01000009_1:236046-237038   -            331 5145at33634          -            296   8.5e-28   91.8   6.7   6   6   0.00031    0.0054   10.3   0.1    63    94   299   330   295   331 0.94 -
BLYE01000124_1:49909-50901     -            331 5145at33634          -            296   1.1e-27   91.4   7.2   1   6   6.8e-06   0.00012   15.8   0.0    64    98     1    35     1    44 0.83 -
BLYE01000124_1:49909-50901     -            331 5145at33634          -            296   1.1e-27   91.4   7.2   2   6   2.8e-05   0.00048   13.8   0.3   230   296    46   121    35   121 0.69 -
BLYE01000124_1:49909-50901     -            331 5145at33634          -            296   1.1e-27   91.4   7.2   3   6     0.021      0.36    4.3   0.0    79   103   107   131   102   133 0.88 -
BLYE01000124_1:49909-50901     -            331 5145at33634          -            296   1.1e-27   91.4   7.2   4   6   1.4e-06   2.4e-05   18.0   0.0    63   170   133   245   130   257 0.71 -
BLYE01000124_1:49909-50901     -            331 5145at33634          -            296   1.1e-27   91.4   7.2   5   6   5.1e-11   8.9e-10   32.6   0.0    63   105   257   299   247   299 0.92 -
BLYE01000124_1:49909-50901     -            331 5145at33634          -            296   1.1e-27   91.4   7.2   6   6   0.00031    0.0054   10.3   0.1    63    94   299   330   295   331 0.94 -
BLYE01000003_1:419085-420020   -            312 5145at33634          -            296     2e-26   87.3   0.3   1   5    0.0036     0.063    6.8   0.0    23    70    17    70    11    90 0.73 -
BLYE01000003_1:419085-420020   -            312 5145at33634          -            296     2e-26   87.3   0.3   2   5     3e-07   5.2e-06   20.2   0.1    62   115    89   144    75   144 0.84 -
BLYE01000003_1:419085-420020   -            312 5145at33634          -            296     2e-26   87.3   0.3   3   5   2.3e-07     4e-06   20.6   0.0    62   104   132   174   129   176 0.95 -
BLYE01000003_1:419085-420020   -            312 5145at33634          -            296     2e-26   87.3   0.3   4   5   2.6e-09   4.5e-08   27.0   0.0    64   104   176   216   174   222 0.93 -
BLYE01000003_1:419085-420020   -            312 5145at33634          -            296     2e-26   87.3   0.3   5   5    0.0001    0.0018   11.9   0.0    62   138   217   299   215   311 0.61 -
BLYE01000027_1:287209-288054   -            282 5145at33634          -            296   2.6e-20   67.2   4.6   1   4   3.6e-08   6.2e-07   23.3   0.0    63   126     2    68     1    80 0.78 -
BLYE01000027_1:287209-288054   -            282 5145at33634          -            296   2.6e-20   67.2   4.6   2   4   4.4e-07   7.7e-06   19.7   0.3    79   153    79   160    67   164 0.68 -
BLYE01000027_1:287209-288054   -            282 5145at33634          -            296   2.6e-20   67.2   4.6   3   4     0.006       0.1    6.1   0.0    81   106   188   213   170   215 0.84 -
BLYE01000027_1:287209-288054   -            282 5145at33634          -            296   2.6e-20   67.2   4.6   4   4   2.5e-07   4.3e-06   20.5   0.1    58   110   207   259   200   269 0.89 -
BLYE01000001_1:3282560-3283327 -            256 5145at33634          -            296   2.6e-19   63.9   1.7   1   3   0.00038    0.0066   10.0   0.0   140   173     4    39     1    44 0.65 -
BLYE01000001_1:3282560-3283327 -            256 5145at33634          -            296   2.6e-19   63.9   1.7   2   3   3.5e-11   6.1e-10   33.1   0.1    22   169    40   200    37   201 0.77 -
BLYE01000001_1:3282560-3283327 -            256 5145at33634          -            296   2.6e-19   63.9   1.7   3   3   9.9e-08   1.7e-06   21.8   0.1    24   104   163   255   154   256 0.74 -
BLYE01000088_1:189101-189868   -            256 5145at33634          -            296   2.6e-19   63.9   1.7   1   3   0.00038    0.0066   10.0   0.0   140   173     4    39     1    44 0.65 -
BLYE01000088_1:189101-189868   -            256 5145at33634          -            296   2.6e-19   63.9   1.7   2   3   3.5e-11   6.1e-10   33.1   0.1    22   169    40   200    37   201 0.77 -
BLYE01000088_1:189101-189868   -            256 5145at33634          -            296   2.6e-19   63.9   1.7   3   3   9.9e-08   1.7e-06   21.8   0.1    24   104   163   255   154   256 0.74 -
BLYE01000022_1:314217-315041   -            275 5145at33634          -            296     3e-18   60.4   0.0   1   4   8.7e-06   0.00015   15.4   0.0    62   106     2    46     1    55 0.90 -
BLYE01000022_1:314217-315041   -            275 5145at33634          -            296     3e-18   60.4   0.0   2   4      0.65        11   -0.6   0.0    69    95    65    92    59   108 0.78 -
BLYE01000022_1:314217-315041   -            275 5145at33634          -            296     3e-18   60.4   0.0   3   4   1.3e-11   2.3e-10   34.5   0.0   187   296   125   234   108   234 0.89 -
BLYE01000022_1:314217-315041   -            275 5145at33634          -            296     3e-18   60.4   0.0   4   4   6.2e-06   0.00011   15.9   0.0    25    87   200   270   199   275 0.50 -
BLYE01000170_1:1669-2493       -            275 5145at33634          -            296     3e-18   60.4   0.0   1   4   8.7e-06   0.00015   15.4   0.0    62   106     2    46     1    55 0.90 -
BLYE01000170_1:1669-2493       -            275 5145at33634          -            296     3e-18   60.4   0.0   2   4      0.65        11   -0.6   0.0    69    95    65    92    59   108 0.78 -
BLYE01000170_1:1669-2493       -            275 5145at33634          -            296     3e-18   60.4   0.0   3   4   1.3e-11   2.3e-10   34.5   0.0   187   296   125   234   108   234 0.89 -
BLYE01000170_1:1669-2493       -            275 5145at33634          -            296     3e-18   60.4   0.0   4   4   6.2e-06   0.00011   15.9   0.0    25    87   200   270   199   275 0.50 -
BLYE01000001_1:933284-933937   -            218 5145at33634          -            296   7.1e-17   55.9   0.1   1   3   2.2e-06   3.7e-05   17.4   0.0    57    96    17    58     8    71 0.87 -
BLYE01000001_1:933284-933937   -            218 5145at33634          -            296   7.1e-17   55.9   0.1   2   3   1.1e-05    0.0002   15.0   0.0    60    98   130   170    99   177 0.86 -
BLYE01000001_1:933284-933937   -            218 5145at33634          -            296   7.1e-17   55.9   0.1   3   3     2e-07   3.4e-06   20.8   0.0    61   102   175   217   171   218 0.91 -
BLYE01000227_1:31514-32709     -            333 5145at33634          -            296   8.7e-15   49.1   1.1   1   3   5.5e-09   9.5e-08   25.9   0.1    30   107     7    92     6   133 0.77 -
BLYE01000227_1:31514-32709     -            333 5145at33634          -            296   8.7e-15   49.1   1.1   2   3   4.9e-05   0.00084   13.0   0.0    62   107   186   231   135   242 0.78 -
BLYE01000227_1:31514-32709     -            333 5145at33634          -            296   8.7e-15   49.1   1.1   3   3     0.067       1.2    2.7   0.0    62    94   283   315   276   321 0.88 -
