#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QAXC01005325_1:3975-4982     -            336 388820at2759         -            609   2.1e-22   74.4   0.2   1   3   6.3e-13   3.5e-11   37.4   0.1   153   264    16   130     9   136 0.89 -
QAXC01005325_1:3975-4982     -            336 388820at2759         -            609   2.1e-22   74.4   0.2   2   3   0.00021     0.012    9.2   0.0   161   226   147   218   144   226 0.83 -
QAXC01005325_1:3975-4982     -            336 388820at2759         -            609   2.1e-22   74.4   0.2   3   3     5e-09   2.8e-07   24.5   0.0   166   263   234   335   221   336 0.78 -
QAXC01000665_1:306-1913      -            536 388820at2759         -            609   9.7e-21   68.9   3.5   1   6     1e-05   0.00057   13.5   0.1   418   457     7    47     4    75 0.80 -
QAXC01000665_1:306-1913      -            536 388820at2759         -            609   9.7e-21   68.9   3.5   2   6    0.0002     0.011    9.3   0.0   398   445   163   218    73   224 0.65 -
QAXC01000665_1:306-1913      -            536 388820at2759         -            609   9.7e-21   68.9   3.5   3   6     3e-07   1.7e-05   18.6   0.0   368   444   175   259   173   312 0.74 -
QAXC01000665_1:306-1913      -            536 388820at2759         -            609   9.7e-21   68.9   3.5   4   6   2.5e-08   1.4e-06   22.2   0.1   347   453   227   349   220   350 0.74 -
QAXC01000665_1:306-1913      -            536 388820at2759         -            609   9.7e-21   68.9   3.5   5   6   5.8e-06   0.00032   14.4   0.1   209   268   327   384   324   389 0.86 -
QAXC01000665_1:306-1913      -            536 388820at2759         -            609   9.7e-21   68.9   3.5   6   6   1.2e-05   0.00063   13.4   0.0   153   227   430   510   411   536 0.37 -
QAXC01006453_1:1641-3215     -            525 388820at2759         -            609   7.2e-17   56.1   1.9   1   5   1.4e-06   7.6e-05   16.4   0.0   417   484    17    87     8   112 0.85 -
QAXC01006453_1:1641-3215     -            525 388820at2759         -            609   7.2e-17   56.1   1.9   2   5   0.00044     0.024    8.2   0.0   377   482   134   246   123   260 0.76 -
QAXC01006453_1:1641-3215     -            525 388820at2759         -            609   7.2e-17   56.1   1.9   3   5   0.00026     0.014    8.9   0.0   418   474   261   320   257   347 0.72 -
QAXC01006453_1:1641-3215     -            525 388820at2759         -            609   7.2e-17   56.1   1.9   4   5   8.3e-06   0.00045   13.9   0.0   423   473   425   480   416   493 0.76 -
