iscS	WXVQ01000013_1	86.162	383	53	0	18	400	215677	216825	0.0	671
thiF	WXVQ01000107_1	38.728	173	101	3	42	211	6474	5962	5.48e-31	110
thiI	WXVQ01000051_1	43.750	32	12	1	187	218	33915	33992	7.6	28.9
dxs	WXVQ01000081_1	29.921	127	82	5	422	544	110818	111189	5.94e-05	46.6
thiH	WXVQ01000436_1	28.302	53	33	1	71	123	3711	3854	1.1	31.2
thiO	WXVQ01000050_1	25.773	194	115	7	195	363	39352	39921	1.20e-06	50.4
thiG	WXVQ01000001_1	29.412	85	44	3	168	252	82156	81950	3.4	28.9
tenI	WXVQ01000048_1	32.857	70	44	2	139	205	65953	66162	0.34	31.6
thiM	WXVQ01000184_1	35.849	53	29	2	154	203	43978	43826	3.5	28.9
THI6	WXVQ01000985_1	36.842	38	24	0	476	513	147129	147242	5.2	29.6
THI4	WXVQ01000016_1	56.000	25	11	0	86	110	91557	91483	0.29	33.1
thi4	WXVQ01000133_1	48.571	35	18	0	28	62	50026	50130	0.038	35.4
THI20	WXVQ01000058_1	41.667	48	27	1	122	169	26917	27057	0.14	35.0
thiD	WXVQ01000012_1	36.667	30	19	0	132	161	110652	110563	2.1	29.6
thiDE	WXVQ01000092_1	50.000	24	12	0	432	455	69170	69099	8.8	28.9
thiDN	WXVQ01000058_1	33.333	102	61	3	77	173	26836	27135	2.56e-10	62.8
thiC	WXVQ01000039_1	27.848	79	48	2	196	273	112867	113079	1.4	32.0
THI5	WXVQ01000079_1	39.286	28	17	0	313	340	34795	34878	2.6	29.6
thiE	WXVQ01000009_1	32.558	43	27	1	148	188	83488	83616	1.8	29.3
thiN	WXVQ01000176_1	35.417	48	26	2	86	133	29109	29237	0.37	31.2
thiL	WXVQ01000084_1	39.474	38	19	1	252	289	64206	64105	0.11	34.3
NTPCR	WXVQ01000050_1	30.337	89	54	3	19	107	32579	32821	0.55	30.4
rsgA	WXVQ01000041_1	33.036	112	58	7	117	212	21435	21103	2.30e-04	42.7
adk	WXVQ01000075_1	63.855	249	57	2	89	307	87245	86508	3.78e-96	311
THTPA	WXVQ01000185_1	36.719	256	145	10	28	277	12229	11495	1.69e-34	132
phoA	WXVQ01000985_1	33.333	69	42	2	182	246	302415	302209	1.5	31.2
PHO	WXVQ01000266_1	25.000	120	75	3	278	392	15418	15089	0.23	33.9
PHO5_11_12	WXVQ01000266_1	26.804	97	56	3	301	392	15349	15089	0.47	32.7
ACP1	WXVQ01000033_1	36.842	38	19	2	126	158	63386	63273	1.7	28.5
TH2	WXVQ01000011_1	32.075	53	31	1	234	286	181103	181246	8.7	28.5
thiK	WXVQ01000920_1	47.826	23	12	0	70	92	205	273	5.3	27.7
TPK1	WXVQ01000181_1	30.035	283	130	11	3	266	6441	7142	1.00e-24	103
ylmB	WXVQ01000155_1	33.333	84	56	0	83	166	45592	45843	6.80e-06	48.1
tenA	WXVQ01000223_1	39.286	28	17	0	104	131	13500	13417	0.49	31.2
E2.5.1.2	WXVQ01000213_1	35.000	40	25	1	427	465	8750	8631	6.7	29.3
