#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NKIB01014885_1:38192-39690 -            458 8842at33634          -            343    5e-181  595.3   7.2   1   2   2.4e-17   1.9e-16   54.2   1.2     1    55    44   106    44   110 0.89 -
NKIB01014885_1:38192-39690 -            458 8842at33634          -            343    5e-181  595.3   7.2   2   2  1.6e-166  1.2e-165  544.7   0.5    55   339   133   444   127   452 0.93 -
NKIB01013182_1:38718-39584 -            289 8842at33634          -            343   2.7e-93  306.8   0.8   1   1   4.2e-94   3.3e-93  306.5   0.8    70   340     2   285     1   288 0.91 -
NKIB01013769_1:48688-49629 -            314 8842at33634          -            343   2.4e-88  290.6   0.4   1   1   3.3e-89   2.6e-88  290.4   0.4    80   337    30   302     1   311 0.87 -
NKIB01006909_1:54499-55554 -            352 8842at33634          -            343   4.4e-87  286.4   0.1   1   1   6.7e-88   5.2e-87  286.1   0.1    79   340    74   351    52   352 0.91 -
NKIB01002996_1:2340-3397   -            314 8842at33634          -            343   3.7e-86  283.4   0.2   1   1     6e-87   4.7e-86  283.0   0.2    72   337    24   305    17   310 0.89 -
NKIB01014934_1:3718-4662   -            315 8842at33634          -            343   1.5e-84  278.0   0.2   1   1   2.4e-85   1.9e-84  277.7   0.2    74   329    23   287    12   302 0.92 -
NKIB01012542_1:29837-30532 -            232 8842at33634          -            343   7.2e-57  187.0   0.2   1   1   1.1e-57   8.5e-57  186.8   0.2   114   328     1   223     1   231 0.89 -
NKIB01012208_1:20424-21179 -            252 8842at33634          -            343   6.4e-54  177.3   0.1   1   1   9.4e-55   7.4e-54  177.1   0.1   118   331     4   227     1   237 0.86 -
NKIB01013186_1:3653-4417   -            255 8842at33634          -            343   9.9e-53  173.4   0.2   1   1   1.5e-53   1.2e-52  173.2   0.2   113   328    17   242     5   254 0.87 -
