#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold01191:6328-8304   -            659 13102at33634         -            407  6.8e-150  493.8  22.7   1   4   1.6e-11   1.5e-09   31.6   0.1    26    85    38    97     1   107 0.79 -
scaffold01191:6328-8304   -            659 13102at33634         -            407  6.8e-150  493.8  22.7   2   4   1.7e-64   1.6e-62  206.1   7.0    69   216   106   267    97   277 0.89 -
scaffold01191:6328-8304   -            659 13102at33634         -            407  6.8e-150  493.8  22.7   3   4   1.8e-79   1.7e-77  255.4   0.2   221   402   351   553   345   557 0.88 -
scaffold01191:6328-8304   -            659 13102at33634         -            407  6.8e-150  493.8  22.7   4   4   0.00025     0.024    7.9   0.6   384   406   614   636   605   637 0.88 -
scaffold00333:41080-43056 -            659 13102at33634         -            407  7.3e-150  493.7  22.8   1   4   1.6e-11   1.5e-09   31.6   0.1    26    85    38    97     1   107 0.79 -
scaffold00333:41080-43056 -            659 13102at33634         -            407  7.3e-150  493.7  22.8   2   4   1.7e-64   1.6e-62  206.1   7.0    69   216   106   267    97   277 0.89 -
scaffold00333:41080-43056 -            659 13102at33634         -            407  7.3e-150  493.7  22.8   3   4   1.8e-79   1.6e-77  255.4   0.2   221   402   351   553   345   557 0.88 -
scaffold00333:41080-43056 -            659 13102at33634         -            407  7.3e-150  493.7  22.8   4   4   0.00025     0.024    7.9   0.6   384   406   614   636   605   637 0.88 -
scaffold01171:4581-6170   -            530 13102at33634         -            407    2e-147  485.7  16.1   1   3   1.1e-11   9.8e-10   32.2   0.1    26    86    38    98     1   107 0.79 -
scaffold01171:4581-6170   -            530 13102at33634         -            407    2e-147  485.7  16.1   2   3   1.4e-64   1.3e-62  206.3   7.4    69   216   106   267    94   277 0.89 -
scaffold01171:4581-6170   -            530 13102at33634         -            407    2e-147  485.7  16.1   3   3   1.1e-77     1e-75  249.5   0.3   221   378   353   530   348   530 0.92 -
scaffold00034:23970-25031 -            354 13102at33634         -            407     3e-30   99.7   0.0   1   1   4.2e-32     4e-30   99.4   0.0   125   385    81   351    64   354 0.81 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/13102at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Synedra_acus_sac1/run_stramenopiles_odb10/metaeuk_output/initial_results/sac.scaffolds.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Synedra_acus_sac1/run_stramenopiles_odb10/hmmer_output/initial_run_results/13102at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/13102at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Synedra_acus_sac1/run_stramenopiles_odb10/metaeuk_output/initial_results/sac.scaffolds.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Fri Apr 16 15:15:41 2021
# [ok]
