# BUSCO version is: 5.1.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	JAACSZ010001529_1	9071	16034	-	1689.7	1351
83779at2759	Complete	JAACSZ010002176_1	302	2119	-	175.4	253
87842at2759	Fragmented	JAACSZ010001536_1	7047	11142	-	167.7	365
97116at2759	Complete	JAACSZ010000371_1	7197	11236	-	707.0	889
100698at2759	Complete	JAACSZ010000021_1	3927	6676	-	669.4	490
142542at2759	Missing
156083at2759	Complete	JAACSZ010001813_1	4385	11788	-	3420.1	1927
160593at2759	Missing
166920at2759	Complete	JAACSZ010001381_1	29685	33873	+	448.2	758
176625at2759	Complete	JAACSZ010000884_1	7470	12099	+	163.0	321
179362at2759	Complete	JAACSZ010001385_1	3911	7152	+	259.6	1245
245208at2759	Complete	JAACSZ010000807_1	15079	18996	-	1402.4	871
257318at2759	Complete	JAACSZ010001396_1	28057	30647	-	229.3	325
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	JAACSZ010001745_1	2069	5000	+	580.5	545
293315at2759	Complete	JAACSZ010001460_1	12545	17451	+	575.5	599
296129at2759	Complete	JAACSZ010001459_1	20083	23632	-	868.5	734
299766at2759	Complete	JAACSZ010002064_1	3655	7845	-	335.8	443
306227at2759	Complete	JAACSZ010000235_1	15056	17277	-	432.7	503
320059at2759	Complete	JAACSZ010001974_1	2986	4757	+	814.4	449
324863at2759	Complete	JAACSZ010001547_1	24167	27346	+	456.4	483
325552at2759	Missing
330169at2759	Complete	JAACSZ010000708_1	700	2442	+	244.7	323
331411at2759	Missing
341721at2759	Missing
345441at2759	Complete	JAACSZ010001432_1	14370	16249	+	288.0	366
355408at2759	Complete	JAACSZ010000013_1	5597	7738	+	527.7	576
369837at2759	Complete	JAACSZ010001537_1	3544	6003	+	197.0	335
375960at2759	Missing
383503at2759	Complete	JAACSZ010000375_1	1542	3527	-	223.3	318
388820at2759	Missing
390348at2759	Complete	JAACSZ010000734_1	20771	24041	-	1083.6	702
392369at2759	Complete	JAACSZ010001578_1	26254	27959	+	371.9	350
396755at2759	Complete	JAACSZ010001094_1	559	4774	+	182.7	612
418107at2759	Complete	JAACSZ010001487_1	15957	17360	+	384.4	310
426305at2759	Complete	JAACSZ010000684_1	18794	21271	-	277.2	529
450058at2759	Missing
453044at2759	Complete	JAACSZ010000079_1	4299	5798	-	215.3	275
457861at2759	Missing
464990at2759	Missing
491869at2759	Complete	JAACSZ010001875_1	2194	3897	+	174.2	237
513979at2759	Complete	JAACSZ010000989_1	3171	5373	-	152.2	214
543764at2759	Complete	JAACSZ010000628_1	283	1761	+	189.6	235
549762at2759	Complete	JAACSZ010001339_1	6606	8513	+	401.3	349
551907at2759	Complete	JAACSZ010000248_1	7470	9602	+	182.1	325
570797at2759	Complete	JAACSZ010001495_1	54516	56285	+	412.0	465
582756at2759	Complete	JAACSZ010001728_1	482	1768	+	192.9	331
598949at2759	Fragmented	JAACSZ010000351_1	71	3283	+	210.7	264
604979at2759	Complete	JAACSZ010001896_1	9500	11017	-	365.1	264
621827at2759	Missing
625387at2759	Complete	JAACSZ010001496_1	4316	9662	-	119.1	276
655400at2759	Complete	JAACSZ010000527_1	8365	9765	-	145.8	260
664730at2759	Complete	JAACSZ010000621_1	2446	3943	+	587.0	343
671536at2759	Complete	JAACSZ010000367_1	15472	17177	-	412.1	330
671846at2759	Missing
673132at2759	Complete	JAACSZ010001495_1	8493	9794	-	257.1	290
674160at2759	Complete	JAACSZ010001525_1	5316	14384	-	350.9	846
674169at2759	Complete	JAACSZ010001116_1	626	2263	+	116.7	232
679187at2759	Missing
679771at2759	Complete	JAACSZ010000206_1	7247	8726	-	71.8	170
687505at2759	Missing
692986at2759	Missing
708105at2759	Complete	JAACSZ010001379_1	47519	49054	+	62.3	216
719531at2759	Complete	JAACSZ010001532_1	37169	38640	+	338.9	283
720340at2759	Complete	JAACSZ010000846_1	17385	19067	+	85.6	152
721605at2759	Complete	JAACSZ010001568_1	16124	17513	-	193.3	257
722805at2759	Missing
734341at2759	Complete	JAACSZ010001403_1	84884	86346	-	73.2	147
734666at2759	Complete	JAACSZ010000279_1	7432	9089	+	275.5	306
736068at2759	Complete	JAACSZ010002098_1	2571	3962	+	184.9	312
751335at2759	Duplicated	JAACSZ010001589_1	2814	4531	-	140.5	198
751335at2759	Duplicated	JAACSZ010000657_1	25168	26921	+	132.5	186
759498at2759	Complete	JAACSZ010001835_1	4139	6308	-	453.7	452
761109at2759	Complete	JAACSZ010000313_1	7669	9737	-	338.7	371
768809at2759	Complete	JAACSZ010001248_1	7229	8608	-	187.2	244
774318at2759	Complete	JAACSZ010001445_1	28411	29828	+	259.9	289
777920at2759	Complete	JAACSZ010001567_1	5904	7853	+	347.0	340
779909at2759	Complete	JAACSZ010001862_1	5412	6728	-	178.2	219
801857at2759	Complete	JAACSZ010000322_1	471	1715	-	179.7	178
814241at2759	Missing
817008at2759	Complete	JAACSZ010000698_1	17907	19934	+	410.9	284
834694at2759	Missing
836599at2759	Complete	JAACSZ010000501_1	8857	10636	+	317.6	275
844748at2759	Complete	JAACSZ010000871_1	8427	9932	-	70.2	277
855834at2759	Complete	JAACSZ010001451_1	13947	16227	-	126.1	239
858842at2759	Complete	JAACSZ010001054_1	11746	13056	-	202.7	257
865202at2759	Complete	JAACSZ010000825_1	5093	6226	-	188.0	216
866359at2759	Complete	JAACSZ010000038_1	3375	4518	+	299.6	223
869548at2759	Complete	JAACSZ010000328_1	11092	11829	+	181.9	181
878143at2759	Complete	JAACSZ010000293_1	5633	7369	-	333.0	343
887370at2759	Fragmented	JAACSZ010001572_1	3025	4815	+	61.8	79
891751at2759	Complete	JAACSZ010001531_1	824	2629	-	185.3	196
898782at2759	Missing
901894at2759	Complete	JAACSZ010000981_1	462	2345	+	114.7	302
905026at2759	Missing
911863at2759	Fragmented	JAACSZ010001818_1	9465	9740	+	17.7	40
917326at2759	Complete	JAACSZ010000349_1	1678	3725	-	326.4	344
918816at2759	Complete	JAACSZ010001365_1	26946	28583	+	81.3	166
919955at2759	Complete	JAACSZ010001494_1	9791	11035	-	144.9	244
923657at2759	Fragmented	JAACSZ010001531_1	45559	46605	-	68.4	113
924753at2759	Complete	JAACSZ010001402_1	13419	15074	+	172.9	212
931188at2759	Complete	JAACSZ010000727_1	18631	20518	-	357.7	371
937275at2759	Complete	JAACSZ010001055_1	10771	11874	+	42.1	74
937686at2759	Complete	JAACSZ010001397_1	4622	6163	+	266.9	338
939345at2759	Complete	JAACSZ010000158_1	1803	3032	+	78.5	117
944899at2759	Complete	JAACSZ010002234_1	4839	5954	-	338.7	223
946128at2759	Complete	JAACSZ010001381_1	54968	57109	-	155.3	418
956854at2759	Missing
973442at2759	Fragmented	JAACSZ010001405_1	7399	9030	-	54.5	115
974865at2759	Complete	JAACSZ010001488_1	22010	23234	+	147.9	220
975158at2759	Missing
975557at2759	Fragmented	JAACSZ010000179_1	17773	18096	+	70.3	97
976469at2759	Complete	JAACSZ010000753_1	22741	23706	+	130.9	219
981902at2759	Complete	JAACSZ010000595_1	7629	9073	+	118.0	201
996662at2759	Missing
1001705at2759	Complete	JAACSZ010000718_1	21499	23268	-	107.8	206
1003258at2759	Missing
1010730at2759	Complete	JAACSZ010001836_1	7970	9721	+	296.5	261
1014314at2759	Missing
1018517at2759	Complete	JAACSZ010001141_1	11057	11884	+	254.3	211
1019762at2759	Complete	JAACSZ010001187_1	9886	11625	-	80.4	343
