#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold00282:77132-78808   -            559 11504at33634         -            390  1.5e-122  401.2   0.2   1   1    4e-122  5.4e-122  399.4   0.2   113   390     1   321     1   321 0.89 -
scaffold00079:89272-90611   -            443 11504at33634         -            390  1.6e-111  364.9   0.1   1   1  1.6e-111  2.1e-111  364.5   0.1    14   366    24   410    12   431 0.86 -
scaffold00029:44584-45663   -            360 11504at33634         -            390   8.3e-83  270.4   0.1   1   1   7.8e-83     1e-82  270.0   0.1    15   324    24   351    15   357 0.90 -
scaffold00014:409143-410558 -            472 11504at33634         -            390   4.6e-77  251.4   0.2   1   3   7.8e-42     1e-41  135.0   0.1    14   179    17   193    11   209 0.87 -
scaffold00014:409143-410558 -            472 11504at33634         -            390   4.6e-77  251.4   0.2   2   3   7.2e-35   9.6e-35  112.1   0.0   192   333   236   395   196   411 0.75 -
scaffold00014:409143-410558 -            472 11504at33634         -            390   4.6e-77  251.4   0.2   3   3      0.83       1.1   -0.0   0.0   343   367   448   472   415   472 0.75 -
scaffold00001:558851-560082 -            371 11504at33634         -            390   2.5e-75  245.7   0.6   1   2   6.7e-52     9e-52  168.2   0.3    15   187    23   199    14   211 0.92 -
scaffold00001:558851-560082 -            371 11504at33634         -            390   2.5e-75  245.7   0.6   2   2   4.8e-24   6.4e-24   76.5   0.0   212   321   203   315   198   341 0.86 -
scaffold00140:4330-5442     -            371 11504at33634         -            390   7.1e-72  234.4   0.0   1   1   7.3e-72   9.8e-72  233.9   0.0    15   328    25   365    19   370 0.87 -
scaffold00310:14473-15639   -            389 11504at33634         -            390   2.9e-70  229.0   0.4   1   1   2.9e-70   3.9e-70  228.6   0.4    15   329    31   363    24   375 0.85 -
scaffold00543:7662-8747     -            362 11504at33634         -            390   1.4e-67  220.2   0.0   1   1   1.3e-67   1.7e-67  219.9   0.0    15   323    37   360    33   362 0.89 -
scaffold02960:485-1549      -            355 11504at33634         -            390   8.1e-64  207.8   0.0   1   1   7.3e-64   9.8e-64  207.6   0.0    15   329    24   354    17   355 0.90 -
scaffold00330:19779-21131   -            451 11504at33634         -            390   1.3e-63  207.2   0.1   1   1   1.1e-63   1.5e-63  207.0   0.1     9   368     9   414     1   451 0.74 -
scaffold00022:52141-53400   -            420 11504at33634         -            390   3.7e-62  202.4   0.6   1   1   3.7e-62     5e-62  201.9   0.6     6   358     2   393     1   404 0.80 -
scaffold00069:44691-45740   -            350 11504at33634         -            390   7.1e-62  201.4   0.1   1   1   8.8e-62   1.2e-61  200.7   0.1    15   325     2   345     1   349 0.83 -
scaffold00756:10029-11078   -            350 11504at33634         -            390   3.7e-61  199.1   0.1   1   1   3.3e-61   4.5e-61  198.8   0.1    15   331     1   334     1   344 0.86 -
scaffold00009:50500-52186   -            482 11504at33634         -            390   2.4e-60  196.4   0.1   1   3     6e-32     8e-32  102.5   0.2    33   235     4   234     1   239 0.76 -
scaffold00009:50500-52186   -            482 11504at33634         -            390   2.4e-60  196.4   0.1   2   3   5.4e-28   7.2e-28   89.5   0.0   242   333   262   353   258   367 0.95 -
scaffold00009:50500-52186   -            482 11504at33634         -            390   2.4e-60  196.4   0.1   3   3       1.9       2.5   -1.2   0.0   354   367   436   449   420   454 0.89 -
scaffold00436:47140-48387   -            416 11504at33634         -            390   3.9e-59  192.4   0.0   1   1   3.9e-59   5.2e-59  192.0   0.0    15   324    16   352     6   381 0.79 -
scaffold00992:14474-15880   -            308 11504at33634         -            390   3.1e-58  189.5   0.0   1   2   6.8e-38   9.1e-38  122.1   0.0    16   175    41   207    36   208 0.87 -
scaffold00992:14474-15880   -            308 11504at33634         -            390   3.1e-58  189.5   0.0   2   2   5.3e-21   7.1e-21   66.5   0.0   220   316   207   307   205   308 0.90 -
scaffold00265:68165-69570   -            308 11504at33634         -            390   4.1e-58  189.1   0.0   1   2   7.6e-38     1e-37  121.9   0.0    16   174    41   206    36   208 0.87 -
scaffold00265:68165-69570   -            308 11504at33634         -            390   4.1e-58  189.1   0.0   2   2   7.9e-21   1.1e-20   65.9   0.0   220   316   207   307   206   308 0.90 -
scaffold00482:31934-33947   -            347 11504at33634         -            390   2.6e-57  186.4   0.4   1   1   1.8e-56   2.4e-56  183.2   0.4    16   320    43   345    39   347 0.87 -
scaffold00380:25035-26090   -            352 11504at33634         -            390   6.9e-56  181.7   0.1   1   2   5.6e-35   7.5e-35  112.5   0.1    29   187     1   178     1   191 0.84 -
scaffold00380:25035-26090   -            352 11504at33634         -            390   6.9e-56  181.7   0.1   2   2   4.4e-21   5.9e-21   66.7   0.0   221   326   243   351   230   352 0.87 -
scaffold00121:240-1310      -            357 11504at33634         -            390   9.1e-56  181.3   0.4   1   1   8.8e-56   1.2e-55  181.0   0.4    16   324    25   348    20   354 0.89 -
scaffold00563:27501-28571   -            357 11504at33634         -            390   9.1e-56  181.3   0.4   1   1   8.8e-56   1.2e-55  181.0   0.4    16   324    25   348    20   354 0.89 -
scaffold00020:388644-390023 -            460 11504at33634         -            390   5.9e-54  175.4   0.3   1   2   1.9e-29   2.5e-29   94.3   0.1    15   182    31   207    18   227 0.86 -
scaffold00020:388644-390023 -            460 11504at33634         -            390   5.9e-54  175.4   0.3   2   2   6.5e-25   8.8e-25   79.3   0.0   223   321   354   455   349   460 0.91 -
scaffold00090:106957-108081 -            303 11504at33634         -            390   4.1e-53  172.6   1.6   1   2   2.2e-36   2.9e-36  117.1   0.1    13   186     8   185     6   192 0.84 -
