#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
scaffold173_size409206:65219-67225     -            531 11504at33634         -            390  2.9e-164  540.6   2.0   1   2   2.1e-67   1.5e-66  218.9   0.0    11   147    83   223    74   237 0.94 -
scaffold173_size409206:65219-67225     -            531 11504at33634         -            390  2.9e-164  540.6   2.0   2   2   4.1e-98   2.9e-97  320.1   0.4   140   374   250   528   238   530 0.88 -
scaffold45_size1369571:1004178-1005674 -            499 11504at33634         -            390  4.2e-109  359.1   0.1   1   1  8.1e-110  5.7e-109  358.6   0.1    14   375    24   422    12   438 0.84 -
scaffold27_size899298:709803-711222    -            405 11504at33634         -            390   5.1e-84  276.5   0.1   1   1   9.6e-85   6.8e-84  276.1   0.1    13   325    31   360    22   367 0.91 -
scaffold183_size469198:231998-233397   -            433 11504at33634         -            390   9.8e-76  249.2   0.3   1   2   2.4e-39   1.7e-38  126.6   0.1    14   186    45   236    40   252 0.82 -
scaffold183_size469198:231998-233397   -            433 11504at33634         -            390   9.8e-76  249.2   0.3   2   2   1.9e-37   1.3e-36  120.4   0.0   196   334   276   426   260   431 0.85 -
scaffold57_size959080:532953-534309    -            428 11504at33634         -            390     8e-72  236.3   0.2   1   1   1.4e-72     1e-71  236.0   0.2    14   326    54   405    40   416 0.83 -
scaffold40_size1212554:672318-673805   -            496 11504at33634         -            390   5.1e-66  217.2   0.3   1   2   1.4e-43   9.9e-43  140.5   0.8    14   208    18   245     9   270 0.83 -
scaffold40_size1212554:672318-673805   -            496 11504at33634         -            390   5.1e-66  217.2   0.3   2   2   2.4e-23   1.7e-22   73.9   0.0   244   338   315   410   311   438 0.90 -
scaffold110_size358811:163754-166281   -            400 11504at33634         -            390   2.5e-65  214.9   0.0   1   2   7.1e-50     5e-49  161.3   0.0    15   274    24   298    20   302 0.85 -
scaffold110_size358811:163754-166281   -            400 11504at33634         -            390   2.5e-65  214.9   0.0   2   2   1.5e-16     1e-15   51.6   0.0   274   330   327   383   322   399 0.88 -
scaffold66_size693783:25514-27178      -            355 11504at33634         -            390   7.9e-63  206.7   1.1   1   2   8.9e-37   6.3e-36  118.1   0.8    13   193    31   200    22   218 0.84 -
scaffold66_size693783:25514-27178      -            355 11504at33634         -            390   7.9e-63  206.7   1.1   2   2   2.6e-25   1.8e-24   80.4   0.0   210   319   241   353   235   355 0.89 -
scaffold84_size1198557:838518-840008   -            377 11504at33634         -            390   9.5e-62  203.1   0.0   1   1   4.9e-61   3.5e-60  198.0   0.0    15   324    41   355    36   363 0.86 -
scaffold103_size603235:286554-287711   -            386 11504at33634         -            390   7.6e-60  196.9   0.0   1   1   1.3e-60   9.4e-60  196.6   0.0    17   319    58   384    48   386 0.83 -
scaffold133_size826974:809337-810721   -            429 11504at33634         -            390   3.9e-59  194.6   2.4   1   3   7.4e-28   5.2e-27   88.8   0.1    15   148     1   160     1   174 0.77 -
scaffold133_size826974:809337-810721   -            429 11504at33634         -            390   3.9e-59  194.6   2.4   2   3   4.1e-11   2.9e-10   33.7   0.1   129   192   173   246   163   263 0.81 -
scaffold133_size826974:809337-810721   -            429 11504at33634         -            390   3.9e-59  194.6   2.4   3   3   1.7e-22   1.2e-21   71.2   0.0   221   321   325   429   286   429 0.89 -
scaffold337_size148030:128077-129247   -            378 11504at33634         -            390   2.5e-57  188.6   0.1   1   2   5.3e-40   3.7e-39  128.8   0.1    15   183    23   196    16   219 0.85 -
scaffold337_size148030:128077-129247   -            378 11504at33634         -            390   2.5e-57  188.6   0.1   2   2   1.8e-18   1.3e-17   57.8   0.0   197   311   258   376   244   378 0.86 -
scaffold33_size760673:321446-322783    -            446 11504at33634         -            390     1e-56  186.6   0.0   1   1     2e-57   1.4e-56  186.1   0.0    15   327    25   366    14   387 0.78 -
scaffold652_size69762:27329-28523      -            366 11504at33634         -            390   3.3e-55  181.6   0.2   1   1   6.1e-56   4.3e-55  181.2   0.2    16   326    25   348    19   357 0.88 -
scaffold88_size628103:160921-162287    -            366 11504at33634         -            390   2.5e-54  178.7   0.5   1   1   4.7e-55   3.3e-54  178.3   0.5    16   325    25   347    20   355 0.90 -
scaffold61_size850897:90222-91339      -            352 11504at33634         -            390   7.9e-54  177.1   0.2   1   2   2.2e-35   1.5e-34  113.6   0.2    29   183     2   153     1   176 0.86 -
scaffold61_size850897:90222-91339      -            352 11504at33634         -            390   7.9e-54  177.1   0.2   2   2   2.3e-19   1.6e-18   60.8   0.0   197   325   215   347   201   350 0.85 -
scaffold178_size795848:41672-43694     -            616 11504at33634         -            390     7e-51  167.4   0.0   1   3   7.6e-26   5.3e-25   82.2   0.0    34   183    59   238    46   243 0.72 -
scaffold178_size795848:41672-43694     -            616 11504at33634         -            390     7e-51  167.4   0.0   2   3    0.0034     0.024    7.6   0.0   191   235   277   326   260   337 0.74 -
scaffold178_size795848:41672-43694     -            616 11504at33634         -            390     7e-51  167.4   0.0   3   3   4.7e-23   3.3e-22   73.0   0.0   242   334   355   452   351   465 0.90 -
scaffold182_size306869:112011-113174   -            388 11504at33634         -            390   7.5e-50  164.0   0.1   1   2   3.6e-29   2.5e-28   93.1   0.1    16   163    17   173     9   178 0.83 -
scaffold182_size306869:112011-113174   -            388 11504at33634         -            390   7.5e-50  164.0   0.1   2   2     9e-22   6.3e-21   68.8   0.0   155   326   192   379   187   387 0.74 -
