#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
WXVQ01000189_1:31429-33507 -            693 355408at2759         -            555  1.1e-183  607.6  40.9   1   2   3.3e-82     5e-80  265.4  17.4     2   240    11   274    10   283 0.89 -
WXVQ01000189_1:31429-33507 -            693 355408at2759         -            555  1.1e-183  607.6  40.9   2   2  6.7e-107    1e-104  347.0  15.6   241   554   296   679   293   680 0.84 -
WXVQ01000257_1:42742-45543 -            934 355408at2759         -            555   1.5e-32  108.7  10.8   1   4   1.3e-08     2e-06   22.5   0.1    54   245   288   477   270   487 0.80 -
WXVQ01000257_1:42742-45543 -            934 355408at2759         -            555   1.5e-32  108.7  10.8   2   4   1.3e-21   1.9e-19   65.4   1.4    53   257   521   723   516   745 0.93 -
WXVQ01000257_1:42742-45543 -            934 355408at2759         -            555   1.5e-32  108.7  10.8   3   4    0.0014      0.21    5.9   0.0    72   122   761   812   758   825 0.89 -
WXVQ01000257_1:42742-45543 -            934 355408at2759         -            555   1.5e-32  108.7  10.8   4   4   3.1e-07   4.7e-05   18.0   0.1    99   161   853   916   843   932 0.85 -
WXVQ01000192_1:46495-47583 -            363 355408at2759         -            555   8.8e-19   63.3   2.7   1   2      0.02         3    2.1   0.1   131   185    36    98    15   104 0.64 -
WXVQ01000192_1:46495-47583 -            363 355408at2759         -            555   8.8e-19   63.3   2.7   2   2   1.9e-20   2.9e-18   61.6   0.3    54   273   116   361   102   363 0.83 -
WXVQ01000151_1:5001-6167   -            389 355408at2759         -            555   9.6e-14   46.7   0.0   1   2   1.2e-07   1.7e-05   19.4   0.0   105   183    40   120     2   170 0.83 -
WXVQ01000151_1:5001-6167   -            389 355408at2759         -            555   9.6e-14   46.7   0.0   2   2     2e-09     3e-07   25.2   0.0    68   199   184   318   177   343 0.83 -
WXVQ01000014_1:83915-85090 -            392 355408at2759         -            555   6.2e-10   34.1   5.6   1   3     3e-08   4.5e-06   21.3   0.1    90   181     2    99     1   108 0.83 -
WXVQ01000014_1:83915-85090 -            392 355408at2759         -            555   6.2e-10   34.1   5.6   2   3   0.00032     0.048    8.0   0.0    83   186    68   173    62   189 0.77 -
WXVQ01000014_1:83915-85090 -            392 355408at2759         -            555   6.2e-10   34.1   5.6   3   3   2.2e-05    0.0033   11.9   0.3    87   176   267   359   249   382 0.82 -
WXVQ01000022_1:60207-60641 -            145 355408at2759         -            555     3e-06   21.9   0.0   1   1   2.3e-08   3.5e-06   21.7   0.0    67   169    20   123    16   140 0.92 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/355408at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Nitzschia_sp_Nitz4/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_013372465.1_Nitz4_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Nitzschia_sp_Nitz4/run_eukaryota_odb10/hmmer_output/initial_run_results/355408at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/355408at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Nitzschia_sp_Nitz4/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_013372465.1_Nitz4_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sat Apr 17 22:12:55 2021
# [ok]
