iscS	scaffold_1000	78.271	428	65	1	1	400	48486	49769	0.0	679
thiF	scaffold_434	36.327	245	148	4	8	244	85134	84400	5.32e-38	143
thiI	scaffold_173	31.818	66	28	2	41	106	178302	178156	0.66	35.4
dxs	scaffold_163	86.290	496	67	1	70	565	127219	128703	0.0	906
thiH	scaffold_36	38.636	44	25	2	225	268	33566	33691	5.1	32.0
thiO	scaffold_2973	27.136	398	223	11	27	363	5291	4116	6.42e-27	115
tenI	scaffold_984	29.688	128	88	2	59	184	11344	11727	6.15e-08	54.7
thiM	scaffold_2562	53.125	32	15	0	109	140	10771	10866	3.9	31.6
THI6	scaffold_984	30.055	183	112	7	9	188	11155	11664	1.91e-06	53.5
THI4	scaffold_203	41.860	43	23	1	90	132	45694	45816	0.12	37.4
thi4	scaffold_147	48.649	37	19	0	26	62	148628	148518	0.13	36.6
THI20	scaffold_412	33.571	280	136	5	24	256	40574	41404	4.19e-23	107
thiD	scaffold_412	30.124	322	147	9	20	266	40622	41578	7.04e-29	117
thiDE	scaffold_412	33.852	257	114	6	337	539	40634	41398	2.45e-26	117
thiDN	scaffold_412	37.569	181	105	2	4	177	40577	41116	3.56e-23	105
thiC	scaffold_124	79.705	611	115	4	11	617	118075	116258	0.0	990
THI5	scaffold_42	30.275	109	75	1	5	113	332609	332932	5.93e-08	57.0
thiE	scaffold_412	40.206	194	108	5	9	194	41687	42268	3.35e-29	116
thiN	scaffold_5	35.000	40	26	0	39	78	613118	613237	0.87	32.7
thiL	scaffold_294	25.225	111	69	3	148	245	88374	88703	0.86	34.3
NTPCR	scaffold_81	33.659	205	101	6	7	178	69286	69894	4.99e-21	91.7
rsgA	scaffold_570	33.621	116	54	4	170	265	46806	47144	3.56e-04	44.7
adk	scaffold_529	73.709	213	54	1	103	313	64115	63477	2.39e-95	311
THTPA	scaffold_260	34.333	300	130	12	40	281	78515	77643	9.84e-33	129
phoA	scaffold_1983	27.059	85	60	1	182	264	4781	4527	0.51	35.8
PHO	scaffold_110	30.000	50	30	1	416	465	139641	139507	10.0	31.6
ACP1	scaffold_960	32.836	67	33	3	12	75	34206	34033	2.7	30.8
TH2	scaffold_338	37.772	368	143	7	138	433	18462	17401	4.94e-62	195
thiK	scaffold_211	32.184	87	53	2	98	184	43676	43434	0.58	34.3
TPK1	scaffold_1605	27.097	310	136	11	3	266	20193	20990	9.89e-17	82.4
ylmB	scaffold_104	27.451	204	138	5	64	261	228246	228845	1.10e-08	60.1
tenA	scaffold_2416	26.415	159	104	4	52	197	7418	6942	4.73e-07	52.8
