#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JAACSZ010000810_1:10162-12096 -            645 464990at2759         -            394   1.8e-55  183.8  24.9   1   4   5.5e-08     3e-06   21.7   0.0    31    89    91   164    82   172 0.82 -
JAACSZ010000810_1:10162-12096 -            645 464990at2759         -            394   1.8e-55  183.8  24.9   2   4   1.2e-49   6.4e-48  158.9   0.1   101   294   207   431   199   458 0.84 -
JAACSZ010000810_1:10162-12096 -            645 464990at2759         -            394   1.8e-55  183.8  24.9   3   4       4.3   2.4e+02   -4.3   8.3   304   383   483   567   478   578 0.46 -
JAACSZ010000810_1:10162-12096 -            645 464990at2759         -            394   1.8e-55  183.8  24.9   4   4   1.3e-05   0.00069   13.9   3.6   348   393   598   643   589   644 0.87 -
JAACSZ010001754_1:11043-13284 -            707 464990at2759         -            394   1.2e-16   56.0   3.2   1   3      0.45        25   -1.1   0.0   255   268   205   218   196   222 0.77 -
JAACSZ010001754_1:11043-13284 -            707 464990at2759         -            394   1.2e-16   56.0   3.2   2   3   5.7e-08   3.1e-06   21.7   0.0    68   169   300   419   219   452 0.70 -
JAACSZ010001754_1:11043-13284 -            707 464990at2759         -            394   1.2e-16   56.0   3.2   3   3   6.9e-11   3.8e-09   31.3   0.3   222   358   507   657   491   678 0.67 -
JAACSZ010001285_1:1416-2531   -            372 464990at2759         -            394   1.3e-08   29.5   0.0   1   3      0.21        12    0.0   0.0   226   253    21    48     4    59 0.80 -
JAACSZ010001285_1:1416-2531   -            372 464990at2759         -            394   1.3e-08   29.5   0.0   2   3   8.1e-06   0.00044   14.6   0.0   208   255   157   204   142   211 0.89 -
JAACSZ010001285_1:1416-2531   -            372 464990at2759         -            394   1.3e-08   29.5   0.0   3   3   0.00022     0.012    9.8   0.0   215   262   243   290   228   294 0.82 -
JAACSZ010001896_1:9500-11017  -            472 464990at2759         -            394   5.7e-07   24.1   0.7   1   3   0.00072      0.04    8.1   0.1   218   269    88   147    71   154 0.83 -
JAACSZ010001896_1:9500-11017  -            472 464990at2759         -            394   5.7e-07   24.1   0.7   2   3      0.21        11    0.1   0.0   218   247   172   201   162   212 0.80 -
JAACSZ010001896_1:9500-11017  -            472 464990at2759         -            394   5.7e-07   24.1   0.7   3   3   3.8e-05    0.0021   12.4   0.0   179   250   216   288   200   308 0.87 -
JAACSZ010001059_1:14405-15439 -            345 464990at2759         -            394   1.4e-06   22.8   0.3   1   3   0.00039     0.021    9.0   0.0   222   266    11    63     5    66 0.72 -
JAACSZ010001059_1:14405-15439 -            345 464990at2759         -            394   1.4e-06   22.8   0.3   2   3      0.76        42   -1.8   0.0   228   249   110   131    94   137 0.79 -
JAACSZ010001059_1:14405-15439 -            345 464990at2759         -            394   1.4e-06   22.8   0.3   3   3   0.00014    0.0076   10.5   0.1   220   270   276   334   270   344 0.69 -
JAACSZ010001111_1:3457-3789   -            111 464990at2759         -            394   6.5e-06   20.6   0.0   1   3    0.0049      0.27    5.4   0.0   228   248    16    36    11    39 0.86 -
JAACSZ010001111_1:3457-3789   -            111 464990at2759         -            394   6.5e-06   20.6   0.0   2   3   9.9e-05    0.0055   11.0   0.0   207   248    37    78    35    81 0.87 -
JAACSZ010001111_1:3457-3789   -            111 464990at2759         -            394   6.5e-06   20.6   0.0   3   3     0.076       4.2    1.5   0.0   174   194    86   106    79   109 0.80 -
JAACSZ010001745_1:2069-5000   -            896 464990at2759         -            394     4e-05   18.0   0.5   1   5      0.51        28   -1.2   0.0    26    56   111   142    98   149 0.73 -
JAACSZ010001745_1:2069-5000   -            896 464990at2759         -            394     4e-05   18.0   0.5   2   5       1.1        59   -2.3   0.0   250   269   159   178   150   191 0.71 -
JAACSZ010001745_1:2069-5000   -            896 464990at2759         -            394     4e-05   18.0   0.5   3   5     0.019         1    3.5   0.0   222   247   397   422   391   434 0.90 -
JAACSZ010001745_1:2069-5000   -            896 464990at2759         -            394     4e-05   18.0   0.5   4   5    0.0028      0.15    6.2   0.0   204   253   504   556   491   567 0.76 -
JAACSZ010001745_1:2069-5000   -            896 464990at2759         -            394     4e-05   18.0   0.5   5   5     0.042       2.3    2.3   0.0   222   250   567   595   561   599 0.88 -
JAACSZ010001436_1:31028-32047 -            340 464990at2759         -            394   0.00018   15.9   0.0   1   5       0.8        44   -1.9   0.0   227   253    36    62    33    66 0.84 -
JAACSZ010001436_1:31028-32047 -            340 464990at2759         -            394   0.00018   15.9   0.0   2   5    0.0008     0.044    8.0   0.0   222   249    79   106    71   116 0.90 -
JAACSZ010001436_1:31028-32047 -            340 464990at2759         -            394   0.00018   15.9   0.0   3   5       0.2        11    0.1   0.0   219   247   171   199   165   233 0.66 -
JAACSZ010001436_1:31028-32047 -            340 464990at2759         -            394   0.00018   15.9   0.0   4   5     0.067       3.7    1.7   0.0    15    61   243   291   228   314 0.68 -
JAACSZ010001436_1:31028-32047 -            340 464990at2759         -            394   0.00018   15.9   0.0   5   5       1.1        62   -2.4   0.0   222   247   314   339   301   340 0.85 -
JAACSZ010000988_1:11067-13085 -            673 464990at2759         -            394   0.00024   15.4   0.0   1   3       1.5        85   -2.8   0.0   176   193   127   144   126   145 0.87 -
JAACSZ010000988_1:11067-13085 -            673 464990at2759         -            394   0.00024   15.4   0.0   2   3   0.00016    0.0088   10.3   0.0   213   270   225   290   219   315 0.80 -
JAACSZ010000988_1:11067-13085 -            673 464990at2759         -            394   0.00024   15.4   0.0   3   3     0.073         4    1.5   0.0     7    63   523   584   518   628 0.65 -
JAACSZ010001474_1:26243-27175 -            311 464990at2759         -            394   0.00058   14.2   0.0   1   4     0.022       1.2    3.3   0.0   218   251    14    48     8    63 0.81 -
JAACSZ010001474_1:26243-27175 -            311 464990at2759         -            394   0.00058   14.2   0.0   2   4       2.4   1.3e+02   -3.4   0.0   231   253    75    97    72   100 0.74 -
JAACSZ010001474_1:26243-27175 -            311 464990at2759         -            394   0.00058   14.2   0.0   3   4     0.024       1.3    3.1   0.0   255   284   124   152   114   173 0.76 -
JAACSZ010001474_1:26243-27175 -            311 464990at2759         -            394   0.00058   14.2   0.0   4   4     0.018         1    3.5   0.0   217   251   177   211   160   220 0.79 -
JAACSZ010001930_1:8556-9248   -            231 464990at2759         -            394   0.00098   13.4   0.1   1   1   0.00014    0.0078   10.5   0.1   179   253    60   140    45   170 0.68 -
JAACSZ010001035_1:12011-12772 -            254 464990at2759         -            394    0.0012   13.1   0.1   1   4    0.0076      0.42    4.8   0.0   224   249    16    41     4    50 0.84 -
JAACSZ010001035_1:12011-12772 -            254 464990at2759         -            394    0.0012   13.1   0.1   2   4      0.01      0.56    4.4   0.0   220   254    54    88    45    95 0.87 -
JAACSZ010001035_1:12011-12772 -            254 464990at2759         -            394    0.0012   13.1   0.1   3   4       0.4        22   -0.9   0.0   180   244    96   163    94   166 0.68 -
JAACSZ010001035_1:12011-12772 -            254 464990at2759         -            394    0.0012   13.1   0.1   4   4       2.2   1.2e+02   -3.4   0.0    32    44   232   244   222   253 0.64 -
JAACSZ010001111_1:3939-4571   -            211 464990at2759         -            394    0.0014   13.0   0.2   1   3     0.014      0.79    3.9   0.0   250   270    57    77    52    95 0.73 -
JAACSZ010001111_1:3939-4571   -            211 464990at2759         -            394    0.0014   13.0   0.2   2   3    0.0026      0.14    6.3   0.1    14    59    87   134    77   174 0.58 -
JAACSZ010001111_1:3939-4571   -            211 464990at2759         -            394    0.0014   13.0   0.2   3   3      0.36        20   -0.7   0.0   217   244   184   211   178   211 0.76 -
JAACSZ010000879_1:8582-11706  -           1013 464990at2759         -            394    0.0026   12.1   0.0   1   3     0.027       1.5    3.0   0.0   219   248   182   211   178   218 0.84 -
JAACSZ010000879_1:8582-11706  -           1013 464990at2759         -            394    0.0026   12.1   0.0   2   3     0.064       3.6    1.7   0.0     8   249   505   555   492   573 0.54 -
JAACSZ010000879_1:8582-11706  -           1013 464990at2759         -            394    0.0026   12.1   0.0   3   3     0.033       1.8    2.7   0.0   203   255   751   803   743   809 0.91 -
JAACSZ010001227_1:9288-9902   -            205 464990at2759         -            394    0.0054   11.0   0.0   1   3      0.13       7.3    0.7   0.0    30    55    21    48     7    59 0.66 -
JAACSZ010001227_1:9288-9902   -            205 464990at2759         -            394    0.0054   11.0   0.0   2   3    0.0025      0.14    6.4   0.0   223   273    73   119    66   154 0.76 -
JAACSZ010001227_1:9288-9902   -            205 464990at2759         -            394    0.0054   11.0   0.0   3   3      0.77        43   -1.8   0.0   223   246   168   191   161   193 0.84 -
JAACSZ010000237_1:14610-15044 -            145 464990at2759         -            394    0.0084   10.4   0.0   1   2    0.0021      0.11    6.6   0.0   219   252    58    91     5   104 0.82 -
JAACSZ010000237_1:14610-15044 -            145 464990at2759         -            394    0.0084   10.4   0.0   2   2     0.058       3.2    1.9   0.0   218   251   104   138    94   144 0.71 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/464990at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Bacillariophyta_sp_ASM1036716v1/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_010367165.1_ASM1036716v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Bacillariophyta_sp_ASM1036716v1/run_eukaryota_odb10/hmmer_output/initial_run_results/464990at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/464990at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Bacillariophyta_sp_ASM1036716v1/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_010367165.1_ASM1036716v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Mon Apr 19 13:26:38 2021
# [ok]
