# BUSCO version is: 5.1.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	Sro_contig1830	10248	17827	-	1685.2	1381
83779at2759	Complete	Sro_contig91	27765	29222	+	183.0	204
87842at2759	Complete	Sro_contig1179	31040	34974	-	189.6	448
97116at2759	Complete	Sro_contig105	27555	31253	-	718.3	902
100698at2759	Duplicated	Sro_contig251	81988	84362	+	634.6	487
100698at2759	Duplicated	Sro_contig2184	14784	17169	-	697.8	502
142542at2759	Missing
156083at2759	Complete	Sro_contig281	4164	11663	-	3418.7	1925
160593at2759	Complete	Sro_contig1073	28426	33315	-	1021.2	979
166920at2759	Complete	Sro_contig359	49438	53183	+	418.3	625
176625at2759	Complete	Sro_contig679	5867	9994	-	157.8	316
179362at2759	Complete	Sro_contig536	40757	45670	-	531.6	1067
245208at2759	Complete	Sro_contig182	20427	23864	-	1381.7	818
257318at2759	Complete	Sro_contig37	85977	87665	+	224.5	318
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	Sro_contig26	72142	75192	-	556.0	518
293315at2759	Complete	Sro_contig49	97932	102825	-	466.8	562
296129at2759	Complete	Sro_contig2015	4363	7890	-	870.2	706
299766at2759	Complete	Sro_contig142	6707	10962	+	335.3	413
306227at2759	Complete	Sro_contig864	16180	18321	-	436.5	507
320059at2759	Complete	Sro_contig801	30626	32239	+	798.2	450
324863at2759	Complete	Sro_contig1232	15250	18813	+	456.0	480
325552at2759	Missing
330169at2759	Complete	Sro_contig101	94041	95744	+	236.4	326
331411at2759	Missing
341721at2759	Complete	Sro_contig1310	24110	25855	+	228.0	366
345441at2759	Complete	Sro_contig24	57492	59553	-	292.4	326
355408at2759	Complete	Sro_contig472	24784	26937	+	524.3	549
369837at2759	Complete	Sro_contig125	55307	57736	+	211.1	323
375960at2759	Complete	Sro_contig1993	6606	8279	-	189.8	307
383503at2759	Complete	Sro_contig940	6162	8273	+	227.5	330
388820at2759	Missing
390348at2759	Complete	Sro_contig552	43508	46725	-	1086.7	695
392369at2759	Complete	Sro_contig230	42443	44230	-	371.2	348
396755at2759	Complete	Sro_contig383	31226	34881	+	194.0	459
418107at2759	Complete	Sro_contig2616	5686	7077	-	378.5	412
426305at2759	Complete	Sro_contig868	37497	40088	-	277.4	522
450058at2759	Missing
453044at2759	Complete	Sro_contig61	87571	89025	-	239.4	332
457861at2759	Missing
464990at2759	Missing
491869at2759	Complete	Sro_contig2247	3582	5354	+	168.5	267
513979at2759	Complete	Sro_contig92	15676	17812	+	144.1	221
543764at2759	Complete	Sro_contig371	11809	13353	+	192.0	211
549762at2759	Complete	Sro_contig758	9356	11218	+	394.0	386
551907at2759	Complete	Sro_contig381	61564	63766	+	194.5	336
570797at2759	Complete	Sro_contig810	43327	45285	+	392.1	464
582756at2759	Complete	Sro_contig181	2883	4226	-	175.9	334
598949at2759	Complete	Sro_contig151	22815	25808	-	294.8	353
604979at2759	Complete	Sro_contig2445:1741-12660	1741	3258	-	363.2	262
621827at2759	Missing
625387at2759	Complete	Sro_contig616	10978	15431	-	122.9	278
655400at2759	Complete	Sro_contig1224	18047	19459	-	144.6	226
664730at2759	Complete	Sro_contig19	168688	170217	+	589.6	343
671536at2759	Complete	Sro_contig151	65345	67039	+	393.5	374
671846at2759	Missing
673132at2759	Complete	Sro_contig197	26850	28243	+	256.4	290
674160at2759	Complete	Sro_contig215	7214	16335	-	366.7	800
674169at2759	Complete	Sro_contig26	12630	14096	+	114.9	216
679187at2759	Missing
679771at2759	Complete	Sro_contig1618	9613	11048	+	66.3	157
687505at2759	Duplicated	Sro_contig43	16311	17505	+	143.6	238
687505at2759	Duplicated	Sro_contig922	3100	4259	-	145.7	248
692986at2759	Complete	Sro_contig346	9457	11909	-	101.2	295
708105at2759	Missing
719531at2759	Complete	Sro_contig452	43223	44732	-	340.2	282
720340at2759	Complete	Sro_contig312	22709	24214	-	85.1	131
721605at2759	Complete	Sro_contig459	55912	57293	-	190.3	267
722805at2759	Missing
734341at2759	Complete	Sro_contig604	38119	39281	+	88.4	177
734666at2759	Complete	Sro_contig84	65056	66552	+	284.7	326
736068at2759	Complete	Sro_contig635	50075	51433	-	177.4	308
751335at2759	Duplicated	Sro_contig556	45130	46791	-	131.0	199
751335at2759	Duplicated	Sro_contig174	71556	73266	+	139.1	209
759498at2759	Fragmented	Sro_contig345	72562	74652	-	270.1	293
761109at2759	Complete	Sro_contig40	75619	77722	+	348.3	381
768809at2759	Complete	Sro_contig4	75114	76421	-	189.4	253
774318at2759	Complete	Sro_contig509	39727	41124	-	258.9	283
777920at2759	Complete	Sro_contig810	33401	35636	-	346.7	337
779909at2759	Complete	Sro_contig652	28776	30446	-	182.4	198
801857at2759	Complete	Sro_contig1543	17186	18403	+	174.3	191
814241at2759	Complete	Sro_contig392	39547	40998	+	190.7	317
817008at2759	Complete	Sro_contig177	14172	16241	+	407.1	297
834694at2759	Complete	Sro_contig557	50058	51901	-	360.2	340
836599at2759	Complete	Sro_contig229	52140	53729	-	320.6	265
844748at2759	Complete	Sro_contig440	43756	45333	+	82.6	273
855834at2759	Complete	Sro_contig925	9864	11935	-	105.4	290
858842at2759	Complete	Sro_contig853	16253	17563	+	204.8	221
865202at2759	Complete	Sro_contig176	12260	13273	+	194.9	207
866359at2759	Missing
869548at2759	Complete	Sro_contig1083	24143	24868	+	185.0	180
878143at2759	Complete	Sro_contig1157	24040	25641	+	350.4	311
887370at2759	Fragmented	Sro_contig15	128384	130021	-	63.9	81
891751at2759	Complete	Sro_contig631	15407	17218	+	186.4	199
898782at2759	Complete	Sro_contig2890	1257	2879	-	223.4	261
901894at2759	Complete	Sro_contig13	10053	11936	-	115.0	286
905026at2759	Duplicated	Sro_contig4	59636	61876	-	210.4	374
905026at2759	Duplicated	Sro_contig434	43440	45685	-	211.0	360
911863at2759	Fragmented	Sro_contig1973	6485	6906	-	25.7	44
917326at2759	Complete	Sro_contig2276	4261	6366	-	318.8	353
918816at2759	Complete	Sro_contig1514	8092	9660	-	92.5	207
919955at2759	Complete	Sro_contig792	21974	23185	+	140.1	244
923657at2759	Complete	Sro_contig1325	13180	14157	+	72.7	148
924753at2759	Complete	Sro_contig1860	17821	19675	-	167.2	205
931188at2759	Complete	Sro_contig31	81677	83517	-	335.9	363
937275at2759	Missing
937686at2759	Complete	Sro_contig208	67867	69400	+	254.1	338
939345at2759	Complete	Sro_contig665	32842	33903	+	75.9	112
944899at2759	Complete	Sro_contig1263	28081	29163	-	344.6	257
946128at2759	Complete	Sro_contig169	15657	17774	-	160.1	399
956854at2759	Complete	Sro_contig139	4958	5863	-	101.8	167
973442at2759	Complete	Sro_contig1996	2797	4021	-	50.3	131
974865at2759	Complete	Sro_contig545	31288	32431	-	147.3	222
975158at2759	Missing
975557at2759	Complete	Sro_contig152	60178	62655	+	413.8	513
976469at2759	Complete	Sro_contig1601	22973	23935	+	137.6	228
981902at2759	Complete	Sro_contig2839	7309	8715	+	110.1	227
996662at2759	Missing
1001705at2759	Complete	Sro_contig801	6057	8045	-	103.3	216
1003258at2759	Complete	Sro_contig274	30124	31488	+	174.2	275
1010730at2759	Complete	Sro_contig586	19616	21385	+	305.6	258
1014314at2759	Missing
1018517at2759	Complete	Sro_contig2464	4603	5445	+	260.5	210
1019762at2759	Complete	Sro_contig275	17070	18770	-	76.9	345
1025450at2759	Duplicated	Sro_contig77	85573	87084	-	130.5	317
1025450at2759	Duplicated	Sro_contig2049	5079	6431	+	149.6	300
1030907at2759	Complete	Sro_contig237	43212	44333	-	70.7	207
1032689at2759	Complete	Sro_contig362	12668	14137	-	138.6	149
1038775at2759	Complete	Sro_contig909	30567	31475	+	130.8	189
1041560at2759	Fragmented	Sro_contig2516	7310	8393	-	86.6	161
1049599at2759	Missing
1051021at2759	Complete	Sro_contig98	48650	50698	+	265.7	294
1053181at2759	Missing
1057950at2759	Complete	Sro_contig588	46863	47804	-	210.8	227
1065019at2759	Duplicated	Sro_contig83	51633	52853	-	284.9	233
1065019at2759	Duplicated	Sro_contig274	24766	25983	-	287.7	231
1076134at2759	Fragmented	Sro_contig2974	778	1413	+	71.4	151
1079130at2759	Complete	Sro_contig2065	5848	7304	+	315.7	268
1079827at2759	Complete	Sro_contig1010	30224	31003	+	332.3	218
1085752at2759	Complete	Sro_contig73	47861	48937	+	86.1	190
1087488at2759	Missing
1090038at2759	Fragmented	Sro_contig851	26901	27545	-	56.8	79
1094121at2759	Complete	Sro_contig353	71875	72490	-	111.2	130
1096688at2759	Complete	Sro_contig323	29785	30951	-	292.0	219
1106766at2759	Complete	Sro_contig295	37715	39154	+	89.9	197
1107630at2759	Missing
1108845at2759	Complete	Sro_contig80	89136	90774	+	292.7	324
1111142at2759	Missing
1112002at2759	Complete	Sro_contig1027	233	3388	+	351.1	566
1115196at2759	Complete	Sro_contig87	101881	102969	-	376.7	283
1128607at2759	Complete	Sro_contig164	1185	2363	-	323.5	248
1129824at2759	Complete	Sro_contig1323	21027	21695	-	77.7	133
1138059at2759	Complete	Sro_contig2	234525	235551	-	242.6	211
1157302at2759	Complete	Sro_contig245	46987	47836	-	338.9	202
1161199at2759	Complete	Sro_contig31	61708	62737	-	51.1	157
1173229at2759	Complete	Sro_contig3376	2096	3559	+	97.1	198
1178688at2759	Complete	Sro_contig1247	3137	3697	+	69.0	135
1182451at2759	Complete	Sro_contig691	13437	14753	-	125.6	166
1193442at2759	Complete	Sro_contig120	35848	37283	+	305.5	255
1194691at2759	Complete	Sro_contig2134	15229	16583	-	248.4	274
1194797at2759	Complete	Sro_contig948	13799	16023	-	314.0	398
1197019at2759	Complete	Sro_contig3109	5516	6306	-	163.5	157
1200489at2759	Duplicated	Sro_contig313	7592	8191	+	63.6	102
1200489at2759	Duplicated	Sro_contig542	10005	10604	-	66.4	102
1217666at2759	Complete	Sro_contig708	15651	16415	-	185.9	187
1220881at2759	Complete	Sro_contig2061	15773	16885	+	59.7	146
1222562at2759	Complete	Sro_contig150	46377	47282	-	142.8	115
1223488at2759	Complete	Sro_contig1088	18073	18690	+	34.7	76
1228942at2759	Complete	Sro_contig43	48167	48835	-	186.6	162
1233814at2759	Complete	Sro_contig191	77766	78449	+	144.2	154
1236198at2759	Complete	Sro_contig518	15379	16303	+	126.1	114
1247641at2759	Complete	Sro_contig730	33892	35385	+	98.9	186
1248958at2759	Complete	Sro_contig1679	13564	16632	+	513.7	617
1249159at2759	Complete	Sro_contig25	124525	125169	-	63.5	137
1251252at2759	Fragmented	Sro_contig1881	13573	17526	-	24.4	48
1257440at2759	Complete	Sro_contig1099	31166	31878	-	123.6	138
