#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JAACPG010002894_1:1423-2538  -            372 1001705at2759        -            270   5.7e-18   60.2   4.5   1   5     0.045      0.73    4.1   0.0    29    48    26    45    15    57 0.75 -
JAACPG010002894_1:1423-2538  -            372 1001705at2759        -            270   5.7e-18   60.2   4.5   2   5     0.026      0.43    4.8   0.2    52    82    87   118    83   127 0.84 -
JAACPG010002894_1:1423-2538  -            372 1001705at2759        -            270   5.7e-18   60.2   4.5   3   5   1.1e-10   1.7e-09   32.4   0.1    20    85   129   203   123   234 0.80 -
JAACPG010002894_1:1423-2538  -            372 1001705at2759        -            270   5.7e-18   60.2   4.5   4   5   0.00074     0.012    9.9   0.0    48    88   244   285   232   306 0.63 -
JAACPG010002894_1:1423-2538  -            372 1001705at2759        -            270   5.7e-18   60.2   4.5   5   5    0.0092      0.15    6.3   0.0    24    52   307   335   302   344 0.90 -
JAACPG010000755_1:9669-10688 -            340 1001705at2759        -            270   2.1e-15   51.8   5.2   1   4   7.9e-08   1.3e-06   22.9   0.0    27   171    38   195    28   211 0.59 -
JAACPG010000755_1:9669-10688 -            340 1001705at2759        -            270   2.1e-15   51.8   5.2   2   4   7.5e-06   0.00012   16.5   0.0    50    85   213   249   202   265 0.85 -
JAACPG010000755_1:9669-10688 -            340 1001705at2759        -            270   2.1e-15   51.8   5.2   3   4      0.63        10    0.3   0.0    29    46   268   285   257   296 0.65 -
JAACPG010000755_1:9669-10688 -            340 1001705at2759        -            270   2.1e-15   51.8   5.2   4   4    0.0016     0.027    8.8   0.2    48    78   308   339   303   340 0.85 -
JAACPG010002008_1:1760-2521  -            254 1001705at2759        -            270   9.2e-10   33.3   1.4   1   4     0.034      0.56    4.5   0.0    57    84    17    45     4    51 0.82 -
JAACPG010002008_1:1760-2521  -            254 1001705at2759        -            270   9.2e-10   33.3   1.4   2   4    0.0001    0.0016   12.8   0.0   143   192    49    98    42   101 0.89 -
JAACPG010002008_1:1760-2521  -            254 1001705at2759        -            270   9.2e-10   33.3   1.4   3   4   0.00018    0.0029   12.0   0.1    26    81   104   169    95   224 0.75 -
JAACPG010002008_1:1760-2521  -            254 1001705at2759        -            270   9.2e-10   33.3   1.4   4   4      0.24       3.8    1.7   0.0    26    43   237   254   213   254 0.76 -
JAACPG010000484_1:1398-2915  -            472 1001705at2759        -            270   1.3e-09   32.8  14.3   1   7   0.00073     0.012    9.9   0.0    47    77    85   116    79   128 0.83 -
JAACPG010000484_1:1398-2915  -            472 1001705at2759        -            270   1.3e-09   32.8  14.3   2   7     0.012      0.19    6.0   0.1    33    75   105   156   105   168 0.73 -
