iscS	KV784373_1	79.810	421	63	1	1	399	835884	837146	0.0	679
thiF	KV784375_1	41.395	215	120	4	8	218	694865	694227	9.99e-40	147
thiI	KV784450_1	32.075	53	36	0	105	157	198404	198562	2.3	32.3
dxs	KV784356_1	85.510	490	70	1	76	565	597731	596265	0.0	890
thiH	KV784354_1	43.750	32	18	0	122	153	525563	525468	0.61	33.5
thiO	KV784364_1	27.733	375	210	11	27	346	945496	946602	3.42e-27	114
thiG	KV784353_1	30.137	73	46	2	108	178	964964	965173	5.8	29.6
tenI	KV784354_1	32.979	94	59	3	95	184	1272647	1272928	5.07e-04	41.6
THI6	KV784354_1	27.500	200	119	7	38	229	1272419	1272964	7.36e-05	47.0
THI4	KV784359_1	45.000	40	20	1	93	132	1133223	1133336	0.20	35.0
thi4	KV784353_1	51.613	31	15	0	31	61	676570	676478	0.009	38.9
THI20	KV784354_1	32.374	278	140	4	24	256	1271189	1272013	2.81e-23	106
thiD	KV784354_1	32.422	256	119	7	19	221	1271234	1271998	3.54e-27	111
thiDE	KV784354_1	32.819	259	120	7	342	548	1271264	1272034	3.41e-25	112
thiDN	KV784354_1	38.333	180	104	2	4	177	1271192	1271728	4.10e-25	110
thiC	KV784358_1	79.798	594	109	5	30	617	1064906	1063140	0.0	941
THI5	KV784364_1	29.464	112	78	1	2	113	884757	884425	4.71e-08	55.8
thiE	KV784354_1	38.421	190	105	6	15	194	1272365	1272928	1.15e-25	105
thiN	KV784396_1	40.625	32	19	0	52	83	278239	278144	5.2	28.9
thiL	KV784419_1	50.000	24	12	0	285	308	139012	139083	3.0	31.2
NTPCR	KV784401_1	54.167	24	11	0	3	26	71704	71633	0.13	33.9
rsgA	KV784354_1	27.692	195	95	7	142	298	3430710	3431270	1.72e-06	50.8
adk	KV784363_1	73.913	207	52	1	103	307	916165	915545	2.76e-95	310
THTPA	KV784358_1	28.000	325	142	10	42	277	2551273	2552238	2.29e-23	100
phoA	KV784360_1	33.750	80	49	2	118	196	696342	696572	0.001	42.7
PHO5_11_12	KV784459_1	23.741	139	89	4	335	465	8556	8167	1.5	32.7
ACP1	KV784360_1	31.915	47	31	1	68	114	1651172	1651035	0.98	30.8
TH2	KV784376_1	100.000	440	0	0	1	440	198981	197662	0.0	684
thiK	KV784385_1	25.806	62	35	2	207	258	227588	227770	4.3	30.0
TPK1	KV784358_1	26.846	298	158	11	6	266	997844	998668	2.64e-20	91.7
ylmB	KV784355_1	22.449	245	158	5	5	239	2400127	2400795	1.20e-06	52.4
tenA	KV784395_1	24.242	165	107	5	52	198	260062	260556	6.36e-09	57.0
E2.5.1.2	KV784356_1	42.105	38	20	1	3	38	3166424	3166311	3.0	31.6
