#                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QAXB01013983_1:11-1814  -            546 464990at2759         -            394   1.6e-17   58.7   0.2   1   3      0.22        22   -1.0   0.0   256   268   138   150   133   157 0.80 -
QAXB01013983_1:11-1814  -            546 464990at2759         -            394   1.6e-17   58.7   0.2   2   3   8.6e-11   8.6e-09   29.9   0.0    68   200   235   391   156   421 0.78 -
QAXB01013983_1:11-1814  -            546 464990at2759         -            394   1.6e-17   58.7   0.2   3   3   1.1e-08   1.1e-06   23.0   0.0   215   302   434   540   416   543 0.79 -
QAXB01027623_1:134-289  -             52 464990at2759         -            394   1.8e-12   42.1   0.0   1   1   1.9e-14   1.9e-12   42.0   0.0   247   292     5    50     2    52 0.93 -
QAXB01049101_1:465-1550 -            362 464990at2759         -            394   5.5e-09   30.6   6.0   1   7     0.048       4.8    1.2   0.0   256   301    18    58     8    67 0.69 -
QAXB01049101_1:465-1550 -            362 464990at2759         -            394   5.5e-09   30.6   6.0   2   7    0.0017      0.17    6.0   0.0   248   270    66    88    60   106 0.72 -
QAXB01049101_1:465-1550 -            362 464990at2759         -            394   5.5e-09   30.6   6.0   3   7    0.0095      0.94    3.5   0.0   172   189   106   123    99   126 0.81 -
QAXB01049101_1:465-1550 -            362 464990at2759         -            394   5.5e-09   30.6   6.0   4   7    0.0069      0.69    3.9   0.0   216   251   194   229   155   252 0.81 -
QAXB01049101_1:465-1550 -            362 464990at2759         -            394   5.5e-09   30.6   6.0   5   7    0.0013      0.13    6.3   0.0   182   247   201   278   198   282 0.75 -
QAXB01049101_1:465-1550 -            362 464990at2759         -            394   5.5e-09   30.6   6.0   6   7   0.00026     0.025    8.6   0.0   209   248   282   321   279   329 0.84 -
QAXB01049101_1:465-1550 -            362 464990at2759         -            394   5.5e-09   30.6   6.0   7   7       0.2        20   -0.9   0.0   174   194   329   349   324   352 0.78 -
QAXB01033943_1:595-1452 -            286 464990at2759         -            394   0.00015   16.0   1.5   1   4     0.011       1.1    3.3   0.0   225   252     7    34     3    39 0.86 -
QAXB01033943_1:595-1452 -            286 464990at2759         -            394   0.00015   16.0   1.5   2   4     0.005       0.5    4.4   0.0   213   254    37    78    30    85 0.84 -
QAXB01033943_1:595-1452 -            286 464990at2759         -            394   0.00015   16.0   1.5   3   4      0.12        12   -0.2   0.0   180   245    86   154    81   157 0.76 -
QAXB01033943_1:595-1452 -            286 464990at2759         -            394   0.00015   16.0   1.5   4   4    0.0046      0.46    4.5   0.0   220   250   218   248   212   274 0.88 -
QAXB01034028_1:168-671  -            168 464990at2759         -            394    0.0016   12.5   0.5   1   2    0.0047      0.47    4.5   0.0   221   249    52    80     7   126 0.57 -
QAXB01034028_1:168-671  -            168 464990at2759         -            394    0.0016   12.5   0.5   2   2    0.0018      0.18    5.8   0.3   221   271    93   156    70   167 0.54 -
QAXB01047606_1:3-548    -            182 464990at2759         -            394    0.0021   12.2   0.0   1   2     4e-05     0.004   11.3   0.0   219   269     2    59     1    64 0.75 -
QAXB01047606_1:3-548    -            182 464990at2759         -            394    0.0021   12.2   0.0   2   2     0.019       1.9    2.5   0.0    23    46    38    61    32    93 0.72 -
QAXB01029884_1:3-416    -            138 464990at2759         -            394    0.0038   11.3   0.0   1   2   9.2e-05    0.0091   10.1   0.0   218   245    88   115    83   119 0.90 -
QAXB01029884_1:3-416    -            138 464990at2759         -            394    0.0038   11.3   0.0   2   2      0.72        71   -2.7   0.0   175   185   128   138   120   138 0.77 -
QAXB01025377_1:5-1001   -            289 464990at2759         -            394     0.004   11.3   0.0   1   2    0.0028      0.28    5.2   0.0   217   269    11    61     4    69 0.87 -
QAXB01025377_1:5-1001   -            289 464990at2759         -            394     0.004   11.3   0.0   2   2    0.0071      0.71    3.9   0.0   222   257   180   215   166   246 0.76 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/464990at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Halamphora_sp_MG8b/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_004335815.1_ASM433581v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Halamphora_sp_MG8b/run_eukaryota_odb10/hmmer_output/initial_run_results/464990at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/464990at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Halamphora_sp_MG8b/run_eukaryota_odb10/metaeuk_output/initial_results/GCA_004335815.1_ASM433581v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Sun Apr 18 05:28:31 2021
# [ok]
