iscS	OLMU01004083_1	82.461	382	67	0	18	399	2202	1057	0.0	641
thiF	OLMU01003076_1	34.568	243	148	4	5	236	6515	5787	2.37e-31	121
thiI	OLMU01001909_1	37.288	59	33	2	214	269	3739	3566	3.0	30.4
dxs	OLMU01004926_1	79.932	588	79	3	15	565	12004	13761	0.0	947
thiH	OLMU01001980_1	40.278	72	32	4	170	236	6155	6352	0.22	33.5
thiO	OLMU01001464_1	28.075	374	221	12	32	363	991	2094	8.21e-31	123
thiG	OLMU01005533_1	50.196	255	119	3	2	248	796	1560	7.01e-72	238
tenI	OLMU01005067_1	36.000	100	62	2	95	192	304	5	4.21e-09	55.1
thiM	OLMU01007385_1	34.694	49	32	0	99	147	388	534	0.63	30.8
THI6	OLMU01005067_1	26.923	104	73	1	38	141	517	215	7.03e-06	48.5
THI4	OLMU01001921_1	29.474	95	67	0	66	160	1132	1416	0.002	39.7
thi4	OLMU01002274_1	46.341	41	18	1	26	62	1314	1192	0.001	40.0
THI20	OLMU01005068_1	31.518	257	161	6	40	295	1499	771	7.24e-27	115
thiD	OLMU01005068_1	51.145	262	127	1	5	266	1544	762	1.05e-66	221
thiDE	OLMU01005068_1	39.256	242	143	4	337	578	1487	774	4.63e-39	152
thiDN	OLMU01005068_1	44.286	210	117	0	5	214	1541	912	4.26e-38	147
thiC	OLMU01001378_1	47.222	36	19	0	563	598	4691	4584	0.74	32.7
THI5	OLMU01005660_1	22.545	275	169	16	2	259	2706	1963	9.80e-07	50.4
thiE	OLMU01005067_1	43.182	176	100	0	15	190	568	41	1.17e-41	147
thiN	OLMU01000607_1	29.412	85	47	2	17	88	14996	15250	0.15	32.3
thiL	OLMU01001862_1	30.081	123	69	6	200	318	3722	3393	0.37	32.3
NTPCR	OLMU01002012_1	50.000	24	12	0	1	24	6453	6382	0.058	33.5
rsgA	OLMU01001891_1	30.508	236	144	7	53	277	1428	2108	5.69e-14	72.0
adk	OLMU01000439_1	62.245	196	41	1	150	312	2	589	4.17e-75	238
THTPA	OLMU01007021_1	35.838	173	96	5	106	276	1	480	1.20e-23	96.7
PHO	OLMU01000869_1	41.176	34	20	0	274	307	18181	18282	1.6	31.2
PHO5_11_12	OLMU01005237_1	27.273	77	53	2	246	321	302	78	3.6	30.0
ACP1	OLMU01005051_1	29.524	105	58	5	1	98	2196	1909	0.009	35.4
TH2	OLMU01003339_1	33.962	53	27	2	229	278	6425	6282	5.6	29.3
thiK	OLMU01005255_1	23.636	110	75	2	66	166	490	161	5.9	28.1
TPK1	OLMU01000581_1	28.374	289	143	11	4	266	8882	8130	5.38e-20	89.4
TENA_E	OLMU01003012_1	41.026	39	21	1	2	40	13845	13955	1.4	29.3
ylmB	OLMU01004997_1	27.314	443	278	13	2	420	1056	2324	3.55e-33	132
tenA	OLMU01003438_1	27.419	124	85	3	52	171	25057	24689	7.77e-06	46.2
E2.5.1.2	OLMU01003725_1	52.381	21	10	0	107	127	3391	3453	0.59	32.7
