#                                                                                   --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name               accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#       ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
JAAFKC010003772_1:1827-3176 -            450 8142at33634          -            239   6.9e-59  194.4   0.7   1   3     2e-43   2.9e-41  136.7   0.3     8   130     5   160     1   165 0.79 -
JAAFKC010003772_1:1827-3176 -            450 8142at33634          -            239   6.9e-59  194.4   0.7   2   3   6.8e-13     1e-10   36.8   0.0   125   224   189   319   174   332 0.73 -
JAAFKC010003772_1:1827-3176 -            450 8142at33634          -            239   6.9e-59  194.4   0.7   3   3   5.5e-05    0.0081   10.9   0.1   203   231   343   373   328   380 0.79 -
JAAFKC010005897_1:1-987     -            329 8142at33634          -            239   9.4e-30   99.0   0.3   1   3   1.4e-15     2e-13   45.6   0.1    94   130     1    39     1    44 0.93 -
JAAFKC010005897_1:1-987     -            329 8142at33634          -            239   9.4e-30   99.0   0.3   2   3   3.5e-13   5.1e-11   37.7   0.0   125   224    68   198    54   213 0.74 -
JAAFKC010005897_1:1-987     -            329 8142at33634          -            239   9.4e-30   99.0   0.3   3   3   3.9e-05    0.0058   11.3   0.1   203   231   222   252   213   259 0.78 -
JAAFKC010002043_1:2982-3869 -            296 8142at33634          -            239   1.3e-19   65.9   0.2   1   2   1.1e-18   1.6e-16   55.7   0.0     7   140     6   154     3   162 0.78 -
JAAFKC010002043_1:2982-3869 -            296 8142at33634          -            239   1.3e-19   65.9   0.2   2   2    0.0042      0.62    4.7   0.0   166   193   230   259   189   294 0.65 -
JAAFKC010005169_1:373-1260  -            296 8142at33634          -            239   1.3e-19   65.9   0.2   1   2   1.1e-18   1.6e-16   55.7   0.0     7   140     6   154     3   162 0.78 -
JAAFKC010005169_1:373-1260  -            296 8142at33634          -            239   1.3e-19   65.9   0.2   2   2    0.0042      0.62    4.7   0.0   166   193   230   259   189   294 0.65 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/8142at33634.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Bacillariophyta_sp_ASM1329908v1/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_013299085.1_ASM1329908v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Bacillariophyta_sp_ASM1329908v1/run_stramenopiles_odb10/hmmer_output/initial_run_results/8142at33634.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/stramenopiles_odb10/hmms/8142at33634.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO/Bacillariophyta_sp_ASM1329908v1/run_stramenopiles_odb10/metaeuk_output/initial_results/GCA_013299085.1_ASM1329908v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Fri Apr 16 17:35:01 2021
# [ok]
