ThiC	scaffold_4249	73.869	199	48	2	73	271	6937	7521	2.90e-92	308
Thi5	scaffold_10256	35.593	59	36	1	228	286	2708	2878	1.3	33.1
Thi5-like	scaffold_111697	39.535	43	23	1	11	53	9	128	0.50	31.2
SSSP	scaffold_4214	38.462	143	56	2	155	265	7310	7738	2.46e-75	99.0
TH1	scaffold_10691	52.852	263	116	4	325	579	4412	3624	3.27e-140	266
THIO	scaffold_4408	50.892	729	305	14	91	786	13847	15973	0.0	605
THIS	scaffold_24273	28.814	59	41	1	3	60	257	433	0.86	28.9
THIF	scaffold_8901	54.959	242	91	2	52	275	200	925	5.55e-72	249
DXS	scaffold_5316	82.718	515	88	1	54	568	11337	12878	0.0	914
THIG	scaffold_103170	95.238	21	1	0	113	133	2	64	5.06e-07	47.4
TPK1	scaffold_14726	47.887	142	60	4	121	248	636	1061	1.29e-32	127
FOLR	scaffold_31949	27.481	131	66	5	44	160	36	383	0.015	37.7
ThiM	scaffold_24165	30.769	78	46	2	1	78	263	54	1.1	32.3
TENA	scaffold_3942	57.371	251	80	2	3	226	41335	40583	7.22e-93	299
