#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
OLMU01005414_1:1528-3769  -            688 4406at33634          -            435  2.1e-148  489.0  14.7   1   3   3.3e-28   7.1e-27   88.5   0.1     1   108    31   166    31   180 0.81 -
OLMU01005414_1:1528-3769  -            688 4406at33634          -            435  2.1e-148  489.0  14.7   2   3     3e-39   6.4e-38  124.9   2.9   101   230   183   359   166   366 0.81 -
OLMU01005414_1:1528-3769  -            688 4406at33634          -            435  2.1e-148  489.0  14.7   3   3   4.7e-86     1e-84  279.1   1.1   223   435   475   688   441   688 0.85 -
OLMU01003259_1:5249-6034  -            262 4406at33634          -            435   1.3e-16   54.7   0.9   1   3   4.9e-06    0.0001   15.5   0.1   349   432     7    80     3    83 0.75 -
OLMU01003259_1:5249-6034  -            262 4406at33634          -            435   1.3e-16   54.7   0.9   2   3   7.2e-07   1.5e-05   18.2   0.2   347   432    47   122    40   125 0.63 -
OLMU01003259_1:5249-6034  -            262 4406at33634          -            435   1.3e-16   54.7   0.9   3   3   0.00062     0.013    8.5   0.0   344   377   217   250   207   254 0.91 -
OLMU01003597_1:4573-5334  -            254 4406at33634          -            435   2.4e-08   27.4   2.6   1   3   2.7e-05   0.00057   13.0   0.0   300   358     1    58     1    68 0.88 -
OLMU01003597_1:4573-5334  -            254 4406at33634          -            435   2.4e-08   27.4   2.6   2   3     0.035      0.74    2.8   0.1   281   358   101   178    86   189 0.74 -
OLMU01003597_1:4573-5334  -            254 4406at33634          -            435   2.4e-08   27.4   2.6   3   3   0.00021    0.0046   10.1   0.1   287   332   207   252   191   254 0.76 -
OLMU01000643_1:2210-2956  -            249 4406at33634          -            435   9.8e-08   25.4   0.0   1   2   1.2e-07   2.6e-06   20.8   0.0   345   382     6    43     2    48 0.92 -
OLMU01000643_1:2210-2956  -            249 4406at33634          -            435   9.8e-08   25.4   0.0   2   2      0.04      0.85    2.6   0.0   203   260   149   208   120   216 0.76 -
OLMU01003908_1:3424-4164  -            247 4406at33634          -            435   1.6e-05   18.2   0.0   1   3      0.17       3.6    0.5   0.0   349   378    20    56    13    65 0.70 -
OLMU01003908_1:3424-4164  -            247 4406at33634          -            435   1.6e-05   18.2   0.0   2   3     0.048         1    2.3   0.0   337   380    77   121    74   130 0.84 -
OLMU01003908_1:3424-4164  -            247 4406at33634          -            435   1.6e-05   18.2   0.0   3   3    0.0001    0.0022   11.1   0.0   309   379   135   204   126   246 0.91 -
