ThiC	KV784358_1	79.798	594	109	5	30	617	1064906	1063140	0.0	941
Thi5	KV784364_1	29.464	112	78	1	2	113	884757	884425	4.71e-08	55.8
Thi5-like	KV784397_1	69.108	314	90	3	153	464	42152	43078	6.76e-140	444
SSSP	KV784371_1	61.324	287	108	2	3	286	862042	861182	2.37e-174	351
TH1	KV784354_1	55.705	596	215	9	33	579	1271177	1272964	0.0	598
THIO	KV784364_1	51.549	807	251	15	86	770	945364	947730	0.0	734
THIS	KV784355_1	50.000	24	12	0	44	67	895111	895182	0.70	28.5
THIF	KV784375_1	55.725	262	115	1	13	274	695027	694245	4.05e-120	267
DXS	KV784356_1	85.510	490	70	1	77	566	597731	596265	0.0	889
THIG	KV784357_1	35.714	56	34	1	181	234	294200	294033	0.006	39.3
TPK1	KV784358_1	41.367	278	111	9	20	246	997838	998668	3.35e-56	194
FOLR	KV784356_1	52.030	271	118	4	12	270	281647	280835	2.73e-89	291
Thi4	KV784359_1	45.000	40	20	1	93	132	1133223	1133336	0.20	35.0
TENA	KV784357_1	45.660	265	104	5	1	225	2330244	2329450	1.54e-72	240
