# BUSCO version is: 5.1.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Missing
83779at2759	Complete	QPGO01000033_1	195880	197631	+	189.7	221
87842at2759	Complete	QPGO01000088_1	278107	282405	+	166.9	511
97116at2759	Complete	QPGO01000092_1	163149	166771	+	629.3	813
100698at2759	Complete	QPGO01000007_1	619746	622223	-	707.9	522
142542at2759	Missing
156083at2759	Complete	QPGO01000218_1	65234	72661	-	3136.1	1835
160593at2759	Complete	QPGO01000339_1	15741	20617	+	1018.2	1037
166920at2759	Complete	QPGO01000017_1	225829	229888	+	473.1	743
176625at2759	Fragmented	QPGO01000112_1	193246	197169	+	141.4	280
179362at2759	Complete	QPGO01000288_1	31318	36432	-	601.0	871
245208at2759	Complete	QPGO01000112_1	90109	93177	+	1362.3	824
257318at2759	Complete	QPGO01000077_1	288339	290570	-	207.7	272
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	QPGO01000074_1	357691	360710	+	584.1	663
293315at2759	Complete	QPGO01000285_1	53012	56492	+	593.2	602
296129at2759	Complete	QPGO01000158_1	28875	31334	-	507.5	448
299766at2759	Complete	QPGO01000253_1	16325	20059	-	341.9	445
306227at2759	Complete	QPGO01000166_1	73935	76031	-	446.4	515
320059at2759	Complete	QPGO01000005_1	738556	739558	+	481.1	305
324863at2759	Complete	QPGO01000023_1	571174	574210	-	500.0	570
325552at2759	Missing
330169at2759	Complete	QPGO01000005_1	901065	902812	+	254.9	315
331411at2759	Missing
341721at2759	Complete	QPGO01000024_1	539707	541569	-	222.2	382
345441at2759	Complete	QPGO01000057_1	110845	112242	+	236.6	301
355408at2759	Complete	QPGO01000034_1	277114	279359	+	624.8	556
369837at2759	Complete	QPGO01000169_1	150270	152513	-	209.6	339
375960at2759	Complete	QPGO01000048_1	229364	231077	-	261.7	360
383503at2759	Complete	QPGO01000102_1	157156	159072	+	221.5	336
388820at2759	Missing
390348at2759	Complete	QPGO01000021_1	299792	303036	+	1091.7	733
392369at2759	Complete	QPGO01000007_1	393797	395596	-	386.0	342
396755at2759	Missing
418107at2759	Duplicated	QPGO01000077_1	372401	373786	+	403.4	393
418107at2759	Duplicated	QPGO01000229_1	16890	18152	+	363.4	360
426305at2759	Complete	QPGO01000015_1	517334	519882	+	297.5	499
450058at2759	Missing
453044at2759	Complete	QPGO01000022_1	328459	330096	-	231.6	288
457861at2759	Missing
464990at2759	Missing
491869at2759	Duplicated	QPGO01000198_1	115130	116455	+	190.7	254
491869at2759	Duplicated	QPGO01000143_1	179512	181032	-	189.2	270
513979at2759	Duplicated	QPGO01000148_1	158370	160414	-	146.0	223
513979at2759	Duplicated	QPGO01000206_1	10666	12710	+	146.0	223
543764at2759	Complete	QPGO01000029_1	659953	661416	-	191.6	228
549762at2759	Complete	QPGO01000189_1	137330	139153	-	389.9	343
551907at2759	Complete	QPGO01000116_1	95704	98496	+	190.8	329
570797at2759	Complete	QPGO01000048_1	247854	249903	-	411.2	462
582756at2759	Complete	QPGO01000008_1	578506	579852	+	178.4	329
598949at2759	Complete	QPGO01000246_1	40749	44816	+	291.8	390
604979at2759	Missing
621827at2759	Missing
625387at2759	Complete	QPGO01000111_1	152244	156747	-	127.4	265
655400at2759	Complete	QPGO01000033_1	287985	289445	+	181.2	260
664730at2759	Complete	QPGO01000014_1	153309	154644	+	597.5	341
671536at2759	Complete	QPGO01000102_1	285046	286663	-	423.8	345
671846at2759	Fragmented	QPGO01000152_1	63018	66035	+	74.0	209
673132at2759	Duplicated	QPGO01000173_1	44203	45622	-	258.1	273
673132at2759	Duplicated	QPGO01000039_1	563614	565028	-	244.3	274
674160at2759	Complete	QPGO01000024_1	575703	584856	-	353.3	753
674169at2759	Missing
679187at2759	Complete	QPGO01000030_1	817	4208	-	225.4	400
679771at2759	Complete	QPGO01000042_1	255430	256753	-	72.4	196
687505at2759	Complete	QPGO01000022_1	590352	591577	-	143.1	260
692986at2759	Complete	QPGO01000113_1	139731	142165	-	116.6	276
708105at2759	Complete	QPGO01000032_1	412714	414137	-	80.7	149
719531at2759	Complete	QPGO01000152_1	40046	41416	-	321.7	286
720340at2759	Complete	QPGO01000287_1	55170	56355	-	73.9	152
721605at2759	Complete	QPGO01000152_1	101285	102465	-	186.1	258
722805at2759	Missing
734341at2759	Complete	QPGO01000124_1	192532	193515	+	82.1	147
734666at2759	Complete	QPGO01000166_1	12784	14622	-	360.2	362
736068at2759	Complete	QPGO01000056_1	127063	128301	-	200.1	315
751335at2759	Duplicated	QPGO01000131_1	152500	154092	+	131.6	220
751335at2759	Duplicated	QPGO01000019_1	458688	459854	+	114.4	191
759498at2759	Missing
761109at2759	Complete	QPGO01000071_1	41271	43286	+	350.8	376
768809at2759	Complete	QPGO01000040_1	227305	228606	-	178.2	219
774318at2759	Complete	QPGO01000005_1	1102571	1103841	+	258.8	281
777920at2759	Complete	QPGO01000045_1	305324	307538	+	334.0	331
779909at2759	Complete	QPGO01000007_1	279576	280596	-	196.2	225
801857at2759	Complete	QPGO01000015_1	481919	483250	-	163.4	188
814241at2759	Complete	QPGO01000008_1	472327	473778	-	206.1	325
817008at2759	Complete	QPGO01000026_1	596592	597797	-	422.2	285
834694at2759	Complete	QPGO01000052_1	199677	201513	+	369.0	312
836599at2759	Complete	QPGO01000175_1	101077	102384	-	292.1	238
844748at2759	Fragmented	QPGO01000113_1	29290	31030	+	79.6	242
855834at2759	Complete	QPGO01000029_1	649191	651095	-	108.5	217
858842at2759	Complete	QPGO01000010_1	48863	49513	+	194.7	173
865202at2759	Complete	QPGO01000066_1	316691	317544	-	193.5	185
866359at2759	Complete	QPGO01000008_1	207765	208840	+	295.9	240
869548at2759	Complete	QPGO01000091_1	56254	56898	+	179.4	157
878143at2759	Complete	QPGO01000182_1	26357	28092	-	334.2	323
887370at2759	Fragmented	QPGO01000129_1	155313	155639	-	63.9	73
891751at2759	Complete	QPGO01000121_1	138268	140025	-	170.8	194
898782at2759	Complete	QPGO01000115_1	64600	66605	-	216.2	271
901894at2759	Duplicated	QPGO01000141_1	125240	126730	+	159.4	346
901894at2759	Duplicated	QPGO01000141_1	165875	167464	+	147.9	355
901894at2759	Duplicated	QPGO01000141_1	186516	187897	+	142.0	328
905026at2759	Complete	QPGO01000092_1	93741	96008	-	197.9	344
911863at2759	Fragmented	QPGO01000075_1	101290	102207	+	23.6	88
917326at2759	Complete	QPGO01000055_1	288148	290181	+	297.5	410
918816at2759	Complete	QPGO01000029_1	580656	582122	-	99.9	184
919955at2759	Complete	QPGO01000175_1	63377	64561	-	173.9	240
923657at2759	Complete	QPGO01000173_1	118974	119942	-	89.8	171
924753at2759	Duplicated	QPGO01000094_1	75232	76914	-	177.1	217
924753at2759	Duplicated	QPGO01000463_1	12115	13584	+	176.0	217
931188at2759	Complete	QPGO01000029_1	268029	269835	+	339.6	345
937275at2759	Missing
937686at2759	Complete	QPGO01000097_1	274443	275952	+	267.1	335
939345at2759	Complete	QPGO01000044_1	284638	285624	-	78.0	112
944899at2759	Complete	QPGO01000009_1	363151	364053	+	307.1	206
946128at2759	Complete	QPGO01000017_1	272611	274614	-	158.8	398
956854at2759	Complete	QPGO01000207_1	39486	40388	-	100.3	162
973442at2759	Fragmented	QPGO01000008_1	615167	616588	+	50.7	74
974865at2759	Complete	QPGO01000082_1	314024	314971	-	152.1	219
975158at2759	Missing
975557at2759	Complete	QPGO01000156_1	6536	8982	+	426.2	512
976469at2759	Complete	QPGO01000034_1	488854	489765	+	136.7	220
981902at2759	Complete	QPGO01000004_1	504903	506111	-	130.0	212
996662at2759	Missing
1001705at2759	Complete	QPGO01000091_1	57782	59715	+	112.2	206
1003258at2759	Complete	QPGO01000020_1	122038	123360	-	190.2	268
1010730at2759	Complete	QPGO01000049_1	330358	331758	-	305.2	254
1014314at2759	Complete	QPGO01000128_1	203	1069	-	129.0	252
1018517at2759	Complete	QPGO01000186_1	21910	22804	+	263.6	209
1019762at2759	Missing
1025450at2759	Complete	QPGO01000006_1	767264	768595	-	150.0	271
1030907at2759	Complete	QPGO01000069_1	320011	321129	-	78.8	226
1032689at2759	Complete	QPGO01000049_1	282822	284081	+	150.4	152
1038775at2759	Complete	QPGO01000159_1	89280	90191	-	137.8	203
1041560at2759	Missing
1049599at2759	Missing
1051021at2759	Complete	QPGO01000430_1	6294	7873	-	288.5	329
1053181at2759	Fragmented	QPGO01000166_1	160077	161014	-	19.5	98
1057950at2759	Complete	QPGO01000007_1	443554	444486	-	214.5	227
1065019at2759	Complete	QPGO01000190_1	30959	32191	-	296.0	233
1076134at2759	Fragmented	QPGO01000013_1	530592	531299	+	71.0	149
1079130at2759	Duplicated	QPGO01000222_1	56793	57740	+	291.1	220
1079130at2759	Duplicated	QPGO01000351_1	32391	33338	+	291.1	220
1079827at2759	Complete	QPGO01000015_1	692970	693749	+	332.2	219
1085752at2759	Complete	QPGO01000022_1	369124	370511	+	44.5	239
1087488at2759	Missing
1090038at2759	Complete	QPGO01000004_1	955479	956171	+	71.4	99
1094121at2759	Complete	QPGO01000045_1	203329	203844	-	108.1	130
1096688at2759	Complete	QPGO01000029_1	655738	657072	-	288.7	211
1106766at2759	Complete	QPGO01000229_1	53975	55417	-	93.1	176
1107630at2759	Complete	QPGO01000008_1	640151	641080	+	190.4	202
1108845at2759	Fragmented	QPGO01000030_1	245964	246770	-	163.0	139
1111142at2759	Missing
1112002at2759	Complete	QPGO01000027_1	364232	366610	-	347.3	410
1115196at2759	Complete	QPGO01000012_1	90410	91610	+	380.5	251
1128607at2759	Complete	QPGO01000015_1	299696	300854	-	276.4	252
1129824at2759	Complete	QPGO01000015_1	575676	576155	-	100.5	131
1138059at2759	Fragmented	QPGO01000022_1	378937	380031	+	186.8	170
1157302at2759	Complete	QPGO01000035_1	127888	128786	+	345.2	202
1161199at2759	Complete	QPGO01000004_1	552550	553521	-	54.2	127
1173229at2759	Complete	QPGO01000052_1	7225	8013	-	51.6	226
1178688at2759	Complete	QPGO01000361_1	30496	30988	+	61.7	127
1182451at2759	Complete	QPGO01000059_1	282627	283833	+	129.0	164
1193442at2759	Complete	QPGO01000042_1	62032	62956	-	313.7	224
1194691at2759	Complete	QPGO01000186_1	11032	12189	+	256.7	268
1194797at2759	Complete	QPGO01000050_1	439335	441566	+	332.8	415
1197019at2759	Complete	QPGO01000052_1	357128	358047	+	155.6	153
1200489at2759	Complete	QPGO01000052_1	238889	239491	-	86.1	129
1217666at2759	Complete	QPGO01000162_1	80154	81329	+	176.4	157
1220881at2759	Complete	QPGO01000088_1	38075	39127	-	55.7	136
1222562at2759	Complete	QPGO01000030_1	206040	206885	+	137.9	115
1223488at2759	Complete	QPGO01000050_1	154689	155291	+	40.8	77
1228942at2759	Complete	QPGO01000318_1	23478	24170	-	194.2	163
1233814at2759	Complete	QPGO01000219_1	7123	7912	-	169.5	154
1236198at2759	Duplicated	QPGO01000321_1	36921	37905	+	131.7	121
1236198at2759	Duplicated	QPGO01000004_1	961754	962738	-	131.7	121
1247641at2759	Complete	QPGO01000034_1	476559	477329	-	101.4	136
1248958at2759	Complete	QPGO01000056_1	19946	23041	-	426.7	615
1249159at2759	Complete	QPGO01000008_1	535471	536055	-	90.4	147
1251252at2759	Fragmented	QPGO01000024_1	201292	202117	+	28.9	62
1257440at2759	Complete	QPGO01000185_1	69585	70312	+	126.0	127
1258856at2759	Fragmented	QPGO01000206_1	54486	57825	-	190.8	287
1259741at2759	Complete	QPGO01000011_1	386212	387324	+	231.0	217
1260807at2759	Complete	QPGO01000017_1	760555	761628	-	190.2	220
1264469at2759	Complete	QPGO01000034_1	528498	529322	+	121.3	151
1266231at2759	Complete	QPGO01000175_1	111091	111579	-	160.2	140
1269244at2759	Missing
1269649at2759	Complete	QPGO01000020_1	191240	192105	-	249.6	165
1275837at2759	Complete	QPGO01000022_1	209361	210371	-	263.9	251
1284731at2759	Complete	QPGO01000263_1	50305	51152	+	62.1	109
1287094at2759	Complete	QPGO01000111_1	16547	17158	+	76.2	125
1287401at2759	Complete	QPGO01000084_1	174591	175382	+	232.1	170
1291729at2759	Complete	QPGO01000037_1	236712	237549	+	52.7	111
1304061at2759	Complete	QPGO01000042_1	368724	369671	+	71.5	128
1309031at2759	Complete	QPGO01000378_1	4407	6777	-	152.4	290
1312453at2759	Missing
1314980at2759	Complete	QPGO01000075_1	13342	16502	-	190.7	357
1322299at2759	Complete	QPGO01000050_1	46416	48227	-	205.4	336
1322642at2759	Complete	QPGO01000010_1	794857	795453	+	152.1	138
1323575at2759	Duplicated	QPGO01000418_1	7332	7829	-	114.6	112
1323575at2759	Duplicated	QPGO01000070_1	234785	235285	-	114.6	112
1324510at2759	Complete	QPGO01000102_1	196462	198200	-	198.7	271
1338131at2759	Complete	QPGO01000054_1	225640	226353	-	231.0	142
1339553at2759	Fragmented	QPGO01000324_1	45394	45636	+	44.7	65
1342242at2759	Complete	QPGO01000139_1	161034	162407	-	122.0	143
1346165at2759	Complete	QPGO01000069_1	325515	326944	+	308.8	259
1346432at2759	Complete	QPGO01000022_1	448976	449827	+	100.5	125
1348942at2759	Complete	QPGO01000024_1	693999	695062	+	59.2	205
1355894at2759	Duplicated	QPGO01000189_1	97952	98514	+	97.2	129
1355894at2759	Duplicated	QPGO01000006_1	233864	234358	+	89.0	132
1358374at2759	Missing
1364586at2759	Missing
1370285at2759	Complete	QPGO01000036_1	503064	505241	-	94.6	310
1370304at2759	Complete	QPGO01000302_1	53024	54944	-	52.6	245
1377237at2759	Complete	QPGO01000350_1	45734	46645	-	94.9	138
1379600at2759	Complete	QPGO01000030_1	589884	592735	-	216.9	453
1380409at2759	Complete	QPGO01000074_1	135755	136584	-	180.0	145
1382842at2759	Complete	QPGO01000059_1	344769	345302	+	74.8	116
1395649at2759	Complete	QPGO01000103_1	80705	81352	-	64.7	133
1398309at2759	Fragmented	QPGO01000015_1	674926	675562	+	41.9	61
1404162at2759	Complete	QPGO01000037_1	315985	317673	-	78.9	181
1405073at2759	Complete	QPGO01000090_1	25405	26022	-	197.8	167
1405146at2759	Complete	QPGO01000090_1	223746	224525	-	97.4	100
1407446at2759	Missing
1421503at2759	Complete	QPGO01000180_1	25504	25884	+	122.0	105
1423847at2759	Complete	QPGO01000008_1	62755	63907	-	184.5	250
1426075at2759	Complete	QPGO01000097_1	15881	16484	+	85.8	96
1428265at2759	Missing
1428854at2759	Complete	QPGO01000073_1	150323	152880	+	346.3	424
1430056at2759	Complete	QPGO01000052_1	432090	432893	-	83.2	130
1432328at2759	Complete	QPGO01000092_1	169992	170909	+	229.9	192
1434266at2759	Complete	QPGO01000207_1	35768	36744	+	78.1	137
1440961at2759	Missing
1441854at2759	Complete	QPGO01000034_1	351735	352817	-	150.0	184
1442062at2759	Missing
1445102at2759	Complete	QPGO01000098_1	213944	214657	-	252.3	190
1450538at2759	Fragmented	QPGO01000291_1	63696	64238	+	81.9	98
1454155at2759	Missing
1455730at2759	Complete	QPGO01000005_1	428328	430016	+	317.3	334
1459797at2759	Complete	QPGO01000011_1	255103	255588	+	59.3	103
1474000at2759	Complete	QPGO01000324_1	36752	37916	-	54.6	99
1479417at2759	Complete	QPGO01000011_1	200544	201455	-	233.6	168
1488235at2759	Complete	QPGO01000087_1	180650	181279	-	156.4	139
1488436at2759	Complete	QPGO01000022_1	680730	681188	-	111.5	62
1490022at2759	Complete	QPGO01000033_1	57653	58501	+	137.8	174
1504863at2759	Complete	QPGO01000069_1	99411	99935	+	99.0	107
1513531at2759	Complete	QPGO01000075_1	174136	174894	-	185.3	215
1525971at2759	Complete	QPGO01000253_1	33684	33941	+	97.0	79
1526152at2759	Missing
1530008at2759	Missing
1538526at2759	Fragmented	QPGO01000093_1	211750	212016	-	74.0	61
1545004at2759	Complete	QPGO01000128_1	33481	33735	-	73.6	59
1552706at2759	Complete	QPGO01000049_1	159396	159866	+	64.7	95
1558822at2759	Complete	QPGO01000017_1	584181	584553	+	88.4	65
1563319at2759	Fragmented	QPGO01000166_1	124550	125152	+	47.5	102
1567796at2759	Missing
1575179at2759	Complete	QPGO01000315_1	20948	21229	-	37.2	42
1576404at2759	Complete	QPGO01000090_1	317607	318484	-	102.6	160
1588798at2759	Complete	QPGO01000042_1	367571	368254	-	82.0	73
1593937at2759	Missing
1617752at2759	Complete	QPGO01000200_1	116330	116834	+	91.6	79
1620056at2759	Complete	QPGO01000015_1	71235	71624	+	46.6	79
1623701at2759	Complete	QPGO01000007_1	267403	267918	+	85.2	89
1626636at2759	Complete	QPGO01000023_1	666660	667586	-	87.6	183
1633672at2759	Complete	QPGO01000415_1	17437	17918	-	138.6	83
1645187at2759	Duplicated	QPGO01000077_1	357901	358445	+	30.6	37
1645187at2759	Duplicated	QPGO01000229_1	2614	3158	+	30.6	37
