# BUSCO version is: 5.1.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	WKLE02000073_1	27299	34338	-	1689.8	1341
83779at2759	Complete	WKLE02001447_1	1821	3296	-	182.3	218
87842at2759	Complete	WKLE02001465_1	5728	10029	+	156.3	480
97116at2759	Complete	WKLE02001947_1	425	4643	+	700.1	918
100698at2759	Complete	WKLE02002159_1	17878	20364	+	694.5	504
142542at2759	Missing
156083at2759	Complete	WKLE02001388_1	45415	53025	+	3437.2	1925
160593at2759	Complete	WKLE02002988_1	369	5158	-	1025.3	1000
166920at2759	Complete	WKLE02004193_1	13880	17929	+	497.7	621
176625at2759	Complete	WKLE02001842_1	1632	5992	+	137.6	307
179362at2759	Fragmented	WKLE02000152_1	81889	82515	+	265.0	176
245208at2759	Complete	WKLE02002003_1	19194	23384	+	1382.6	863
257318at2759	Complete	WKLE02000079_1	24317	26971	-	194.4	368
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	WKLE02000159_1	21553	24879	+	592.6	652
293315at2759	Complete	WKLE02004138_1	93	3720	-	571.3	591
296129at2759	Complete	WKLE02000101_1	6163	9501	+	881.1	707
299766at2759	Complete	WKLE02000699_1	12331	15339	-	357.9	432
306227at2759	Complete	WKLE02000208_1	34380	36515	+	448.2	508
320059at2759	Complete	WKLE02003622_1	381	2236	+	810.0	451
324863at2759	Complete	WKLE02000125_1	38145	41544	+	456.5	553
325552at2759	Complete	WKLE02000682_1	3	1319	+	357.8	543
330169at2759	Complete	WKLE02001096_1	16199	17800	+	252.0	318
331411at2759	Missing
341721at2759	Complete	WKLE02004726_1	32551	34401	+	228.7	371
345441at2759	Complete	WKLE02002292_1	14874	16816	-	330.3	388
355408at2759	Complete	WKLE02004033_1	2398	4464	+	603.9	553
369837at2759	Complete	WKLE02000459_1	99740	102104	+	208.0	362
375960at2759	Complete	WKLE02000061_1	1680	3664	-	265.5	340
383503at2759	Fragmented	WKLE02003446_1	40734	42146	-	225.0	231
388820at2759	Complete	WKLE02002361_1	18217	21816	+	374.3	518
390348at2759	Complete	WKLE02003792_1	4148	7345	-	1088.5	742
392369at2759	Complete	WKLE02000260_1	9466	11167	-	387.0	344
396755at2759	Complete	WKLE02001849_1	4222	8001	+	185.0	581
418107at2759	Complete	WKLE02001102_1	11753	13117	-	389.2	393
426305at2759	Complete	WKLE02002398_1	551	3005	+	289.4	500
450058at2759	Missing
453044at2759	Complete	WKLE02003418_1	1998	3485	-	225.0	317
457861at2759	Missing
464990at2759	Missing
491869at2759	Complete	WKLE02000459_1	21885	23507	-	185.0	271
513979at2759	Complete	WKLE02001364_1	33153	35320	-	155.6	220
543764at2759	Complete	WKLE02000138_1	54833	56326	-	184.0	204
549762at2759	Complete	WKLE02002992_1	14668	16527	-	385.4	331
551907at2759	Complete	WKLE02001479_1	6206	9295	-	197.2	327
570797at2759	Complete	WKLE02006180_1	3077	5095	-	405.7	474
582756at2759	Complete	WKLE02001130_1	12846	14144	+	173.3	316
598949at2759	Complete	WKLE02002153_1	8363	12541	-	289.6	358
604979at2759	Complete	WKLE02002975_1	109	1560	+	369.5	260
621827at2759	Missing
625387at2759	Complete	WKLE02003696_1	6727	12227	+	122.5	255
655400at2759	Complete	WKLE02002031_1	24973	26622	-	146.6	261
664730at2759	Complete	WKLE02000668_1	25414	26820	-	600.2	343
671536at2759	Complete	WKLE02000181_1	50083	51753	-	414.8	355
671846at2759	Fragmented	WKLE02006326_1	1462	4584	+	51.3	228
673132at2759	Complete	WKLE02000517_1	2081	3703	-	252.8	273
674160at2759	Complete	WKLE02001552_1	11792	21226	-	375.4	902
674169at2759	Complete	WKLE02002738_1	12614	14712	+	106.0	194
679187at2759	Complete	WKLE02000152_1	74377	77607	+	258.4	404
679771at2759	Complete	WKLE02005157_1	18245	19651	-	77.8	149
687505at2759	Complete	WKLE02000142_1	3300	4564	+	141.2	236
692986at2759	Complete	WKLE02000606_1	34549	37195	-	97.7	309
708105at2759	Missing
719531at2759	Complete	WKLE02001911_1	19945	21337	-	339.9	278
720340at2759	Complete	WKLE02004070_1	21234	22673	-	78.7	156
721605at2759	Complete	WKLE02006326_1	9616	10859	-	186.7	235
722805at2759	Missing
734341at2759	Complete	WKLE02006698_1	75296	76378	+	88.0	144
734666at2759	Fragmented	WKLE02004320_1	23661	25247	-	221.1	301
736068at2759	Complete	WKLE02000988_1	6116	7519	+	168.8	292
751335at2759	Complete	WKLE02002901_1	12226	13936	+	131.3	194
759498at2759	Complete	WKLE02000462_1	33424	35796	-	454.7	424
761109at2759	Complete	WKLE02004104_1	1586	3550	-	351.5	365
768809at2759	Complete	WKLE02002247_1	4511	5893	-	199.8	240
774318at2759	Complete	WKLE02000128_1	39239	40450	-	273.2	272
777920at2759	Complete	WKLE02000775_1	21832	23784	+	341.6	337
779909at2759	Complete	WKLE02001982_1	61637	62722	-	200.8	226
801857at2759	Complete	WKLE02002253_1	26784	28016	-	172.4	174
814241at2759	Complete	WKLE02002058_1	28907	30399	-	203.3	320
817008at2759	Complete	WKLE02000356_1	999	3089	+	420.8	285
834694at2759	Complete	WKLE02005636_1	17012	18875	-	366.1	312
836599at2759	Complete	WKLE02005397_1	3519	4949	-	324.9	267
844748at2759	Fragmented	WKLE02002436_1	17335	19271	-	93.8	237
855834at2759	Complete	WKLE02001363_1	18951	21293	+	106.5	226
858842at2759	Complete	WKLE02001954_1	14467	15870	-	194.3	239
865202at2759	Complete	WKLE02000936_1	433	1416	+	196.1	206
866359at2759	Complete	WKLE02001580_1	18625	19614	+	291.4	250
869548at2759	Complete	WKLE02004145_1	3879	4502	-	174.4	158
878143at2759	Complete	WKLE02006323_1	2018	3490	-	356.8	296
887370at2759	Fragmented	WKLE02004380_1	55196	56518	-	71.9	147
891751at2759	Complete	WKLE02000459_1	34248	36061	+	178.5	245
898782at2759	Complete	WKLE02001358_1	13511	15817	-	225.0	262
901894at2759	Complete	WKLE02004475_1	13446	15582	+	80.3	314
905026at2759	Complete	WKLE02001947_1	37332	39511	+	223.3	340
911863at2759	Fragmented	WKLE02002472_1	6567	7370	+	29.0	96
917326at2759	Complete	WKLE02002331_1	20103	22238	-	318.3	410
918816at2759	Complete	WKLE02003029_1	7916	9619	+	96.5	186
919955at2759	Complete	WKLE02000117_1	8019	9245	-	163.1	266
923657at2759	Complete	WKLE02006674_1	31728	32994	+	68.6	161
924753at2759	Complete	WKLE02001150_1	15497	16948	-	68.6	175
931188at2759	Complete	WKLE02001875_1	4124	6045	+	347.1	349
937275at2759	Missing
937686at2759	Complete	WKLE02000264_1	3366	4848	+	257.9	338
939345at2759	Complete	WKLE02005122_1	1943	2986	+	81.7	122
944899at2759	Complete	WKLE02000061_1	7083	8153	+	337.5	223
946128at2759	Complete	WKLE02000368_1	11303	13171	+	146.0	393
956854at2759	Complete	WKLE02001068_1	21303	22202	+	101.1	165
973442at2759	Complete	WKLE02000428_1	3628	5070	+	50.4	164
974865at2759	Complete	WKLE02001802_1	57940	58962	+	167.4	220
975158at2759	Missing
975557at2759	Complete	WKLE02003692_1	11569	14217	+	404.6	666
976469at2759	Complete	WKLE02003260_1	10523	11476	-	138.0	221
981902at2759	Complete	WKLE02001478_1	31131	32363	-	133.9	219
996662at2759	Missing
1001705at2759	Duplicated	WKLE02002750_1	61448	62158	+	76.5	199
1001705at2759	Duplicated	WKLE02006381_1	622	1455	+	84.4	230
1003258at2759	Complete	WKLE02002894_1	1248	2711	+	195.4	283
1010730at2759	Complete	WKLE02005633_1	8406	9734	-	299.4	255
1014314at2759	Duplicated	WKLE02000687_1	18490	19290	+	120.8	209
1014314at2759	Duplicated	WKLE02000150_1	2435	3205	-	121.1	205
1018517at2759	Complete	WKLE02001310_1	20567	21480	+	269.4	210
1019762at2759	Complete	WKLE02000453_1	8634	10580	-	73.2	309
1025450at2759	Complete	WKLE02006381_1	622	1461	+	192.3	347
1030907at2759	Missing
1032689at2759	Complete	WKLE02002456_1	12684	14206	-	136.6	149
1038775at2759	Complete	WKLE02001196_1	13896	14825	-	116.9	189
1041560at2759	Missing
1049599at2759	Missing
1051021at2759	Complete	WKLE02004636_1	4794	6363	-	280.8	294
1053181at2759	Fragmented	WKLE02002802_1	3959	4705	+	23.1	84
1057950at2759	Complete	WKLE02006080_1	709	1668	-	202.8	227
1065019at2759	Complete	WKLE02000993_1	33794	35005	+	296.9	232
1076134at2759	Missing
1079130at2759	Missing
1079827at2759	Complete	WKLE02000308_1	311	1090	+	332.9	219
1085752at2759	Complete	WKLE02000835_1	96270	97178	-	88.7	184
1087488at2759	Missing
1090038at2759	Complete	WKLE02000253_1	12100	12894	+	69.8	167
1094121at2759	Complete	WKLE02000049_1	15939	16451	+	109.8	130
1096688at2759	Complete	WKLE02002979_1	11130	12303	-	311.5	227
1106766at2759	Complete	WKLE02000507_1	2	1459	-	91.2	194
1107630at2759	Complete	WKLE02000629_1	4270	5226	+	196.7	197
1108845at2759	Complete	WKLE02004064_1	12107	13561	-	283.0	341
1111142at2759	Missing
1112002at2759	Duplicated	WKLE02000115_1	41066	44408	+	372.8	465
1112002at2759	Duplicated	WKLE02000680_1	24508	26220	-	388.4	629
1115196at2759	Duplicated	WKLE02001293_1	6549	7673	+	366.1	278
1115196at2759	Duplicated	WKLE02006253_1	14290	15432	+	381.0	282
1128607at2759	Complete	WKLE02003235_1	6998	8050	-	333.5	254
1129824at2759	Complete	WKLE02006233_1	5903	6551	-	88.7	130
1138059at2759	Complete	WKLE02000021_1	8250	9280	+	240.1	203
1157302at2759	Complete	WKLE02004505_1	20828	21672	+	344.6	202
1161199at2759	Complete	WKLE02000661_1	4596	5498	-	48.0	121
1173229at2759	Complete	WKLE02005184_1	17290	18618	-	122.0	196
1178688at2759	Complete	WKLE02000877_1	15236	15844	-	81.6	137
1182451at2759	Complete	WKLE02004882_1	13000	13983	+	121.0	148
1193442at2759	Complete	WKLE02000525_1	54675	56118	+	306.9	256
1194691at2759	Complete	WKLE02001310_1	7292	8707	+	259.8	270
1194797at2759	Complete	WKLE02001169_1	47292	49406	+	321.2	401
1197019at2759	Complete	WKLE02000975_1	18396	19067	+	161.8	155
1200489at2759	Complete	WKLE02001996_1	520	1161	+	71.3	111
1217666at2759	Complete	WKLE02000093_1	27938	29356	+	168.5	188
1220881at2759	Complete	WKLE02001195_1	89443	90519	-	65.5	137
1222562at2759	Complete	WKLE02005646_1	797	1916	+	134.9	115
1223488at2759	Complete	WKLE02001195_1	91801	92661	+	48.4	99
1228942at2759	Complete	WKLE02000891_1	11809	12567	-	198.9	163
1233814at2759	Complete	WKLE02005806_1	9166	10266	-	167.5	154
1236198at2759	Complete	WKLE02003845_1	6321	7387	+	129.2	119
1247641at2759	Complete	WKLE02005018_1	3482	4525	-	120.0	155
1248958at2759	Complete	WKLE02000811_1	11882	14899	+	510.6	616
1249159at2759	Complete	WKLE02002936_1	36168	36770	+	86.0	149
1251252at2759	Fragmented	WKLE02005371_1	9113	9677	+	29.4	61
1257440at2759	Complete	WKLE02005976_1	776	1530	-	125.7	135
1258856at2759	Fragmented	WKLE02000261_1	2819	6050	+	237.2	359
1259741at2759	Complete	WKLE02000270_1	12258	13040	-	246.8	211
1260807at2759	Complete	WKLE02003782_1	48350	49411	+	196.8	220
1264469at2759	Complete	WKLE02002599_1	2515	3228	+	140.9	150
1266231at2759	Complete	WKLE02003006_1	8514	9347	+	213.8	187
1269244at2759	Fragmented	WKLE02004412_1	14455	15819	+	45.3	94
1269649at2759	Complete	WKLE02000686_1	13928	14954	-	258.1	165
1275837at2759	Complete	WKLE02005021_1	11928	12983	-	283.1	242
1284731at2759	Complete	WKLE02000702_1	91577	92353	-	74.8	124
1287094at2759	Complete	WKLE02003470_1	15038	15613	+	72.5	123
1287401at2759	Complete	WKLE02002435_1	20448	21314	-	224.4	170
1291729at2759	Complete	WKLE02001572_1	40669	41448	+	51.4	134
1304061at2759	Complete	WKLE02002967_1	4464	5561	+	116.3	128
1309031at2759	Complete	WKLE02000399_1	31630	34080	+	192.4	357
1312453at2759	Missing
1314980at2759	Complete	WKLE02002181_1	24890	27615	-	186.2	346
1322299at2759	Complete	WKLE02000487_1	60755	62722	-	212.9	297
1322642at2759	Complete	WKLE02000381_1	21444	22049	-	159.0	142
1323575at2759	Complete	WKLE02002524_1	2767	3383	+	118.6	112
1324510at2759	Complete	WKLE02000381_1	10890	12736	-	235.1	244
1338131at2759	Complete	WKLE02000833_1	26756	27473	+	228.5	140
1339553at2759	Fragmented	WKLE02000996_1	21956	22546	+	66.3	158
1342242at2759	Complete	WKLE02000590_1	41090	42550	-	125.1	144
1346165at2759	Complete	WKLE02005021_1	2335	3660	-	298.2	241
1346432at2759	Missing
1348942at2759	Complete	WKLE02002445_1	74832	75935	+	75.5	172
1355894at2759	Complete	WKLE02001606_1	11795	12718	-	160.6	141
1358374at2759	Missing
1364586at2759	Missing
1370285at2759	Complete	WKLE02001310_1	31846	34362	-	85.9	366
