#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
WKLE02000142_1:3300-4564     -            380 687505at2759         -            225   2.3e-42  141.2  11.9   1   3   8.6e-29     2e-27   92.3   2.2     2    72    28   101    27   109 0.93 -
WKLE02000142_1:3300-4564     -            380 687505at2759         -            225   2.3e-42  141.2  11.9   2   3     0.083         2    4.0   0.0    80   113   143   176   137   191 0.78 -
WKLE02000142_1:3300-4564     -            380 687505at2759         -            225   2.3e-42  141.2  11.9   3   3   1.5e-14   3.6e-13   45.7   0.8    90   223   194   362   191   365 0.72 -
WKLE02000204_1:7407-8626     -            380 687505at2759         -            225   9.6e-38  126.0  12.3   1   3   4.9e-23   1.1e-21   73.5   0.4     4    72     5    73     3    87 0.90 -
WKLE02000204_1:7407-8626     -            380 687505at2759         -            225   9.6e-38  126.0  12.3   2   3   9.4e-07   2.2e-05   20.2   0.0    78   129   103   151    98   153 0.85 -
WKLE02000204_1:7407-8626     -            380 687505at2759         -            225   9.6e-38  126.0  12.3   3   3     3e-10   7.1e-09   31.6   4.0   103   219   150   312   147   318 0.62 -
WKLE02001153_1:38980-40221   -            414 687505at2759         -            225   1.6e-33  112.3   4.2   1   3     3e-20   7.1e-19   64.3   0.4     4    71     2    71     1    73 0.92 -
WKLE02001153_1:38980-40221   -            414 687505at2759         -            225   1.6e-33  112.3   4.2   2   3     1e-13   2.5e-12   42.9   0.2    80   198   114   242   109   248 0.80 -
WKLE02001153_1:38980-40221   -            414 687505at2759         -            225   1.6e-33  112.3   4.2   3   3     0.075       1.8    4.2   0.0   206   224   307   325   288   326 0.83 -
WKLE02006148_1:2496-3819     -            404 687505at2759         -            225   8.5e-31  103.3   4.6   1   3   1.1e-25   2.6e-24   82.1   0.1     1    72    40   114    40   127 0.94 -
WKLE02006148_1:2496-3819     -            404 687505at2759         -            225   8.5e-31  103.3   4.6   2   3       5.6   1.3e+02   -2.0   0.0    79   107   169   197   167   229 0.59 -
WKLE02006148_1:2496-3819     -            404 687505at2759         -            225   8.5e-31  103.3   4.6   3   3   1.4e-06   3.3e-05   19.6   1.2   109   202   247   358   201   398 0.68 -
WKLE02002660_1:11968-13038   -            357 687505at2759         -            225   5.3e-30  100.7  10.8   1   3   1.5e-12   3.5e-11   39.2   0.1    28    72     4    45     2    59 0.93 -
WKLE02002660_1:11968-13038   -            357 687505at2759         -            225   5.3e-30  100.7  10.8   2   3   2.7e-06   6.4e-05   18.7   0.0    77   129    74   123    60   125 0.83 -
WKLE02002660_1:11968-13038   -            357 687505at2759         -            225   5.3e-30  100.7  10.8   3   3   5.4e-14   1.3e-12   43.9   2.8   101   203   120   252   117   292 0.69 -
WKLE02001163_1:61703-62071   -            123 687505at2759         -            225   2.3e-24   82.3   2.7   1   1   1.2e-25   2.8e-24   82.0   2.7     3    71     4    76     2    80 0.92 -
WKLE02000702_1:193292-193657 -            122 687505at2759         -            225   2.4e-24   82.2   1.8   1   1   1.3e-25     3e-24   81.9   1.8     1    71    18    94    18   101 0.89 -
WKLE02000403_1:19271-20311   -            310 687505at2759         -            225   1.2e-23   79.9   1.3   1   2   3.5e-21   8.2e-20   67.4   0.1     2    70     4    72     3    82 0.92 -
WKLE02000403_1:19271-20311   -            310 687505at2759         -            225   1.2e-23   79.9   1.3   2   2    0.0017      0.04    9.5   0.1    78   162   132   212   124   264 0.69 -
WKLE02000429_1:33171-33377   -             69 687505at2759         -            225   3.3e-22   75.2   1.5   1   1   1.5e-23   3.5e-22   75.1   1.5     3    63     1    66     1    69 0.91 -
WKLE02001364_1:17970-18593   -            208 687505at2759         -            225   6.1e-21   71.1   0.2   1   1   3.4e-22     8e-21   70.7   0.2     2    67     2    73     1    95 0.88 -
