Genome	iscS	thiF	thiI	dxs	thiH	thiO	thiG	tenI	thiM	THI6	THI4	thi4	THI20	thiD	thiDE	thiDN	thiC	THI5	thiE	thiL	NTPCR	rsgA	adk	THTPA	phoA	ACP1	TH2	thiK	TPK1	ylmB	tenA
Fragilariopsis_cylindrus_Fracy1	0	9.99E-40	NA	0	NA	3.42E-27	NA	5.07E-04	NA	7.36E-05	NA	NA	2.81E-23	3.54E-27	3.41E-25	4.10E-25	0	4.71E-08	1.15E-25	NA	NA	1.72E-06	2.76E-95	2.29E-23	0.001	NA	0	NA	2.64E-20	1.20E-06	6.36E-09
Nitzschia_putrida_Nputr_1.0	0	4.02E-27	NA	6.98E-05	NA	1.18E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	7.27E-10	NA	NA	NA	NA	NA	0.001	9.41E-85	1.50E-29	NA	NA	NA	NA	1.68E-26	5.02E-06	NA
Nitzschia_sp_Nitz4	0	5.48E-31	NA	5.94E-05	NA	1.20E-06	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.56E-10	NA	NA	NA	NA	NA	2.30E-04	3.78E-96	1.69E-34	NA	NA	NA	NA	1.00E-24	6.80E-06	NA
Pseudo-nitzschia_multiseries_Psemu1	0	5.32E-38	NA	0	NA	6.42E-27	NA	6.15E-08	NA	1.91E-06	NA	NA	4.19E-23	7.04E-29	2.45E-26	3.56E-23	0	5.93E-08	3.35E-29	NA	4.99E-21	3.56E-04	2.39E-95	9.84E-33	NA	NA	4.94E-62	NA	9.89E-17	1.10E-08	4.73E-07
Pseudo-nitzschia_multistriata_ASM90066040v1	0	6.88E-31	NA	0	NA	1.75E-27	NA	4.18E-06	NA	NA	NA	0.001	1.78E-24	1.74E-28	1.53E-26	1.31E-24	0	NA	1.81E-27	NA	2.66E-16	6.13E-08	1.91E-96	6.39E-30	NA	NA	2.63E-74	NA	3.84E-20	7.00E-09	1.73E-06
Halamphora_sp_MG8b	3.09E-83	4.26E-40	NA	1.40E-83	7.65E-13	1.85E-11	NA	NA	NA	NA	NA	NA	NA	NA	6.17E-08	5.48E-04	NA	4.35E-04	3.64E-14	NA	3.45E-09	NA	5.26E-67	1.37E-35	NA	NA	1.96E-53	NA	5.71E-14	3.53E-08	6.51E-04
Halamphora_sp_AAB	4.93E-119	2.14E-72	0	6.95E-157	2.06E-147	2.42E-15	1.91E-112	2.57E-07	2.07E-30	6.66E-10	6.01E-04	NA	8.25E-31	3.09E-80	9.47E-44	9.88E-38	0	1.72E-29	1.26E-67	1.04E-101	NA	1.44E-30	2.62E-51	NA	7.15E-31	1.19E-34	NA	NA	NA	9.52E-25	1.88E-18
Fistulifera_solaris_Fsol_1.0	0	1.21E-42	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.17E-05	NA	2.08E-10	NA	NA	NA	NA	5.06E-56	6.12E-40	NA	NA	NA	NA	3.24E-20	1.15E-05	NA
Seminavis_robusta_version1.2	0	1.41E-34	NA	0	1.66E-46	1.66E-25	1.07E-68	NA	NA	1.07E-04	NA	NA	4.11E-19	5.18E-35	1.81E-25	3.39E-28	0	NA	1.41E-30	NA	4.74E-28	5.36E-04	1.79E-103	2.68E-35	1.75E-24	NA	NA	NA	1.79E-15	1.63E-09	9.35E-06
Phaeodactylum_tricornutum_ASM15095v2	0	3.61E-37	NA	0	NA	3.64E-34	NA	3.95E-07	NA	NA	NA	NA	3.66E-20	1.70E-29	1.78E-29	1.34E-28	0	2.08E-10	6.99E-32	NA	NA	NA	0	0	NA	NA	NA	NA	4.64E-21	5.29E-08	1.08E-04
Cyclotella_cryptica_Cyccr1	3.89E-162	3.78E-38	7.88E-41	0	4.48E-30	4.52E-27	4.89E-04	NA	NA	NA	NA	NA	3.49E-15	4.54E-21	9.09E-19	2.18E-22	2.90E-92	NA	1.68E-31	7.26E-22	NA	NA	7.02E-31	3.58E-20	NA	NA	2.47E-42	6.65E-31	1.66E-21	9.29E-14	2.25E-04
Cyclotella_cryptica_ASM1318728v1	4.57E-162	6.95E-38	NA	0	NA	4.91E-27	NA	NA	NA	NA	NA	NA	3.42E-13	9.24E-17	5.19E-19	9.41E-19	4.02E-92	NA	1.92E-31	NA	NA	NA	1.35E-91	3.86E-20	NA	NA	2.66E-42	NA	1.76E-21	1.01E-13	2.40E-04
Thalassiosira_oceanica_ThaOc_1.0	0	4.21E-37	NA	0	NA	1.18E-25	3.20E-71	0.001	NA	NA	NA	NA	4.23E-19	1.67E-28	2.71E-24	1.09E-23	0	9.95E-11	2.22E-32	NA	NA	NA	2.76E-103	2.43E-18	NA	NA	8.53E-44	NA	2.35E-17	NA	2.04E-05
Thalassiosira_pseudonana_ASM14940v2	1.90E-171	8.74E-38	NA	0	NA	3.26E-31	5.47E-70	NA	NA	NA	NA	0.001	1.01E-20	3.40E-24	4.01E-27	3.41E-23	0	2.94E-12	2.36E-31	NA	NA	NA	3.93E-59	7.01E-31	NA	NA	4.17E-40	NA	7.13E-15	8.17E-08	2.89E-12
Asterionella_formosa_ASM225602v1	0	5.67E-42	NA	0	NA	2.22E-26	4.19E-71	8.38E-06	NA	1.52E-04	NA	NA	1.07E-28	1.13E-30	3.13E-28	2.92E-27	0	NA	2.31E-34	NA	NA	4.59E-10	1.53E-82	1.52E-40	NA	NA	NA	NA	3.14E-19	NA	NA
Asterionellopsis_glacialis_ASM1488511v2	0	4.63E-32	NA	0	NA	3.27E-27	5.32E-74	2.62E-05	NA	7.64E-05	NA	NA	1.06E-23	1.86E-30	8.61E-25	4.74E-23	0	1.14E-10	1.63E-31	NA	8.18E-20	NA	1.47E-87	2.21E-44	NA	NA	2.49E-51	NA	1.15E-21	3.56E-05	NA
Synedra_acus_sac1	0	2.14E-41	NA	0	NA	1.19E-29	3.23E-66	6.64E-09	NA	4.75E-10	NA	NA	2.39E-42	5.02E-40	2.11E-34	3.63E-30	0	NA	3.93E-26	5.30E-30	NA	NA	4.41E-80	1.34E-26	NA	NA	NA	NA	2.90E-16	3.89E-07	1.91E-07
Licmophora_abbreviata_CCMP470	0	2.37E-31	NA	0	NA	8.21E-31	7.01E-72	4.21E-09	NA	7.03E-06	NA	0.001	7.24E-27	1.05E-66	4.63E-39	4.26E-38	NA	9.80E-07	1.17E-41	NA	NA	5.69E-14	4.17E-75	1.20E-23	NA	NA	NA	NA	5.38E-20	3.55E-33	7.77E-06
Psammoneis_japonica_ASM863298v1	0	3.71E-38	NA	0	NA	3.44E-28	NA	7.79E-04	NA	7.21E-05	NA	NA	2.56E-13	2.26E-20	2.24E-15	1.14E-19	0	NA	1.40E-32	NA	NA	NA	1.67E-105	1.18E-30	NA	NA	5.35E-30	NA	1.47E-18	NA	NA
