#                                                                                    --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#        ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QPGO01000022_1:210675-212497 -            574 621827at2759         -            349   5.7e-46  152.4   0.1   1   2   4.8e-31   3.5e-30  100.4   0.0    20   255    82   400    76   411 0.74 -
QPGO01000022_1:210675-212497 -            574 621827at2759         -            349   5.7e-46  152.4   0.1   2   2   3.1e-15   2.3e-14   48.4   0.0   253   329   440   528   433   541 0.87 -
QPGO01000128_1:203-1069      -            289 621827at2759         -            349   1.4e-43  144.5  17.9   1   4   1.9e-15   1.4e-14   49.1   0.4    79   149     2    81     1    95 0.87 -
QPGO01000128_1:203-1069      -            289 621827at2759         -            349   1.4e-43  144.5  17.9   2   4   9.8e-13   7.2e-12   40.2   1.0    92   146   105   162    84   168 0.83 -
QPGO01000128_1:203-1069      -            289 621827at2759         -            349   1.4e-43  144.5  17.9   3   4     7e-14   5.2e-13   44.0   0.3    79   146   170   246   166   252 0.86 -
QPGO01000128_1:203-1069      -            289 621827at2759         -            349   1.4e-43  144.5  17.9   4   4   2.9e-12   2.1e-11   38.7   1.5    92   145   231   287   229   289 0.91 -
QPGO01000362_1:9969-10874    -            302 621827at2759         -            349   1.6e-37  124.6   4.9   1   5     4e-08     3e-07   25.0   0.0    93   128   100   136    94   140 0.89 -
QPGO01000362_1:9969-10874    -            302 621827at2759         -            349   1.6e-37  124.6   4.9   2   5   2.8e-11     2e-10   35.5   0.1    93   145   142   197   140   205 0.86 -
QPGO01000362_1:9969-10874    -            302 621827at2759         -            349   1.6e-37  124.6   4.9   3   5   0.00018    0.0013   13.1   0.0    93   127   184   219   180   224 0.87 -
QPGO01000362_1:9969-10874    -            302 621827at2759         -            349   1.6e-37  124.6   4.9   4   5   1.7e-10   1.2e-09   32.9   0.1    93   128   226   262   223   266 0.89 -
QPGO01000362_1:9969-10874    -            302 621827at2759         -            349   1.6e-37  124.6   4.9   5   5   4.1e-09     3e-08   28.3   0.0    93   125   268   301   263   302 0.90 -
QPGO01000087_1:217415-218191 -            259 621827at2759         -            349   4.5e-32  106.7  13.5   1   4   4.9e-06   3.6e-05   18.2   0.0   101   144     2    48     1    49 0.84 -
QPGO01000087_1:217415-218191 -            259 621827at2759         -            349   4.5e-32  106.7  13.5   2   4   2.1e-13   1.6e-12   42.4   0.4    93   145    78   133    57   140 0.80 -
QPGO01000087_1:217415-218191 -            259 621827at2759         -            349   4.5e-32  106.7  13.5   3   4   1.6e-11   1.2e-10   36.2   0.2    74   149   137   221   133   224 0.82 -
QPGO01000087_1:217415-218191 -            259 621827at2759         -            349   4.5e-32  106.7  13.5   4   4     3e-11   2.2e-10   35.4   1.6    76   144   181   258   179   259 0.76 -
