# BUSCO version is: 5.1.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	CM000629_1	304070	310880	+	1677.5	1374
83779at2759	Complete	CM000627_1	248057	249835	-	176.3	234
87842at2759	Complete	CP001142_1	763478	767506	-	187.1	476
97116at2759	Complete	CM000605_1	813231	817190	-	704.2	909
100698at2759	Complete	CM000612_1	571891	574050	+	698.5	498
142542at2759	Missing
156083at2759	Complete	CM000610_1	441121	448248	+	3400.0	1925
160593at2759	Complete	CM000626_1	144913	153911	+	1010.3	1291
166920at2759	Complete	CP001142_1	534081	538077	+	477.4	673
176625at2759	Complete	DS999280_1	9516	13404	+	153.4	389
179362at2759	Complete	CM000610_1	425433	430478	-	473.4	1687
245208at2759	Complete	CM000630_1	45508	49364	+	1388.0	849
257318at2759	Complete	CP001142_1	204929	206416	-	222.5	342
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	CP001142_1	466944	469885	-	590.4	650
293315at2759	Complete	DS999283_1	85906	89441	-	570.2	573
296129at2759	Complete	CM000613_1	576412	579600	+	877.1	701
299766at2759	Complete	CM000624_1	111130	114678	+	316.1	419
306227at2759	Complete	CM000624_1	247558	249687	-	415.5	530
320059at2759	Complete	CM000608_1	1042946	1044577	-	806.3	450
324863at2759	Complete	CM000629_1	64349	67372	+	492.5	562
325552at2759	Missing
330169at2759	Complete	CM000607_1	509686	511428	+	237.0	288
331411at2759	Missing
341721at2759	Complete	CM000606_1	476672	478684	+	221.4	373
345441at2759	Complete	CM000625_1	471857	473758	+	325.3	371
355408at2759	Complete	CM000610_1	924658	926727	-	609.7	554
369837at2759	Complete	CM000613_1	466698	468971	+	225.2	354
375960at2759	Complete	CM000630_1	162304	164211	-	200.1	321
383503at2759	Fragmented	CM000605_1	203589	205664	+	212.4	233
388820at2759	Missing
390348at2759	Complete	CM000618_1	205250	208622	-	1084.9	703
392369at2759	Complete	CM000612_1	668212	669946	+	381.2	341
396755at2759	Complete	CM000605_1	1007387	1011424	+	174.6	645
418107at2759	Complete	CP001142_1	787939	789327	+	387.7	392
426305at2759	Complete	CM000611_1	399967	402410	+	283.0	507
450058at2759	Missing
453044at2759	Complete	CM000606_1	672334	673848	+	247.3	320
457861at2759	Missing
464990at2759	Missing
491869at2759	Complete	CM000622_1	602929	604026	-	146.5	202
513979at2759	Complete	CM000610_1	714716	716858	+	156.0	219
543764at2759	Complete	CM000630_1	84166	85495	+	182.3	235
549762at2759	Complete	CM000605_1	365364	366578	+	377.0	292
551907at2759	Complete	CM000635_1	18970	21882	-	194.9	323
570797at2759	Complete	CM000615_1	150093	152498	+	377.3	447
582756at2759	Complete	CM000605_1	1888438	1889754	-	192.9	338
598949at2759	Complete	CM000605_1	1863246	1867076	-	286.1	339
604979at2759	Complete	CM000619_1	643100	644554	-	364.4	262
621827at2759	Missing
625387at2759	Complete	CM000623_1	600150	605486	-	119.7	276
655400at2759	Complete	CM000627_1	192953	193855	+	172.4	218
664730at2759	Complete	CM000607_1	1142983	1144182	+	571.2	337
671536at2759	Complete	CM000605_1	1158020	1159552	-	415.7	362
671846at2759	Complete	CM000613_1	345967	349056	-	35.8	320
673132at2759	Complete	DS999284_1	14170	15526	+	249.4	274
674160at2759	Complete	CM000606_1	526032	531879	-	327.3	777
674169at2759	Complete	CM000606_1	1312569	1314281	+	105.7	236
679187at2759	Complete	CM000615_1	267567	271388	+	249.7	391
679771at2759	Complete	CM000614_1	223372	224571	+	64.6	234
687505at2759	Complete	CM000606_1	103949	105103	-	145.7	223
692986at2759	Complete	CM000606_1	638789	641209	+	116.6	340
708105at2759	Complete	CM000609_1	199464	200918	-	58.9	170
719531at2759	Complete	CM000605_1	2525128	2526567	+	342.6	284
720340at2759	Complete	CM000613_1	864471	865847	-	88.3	179
721605at2759	Complete	CM000605_1	1614958	1616228	-	180.3	249
722805at2759	Missing
