#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
QPGO01000001_1:1095846-1097090 -            289 1269244at2759        -            121   1.8e-10   36.1  17.2   1   4     0.002      0.25    6.6   0.1     3    22     2    21     1    35 0.84 -
QPGO01000001_1:1095846-1097090 -            289 1269244at2759        -            121   1.8e-10   36.1  17.2   2   4   3.5e-06   0.00045   15.5   0.6    45    79    87   121    48   154 0.85 -
QPGO01000001_1:1095846-1097090 -            289 1269244at2759        -            121   1.8e-10   36.1  17.2   3   4   9.9e-08   1.3e-05   20.5   5.5    73   114   157   198   130   205 0.73 -
QPGO01000001_1:1095846-1097090 -            289 1269244at2759        -            121   1.8e-10   36.1  17.2   4   4         2   2.5e+02   -3.1   0.1   100   118   212   230   208   231 0.77 -
QPGO01000012_1:792730-793113   -            128 1269244at2759        -            121   5.7e-07   24.8   2.0   1   3   5.2e-05    0.0067   11.7   0.1     3    42    10    49     8    54 0.86 -
QPGO01000012_1:792730-793113   -            128 1269244at2759        -            121   5.7e-07   24.8   2.0   2   3   0.00059     0.076    8.3   0.2    30    51    60    81    56   107 0.68 -
QPGO01000012_1:792730-793113   -            128 1269244at2759        -            121   5.7e-07   24.8   2.0   3   3     0.012       1.5    4.1   0.0    49    74   101   126    94   128 0.86 -
QPGO01000039_1:215791-216282   -            164 1269244at2759        -            121   3.8e-05   18.9   1.3   1   3    0.0014      0.18    7.1   0.0     3    22     1    20     1    57 0.90 -
QPGO01000039_1:215791-216282   -            164 1269244at2759        -            121   3.8e-05   18.9   1.3   2   3    0.0008       0.1    7.8   0.0    32    57    73    99    69   104 0.81 -
QPGO01000039_1:215791-216282   -            164 1269244at2759        -            121   3.8e-05   18.9   1.3   3   3     0.064       8.2    1.7   0.0    45    81   110   147   101   156 0.78 -
QPGO01000009_1:316679-317050   -            124 1269244at2759        -            121   0.00037   15.7   0.4   1   3    0.0075      0.95    4.7   0.0     8    23     1    16     1    33 0.84 -
QPGO01000009_1:316679-317050   -            124 1269244at2759        -            121   0.00037   15.7   0.4   2   3    0.0011      0.14    7.5   0.0    21    49    42    70    23    77 0.86 -
QPGO01000009_1:316679-317050   -            124 1269244at2759        -            121   0.00037   15.7   0.4   3   3      0.15        19    0.5   0.0    48    73    88   113    82   121 0.86 -
QPGO01000032_1:487539-488527   -            221 1269244at2759        -            121    0.0013   14.0   5.2   1   3       1.3   1.6e+02   -2.5   0.0    87    87    65    65    50    90 0.57 -
QPGO01000032_1:487539-488527   -            221 1269244at2759        -            121    0.0013   14.0   5.2   2   3   9.8e-06    0.0013   14.0   2.7    69   106    97   134    83   151 0.78 -
QPGO01000032_1:487539-488527   -            221 1269244at2759        -            121    0.0013   14.0   5.2   3   3      0.45        58   -1.0   0.0   107   119   156   168   145   170 0.78 -
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1269244at2759.hmm
# Target file:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Psammoneis_japonica_ASM863298v1/run_eukaryota_odb10/metaeuk_output/rerun_results/GCA_008632985.1_ASM863298v1_genomic.fna.modified.fas
# Option settings: hmmsearch --domtblout /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Psammoneis_japonica_ASM863298v1/run_eukaryota_odb10/hmmer_output/rerun_results/1269244at2759.out --cpu 1 /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/busco_downloads/lineages/eukaryota_odb10/hmms/1269244at2759.hmm /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search/genomes/BUSCO_eukaryota_obd10/Psammoneis_japonica_ASM863298v1/run_eukaryota_odb10/metaeuk_output/rerun_results/GCA_008632985.1_ASM863298v1_genomic.fna.modified.fas 
# Current dir:     /Users/aholzer/ownCloud/PhD/Publications/2021 Liavero-Pasquina et al./analysis/TPP_aptamer_search
# Date:            Mon Apr 19 13:09:19 2021
# [ok]
