# BUSCO version is: 5.1.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	WXVQ01000180_1	24526	30930	+	1666.4	1316
83779at2759	Complete	WXVQ01000056_1	70369	71934	-	181.7	200
87842at2759	Complete	WXVQ01000016_1	23810	27280	-	192.4	515
97116at2759	Complete	WXVQ01000169_1	27753	31739	+	672.1	891
100698at2759	Complete	WXVQ01000987_1	64877	67222	-	698.9	503
142542at2759	Missing
156083at2759	Complete	WXVQ01000985_1	235315	242745	+	3417.0	1912
160593at2759	Complete	WXVQ01000008_1	6172	10924	-	1016.1	993
166920at2759	Complete	WXVQ01000016_1	220817	224838	-	490.4	689
176625at2759	Fragmented	WXVQ01000157_1	47242	50050	+	140.6	278
179362at2759	Complete	WXVQ01000258_1	17429	22256	+	565.6	1034
245208at2759	Complete	WXVQ01000128_1	41025	44888	-	1397.6	847
257318at2759	Complete	WXVQ01000104_1	108106	110568	-	206.9	290
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	WXVQ01000104_1	84664	87638	+	567.2	599
293315at2759	Fragmented	WXVQ01000277_1	6314	9384	-	564.2	528
296129at2759	Complete	WXVQ01000015_1	23362	26541	+	876.4	730
299766at2759	Complete	WXVQ01000133_1	8066	12015	+	330.1	430
306227at2759	Complete	WXVQ01000118_1	65996	68107	-	429.4	535
320059at2759	Complete	WXVQ01000079_1	22717	24351	+	805.0	452
324863at2759	Complete	WXVQ01000210_1	1098	3887	+	468.8	512
325552at2759	Missing
330169at2759	Complete	WXVQ01000013_1	60595	62241	+	236.7	327
331411at2759	Missing
341721at2759	Complete	WXVQ01000093_1	16796	18517	-	228.1	346
345441at2759	Complete	WXVQ01000002_1	67488	69155	-	342.9	349
355408at2759	Complete	WXVQ01000189_1	31429	33507	+	607.6	551
369837at2759	Complete	WXVQ01000229_1	26996	29422	+	194.7	338
375960at2759	Complete	WXVQ01000046_1	53826	55334	+	123.6	317
383503at2759	Complete	WXVQ01000004_1	36351	38270	+	218.8	275
388820at2759	Missing
390348at2759	Complete	WXVQ01000033_1	221116	224088	-	1072.2	706
392369at2759	Complete	WXVQ01000071_1	68387	70029	-	379.9	349
396755at2759	Complete	WXVQ01000004_1	18426	21874	-	185.4	711
418107at2759	Complete	WXVQ01000299_1	6319	7713	+	387.2	370
426305at2759	Complete	WXVQ01000001_1	28173	30749	-	274.3	507
450058at2759	Missing
453044at2759	Complete	WXVQ01000152_1	313087	314487	-	200.6	324
457861at2759	Missing
464990at2759	Missing
491869at2759	Complete	WXVQ01000038_1	43102	44634	-	175.7	243
513979at2759	Complete	WXVQ01000258_1	31296	33308	+	146.9	220
543764at2759	Complete	WXVQ01000108_1	28294	29796	+	180.0	205
549762at2759	Complete	WXVQ01000423_1	18239	20038	-	397.8	337
551907at2759	Complete	WXVQ01000004_1	112804	115232	-	208.9	333
570797at2759	Complete	WXVQ01000113_1	34582	36204	+	393.9	472
582756at2759	Complete	WXVQ01000022_1	82124	83383	+	188.3	323
598949at2759	Complete	WXVQ01000022_1	49381	53349	-	279.8	365
604979at2759	Complete	WXVQ01000416_1	1966	3378	-	373.8	259
621827at2759	Missing
625387at2759	Complete	WXVQ01000292_1	3997	8816	+	126.7	308
655400at2759	Complete	WXVQ01000021_1	72277	73719	+	166.7	255
664730at2759	Complete	WXVQ01000013_1	215473	216821	+	590.0	346
671536at2759	Complete	WXVQ01000043_1	57506	59114	-	420.9	355
671846at2759	Fragmented	WXVQ01000015_1	127759	130548	-	45.2	254
673132at2759	Complete	WXVQ01000213_1	5516	6855	+	234.6	272
674160at2759	Complete	WXVQ01000185_1	48164	57083	-	352.2	905
674169at2759	Complete	WXVQ01000326_1	2330	3592	+	103.3	200
679187at2759	Complete	WXVQ01000053_1	89871	92264	+	241.7	385
679771at2759	Complete	WXVQ01000011_1	52128	53164	-	74.4	168
