ThiC	JAAFKC010001670_1	75.867	663	101	4	11	619	4506	2533	0.0	1004
Thi5-like	JAAFKC010000338_1	42.105	57	30	2	285	341	9187	9026	0.11	35.4
SSSP	JAAFKC010003499_1	53.191	94	32	2	1	82	3542	3823	2.20e-34	90.5
TH1	JAAFKC010004228_1	53.654	602	214	13	37	579	2785	998	3.00e-177	531
THIO	JAAFKC010001595_1	62.523	547	146	8	89	576	1797	157	0.0	613
THIS	JAAFKC010004496_1	70.000	70	21	0	1	70	2763	2554	2.09e-27	102
THIF	JAAFKC010001210_1	51.332	413	178	4	61	454	3282	2056	6.46e-125	400
DXS	JAAFKC010002472_1	87.923	679	81	1	53	731	1146	3179	0.0	1251
THIG	JAAFKC010005729_1	85.075	268	40	0	1	268	1041	1844	2.40e-158	457
TPK1	JAAFKC010000933_1	46.237	93	28	1	185	255	9981	9703	8.76e-16	77.0
FOLR	JAAFKC010001643_1	26.829	82	48	3	122	193	4114	4353	0.47	32.3
Thi4	JAAFKC010002248_1	41.071	56	33	0	75	130	635	802	1.02e-04	44.7
ThiM	JAAFKC010000951_1	23.585	106	59	4	115	220	8870	8619	1.7	30.4
TENA	JAAFKC010006204_1	68.889	45	14	0	10	54	137	3	1.06e-13	69.7
